GEO_ID,C12002D_001E,C12002D_001M,C12002D_002E,C12002D_002M,C12002D_003E,C12002D_003M,C12002D_004E,C12002D_004M,C12002D_005E,C12002D_005M,C12002D_006E,C12002D_006M,NAME,C12002D_001EA,C12002D_001MA,C12002D_002EA,C12002D_002MA,C12002D_003EA,C12002D_003MA,C12002D_004MA,C12002D_004EA,C12002D_005EA,C12002D_005MA,C12002D_006EA,C12002D_006MA,state
0400000US06,4287039,13955,1387649,15013,2362421,16657,64099,4442,231525,6969,241345,9144,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,117419,3017,34039,1914,67822,2844,984,481,5028,1137,9546,1662,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116173,1946,31951,2303,75729,2533,789,400,3664,854,4040,889,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24885,1079,6336,900,16310,1167,259,226,888,506,1092,726,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19889,1313,11316,1355,6970,983,83,98,699,390,821,375,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,401944,5799,115737,6174,239208,7115,4430,1071,19346,1708,23223,3096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,266716,4268,77468,4241,163925,5090,2611,1012,8305,1664,14407,2146,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,469221,7738,137848,5567,247056,6738,5450,987,41819,2282,37048,2624,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17569,2396,5320,1563,10259,1419,76,100,208,183,1706,764,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,506087,4155,153318,5050,307261,5650,4898,1018,19345,2103,21265,2603,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,89400,2437,32259,2586,50140,2754,1110,583,2091,607,3800,1138,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,45050,1573,17107,1845,24166,1796,837,369,1222,484,1718,574,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,56323,2074,16445,1981,34590,2148,710,455,1645,585,2933,946,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41200,2141,12338,1319,24635,2024,350,206,989,315,2888,971,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57627,2075,22931,1877,28589,1973,573,310,1660,633,3874,1149,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11392,1009,3942,1002,5710,879,92,159,803,366,845,449,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,277109,3092,78097,3610,174466,3870,3779,928,10832,1126,9935,1655,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,309623,3278,108922,4000,173435,4643,3913,1009,9903,1267,13450,1759,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,198173,3006,60905,3054,120911,3794,1698,597,7011,1055,7648,1590,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,172262,2264,64051,2500,91075,3029,2678,782,5655,1113,8803,1477,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,19744,1769,6558,1264,11125,1313,166,292,1164,690,731,478,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,82431,2617,26041,2325,47917,2468,533,334,3039,711,4901,1448,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5530,1012,2186,877,2849,637,0,157,288,254,207,220,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,28876,1400,9063,1192,17638,1390,110,131,714,323,1351,522,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,175387,3635,51250,3110,94833,4662,2506,802,8953,1256,17845,2232,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,23898,1430,5827,1398,15735,1230,212,245,1118,779,1006,474,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,622657,4688,162637,4872,413135,5478,4469,974,22462,1995,19954,2065,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,23462,1436,8494,1131,11790,1133,140,99,1114,424,1924,715,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1252813,6357,421795,8103,707786,9489,16727,2505,52907,3134,53598,3291,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
