GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002MA,C14005_002EA,C14005_003EA,C14005_003MA,C14005_004EA,C14005_004MA,C14005_005EA,C14005_005MA,C14005_006MA,C14005_006EA,C14005_007MA,C14005_007EA,C14005_008EA,C14005_008MA,C14005_009EA,C14005_009MA,C14005_010EA,C14005_010MA,C14005_011EA,C14005_011MA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014EA,C14005_014MA,C14005_015EA,C14005_015MA,C14005_016EA,C14005_016MA,C14005_017MA,C14005_017EA,C14005_018MA,C14005_018EA,C14005_019EA,C14005_019MA,state
0400000US06,2187805,10777,1130240,7388,962135,8829,168105,6364,120590,5071,85642,4269,34948,2603,47515,3806,24175,2412,23340,2496,1057565,8849,935042,9792,122523,4908,91210,4118,56389,3420,34821,2840,31313,2438,12905,1904,18408,1973,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,275489,4583,142380,3334,118600,3542,23780,2064,17275,1853,14515,1921,2760,784,6505,1131,3286,889,3219,904,133109,3350,114534,3336,18575,2072,13606,1724,9992,1364,3614,1051,4969,1319,2553,935,2416,783,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,205157,3018,104157,2104,88810,2779,15347,1725,12225,1616,9474,1538,2751,1069,3122,993,1996,940,1126,414,101000,2459,91987,2601,9013,1581,5868,1473,4559,1178,1309,754,3145,930,1539,552,1606,717,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50133,1900,25081,1200,21581,1404,3500,975,1721,659,1461,618,260,198,1779,779,697,488,1082,655,25052,1399,21675,1438,3377,975,1934,825,1503,691,431,314,1443,620,504,375,939,488,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34407,2138,15499,1473,12288,1728,3211,858,2125,806,1190,604,935,531,1086,562,303,316,783,448,18908,1690,17248,1768,1660,625,1344,599,577,298,767,531,316,291,54,83,262,288,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,960979,8771,492425,6681,413603,6921,78822,4573,50337,3643,33906,2788,16431,2231,28485,2677,12649,2192,15836,2153,468554,6922,408290,7211,60264,3984,41247,3412,28760,2852,12487,2475,19017,2708,7929,1742,11088,1874,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,573076,7806,296744,6164,238884,5814,57860,3500,38802,3154,29218,3127,9584,1787,19058,2686,7785,1447,11273,2144,276332,5904,231563,5555,44769,3623,30300,3303,20765,3189,9535,1776,14469,2168,5801,1365,8668,1718,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,67439,1884,35630,1421,26138,1706,9492,1541,8265,1417,6993,1299,1272,556,1227,555,703,413,524,304,31809,1285,25525,1364,6284,981,5004,955,3179,772,1825,551,1280,599,298,245,982,501,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,91103,2734,46536,2477,36627,2276,9909,1636,7284,1239,5031,1064,2253,774,2625,912,1199,525,1426,755,44567,2615,37585,2309,6982,1443,5711,1329,4292,1190,1419,732,1271,622,826,577,445,255,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,717636,6672,368327,4628,312604,4663,55723,3649,38223,2993,28557,2842,9666,1413,17500,1918,9125,1534,8375,1280,349309,4297,315656,5168,33653,2690,24759,2496,17619,2144,7140,1515,8894,1296,3678,883,5216,1048,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
