C08412_005E,C08412_005M,C08412_006E,C08412_006M,C08412_007E,C08412_007M,C08412_008E,C08412_008M,C08412_009E,C08412_009M,C08412_010E,C08412_010M,C08412_011E,C08412_011M,C08412_012E,C08412_012M,C08412_013E,C08412_013M,C08412_014E,C08412_014M,C08412_015E,C08412_015M,C08412_016E,C08412_016M,C08412_017E,C08412_017M,C08412_018E,C08412_018M,C08412_019E,C08412_019M,C08412_020E,C08412_020M,C08412_021E,C08412_021M,C08412_022E,C08412_022M,C08412_023E,C08412_023M,C08412_024E,C08412_024M,C08412_025E,C08412_025M,C08412_026E,C08412_026M,C08412_027E,C08412_027M,C08412_028E,C08412_028M,C08412_029E,C08412_029M,C08412_030E,C08412_030M,GEO_ID,C08412_001E,C08412_001M,C08412_002E,C08412_002M,C08412_003E,C08412_003M,C08412_004E,C08412_004M,C08412_005EA,C08412_005MA,C08412_006MA,C08412_006EA,C08412_007MA,C08412_007EA,C08412_008EA,C08412_008MA,C08412_009EA,C08412_009MA,C08412_010EA,C08412_010MA,C08412_011EA,C08412_011MA,C08412_012EA,C08412_012MA,C08412_013MA,C08412_013EA,C08412_014EA,C08412_014MA,C08412_015EA,C08412_015MA,C08412_016EA,C08412_016MA,C08412_017EA,C08412_017MA,C08412_018MA,C08412_018EA,C08412_019MA,C08412_019EA,C08412_020EA,C08412_020MA,C08412_021EA,C08412_021MA,C08412_022MA,C08412_022EA,C08412_023EA,C08412_023MA,C08412_024MA,C08412_024EA,C08412_025EA,C08412_025MA,C08412_026EA,C08412_026MA,C08412_027MA,C08412_027EA,C08412_028EA,C08412_028MA,C08412_029MA,C08412_029EA,C08412_030MA,C08412_030EA,NAME,C08412_001MA,C08412_001EA,C08412_002MA,C08412_002EA,C08412_003EA,C08412_003MA,C08412_004EA,C08412_004MA,state
2316482,26199,880881,15016,2341999,23831,1002043,17773,1255711,19575,1640223,20756,8563225,30336,817632,15682,1072426,18083,1269151,17797,1254378,18039,480611,10102,1336661,20327,573645,13486,730184,14545,1028537,16705,6996716,30827,810749,13225,1014368,15029,1138276,16613,1062104,18840,400270,9489,1005338,15027,428398,9722,525527,11905,611686,12460,0400000US06,15559941,42769,1628381,22165,2086794,25234,2407427,27476,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,06
359486,9252,151898,6914,329980,8506,154398,5416,164376,6349,146473,6493,1280269,10022,169405,6259,172198,5249,201018,7624,191789,6602,82863,4856,183788,6956,85885,4080,98770,5013,94553,5287,1071668,11778,163027,5952,164115,6549,175563,6389,167697,5877,69035,4394,146192,5256,68513,3851,65606,4096,51920,3020,0400000US08,2351937,16152,332432,9597,336313,8820,376581,9750,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,08
267657,9635,99565,5283,217302,7303,103472,4266,103850,5635,104173,5378,834632,9109,103212,5276,124307,5445,130535,5605,134501,5462,49758,3494,111932,5157,57744,4112,59591,3581,63052,4057,802202,7806,116723,5438,129871,5107,136167,5362,133156,6359,49807,3593,105370,4663,45728,3095,44259,3226,41121,3449,0400000US09,1636834,12558,219935,8421,254178,6723,266702,8451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,09
62747,3881,26452,2347,52447,4160,27223,2526,29457,3109,26719,2484,201175,4854,24282,2437,29285,2501,31630,2494,29216,2559,13256,1874,27511,2597,12966,1705,15898,1752,17131,1869,200687,5011,22313,2649,30945,3340,38362,2726,33531,2700,13196,1620,24936,2874,14257,1881,13559,2361,9588,1398,0400000US10,401862,7045,46595,3606,60230,4284,69992,3601,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,10
78792,4988,39375,3630,134863,6457,89645,4412,133774,5490,205106,7414,400928,8215,11989,1907,14432,2036,25903,2214,38669,3475,20178,2093,73061,4180,44527,3294,66238,3812,105931,4824,380337,8006,8869,1438,14699,2029,23818,2681,40123,2956,19197,2789,61802,4077,45118,3554,67536,3749,99175,4781,0400000US11,781265,12421,20858,2388,29131,2864,49721,3744,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,11
1265439,22603,509634,12933,1267463,22854,547045,13277,638921,17958,531543,13219,4002108,22429,360167,11163,488191,14034,612266,13773,648823,14263,254125,8566,675587,16247,295815,9452,347692,13675,319442,10563,3707674,23759,365595,12093,509733,14606,613785,14255,616616,14604,255509,8641,591876,12870,251230,8253,291229,9645,212101,7748,0400000US12,7709782,33052,725762,16974,997924,21040,1226051,18951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,12
587850,13709,239230,10037,578483,14280,284866,8568,372922,12154,340578,10577,2124922,17956,218272,7969,267014,9823,318313,11051,306438,9817,124720,7181,317661,9793,155750,7510,211866,8888,204888,8082,1883694,16576,212455,7463,267510,10392,321123,8417,281412,9106,114510,5837,260822,8933,129116,6055,161056,6860,135690,5634,0400000US13,4008616,25184,430727,11608,534524,15305,639436,13675,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,13
94038,4253,31100,2978,106129,4206,42298,2751,53190,3942,52723,3271,352835,5197,44434,2867,47805,3816,52699,3246,52648,3184,16932,2258,61497,2883,20287,1941,29949,3089,26584,2144,289420,5120,32953,2898,41436,3010,43450,2811,41390,2888,14168,1671,44632,3148,22011,2053,23241,2155,26139,2584,0400000US15,642255,7423,77387,4194,89241,5155,96149,4682,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,15
87467,5883,37966,4340,61385,4048,21784,2747,21847,2653,26413,3062,344086,5174,77133,4820,60615,3648,61091,3593,46661,3807,18990,2392,34752,3545,12575,1991,12819,1972,19450,2454,290245,6760,64916,3926,58497,3927,55217,4215,40806,4212,18976,3059,26633,2474,9209,1646,9028,1503,6963,1342,0400000US16,634331,8409,142049,6386,119112,5475,116308,5861,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,16
746361,14528,332936,9230,794322,15854,448071,10762,556864,11922,621529,11795,2973923,15393,339621,9477,357097,9244,359442,8862,377066,9093,173494,6322,431650,10158,253741,8451,314638,9133,367174,9113,2704095,17522,365636,8896,385317,9753,370822,9526,369295,9581,159442,5756,362672,10819,194330,6954,242226,7199,254355,6413,0400000US17,5678018,25159,705257,13727,742414,13725,730264,12531,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,17
