GEO_ID,B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,NAME,B13002I_001MA,B13002I_001EA,B13002I_002EA,B13002I_002MA,B13002I_003MA,B13002I_003EA,B13002I_004EA,B13002I_004MA,B13002I_005MA,B13002I_005EA,B13002I_006MA,B13002I_006EA,B13002I_007EA,B13002I_007MA,state
0400000US45,62399,2191,4063,1068,2486,852,1577,684,58336,2434,31565,2326,26771,2739,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,6346,1073,1464,749,542,419,922,631,4882,695,2384,686,2498,684,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,77112,2383,7027,1762,4186,1270,2841,1190,70085,2863,34718,2551,35367,2912,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,2613216,4269,186051,7099,110570,6056,75481,4852,2427165,7224,1170844,13015,1256321,12306,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,99474,1104,8510,1454,5821,1140,2689,932,90964,1808,44246,2427,46718,2159,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2793,497,211,181,75,137,136,130,2582,482,644,287,1938,440,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,194737,2463,12695,2239,6991,1326,5704,1720,182042,3485,86873,4393,95169,4173,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,210057,1760,14778,1994,9463,1579,5315,1096,195279,2590,88828,3713,106451,3949,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,5936,958,182,185,89,96,93,155,5754,986,2252,725,3502,859,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,88984,1637,6940,1442,2565,876,4375,1245,82044,2223,35749,2320,46295,2084,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,12794,994,1137,545,597,337,540,433,11657,1093,4185,925,7472,1163,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,898634,3314,35111,3380,15545,2465,19566,2417,863523,4349,288540,7329,574983,7549,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US01,44429,1954,4421,1038,3126,901,1295,625,40008,2231,22712,1907,17296,1962,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11864,850,1162,607,910,569,252,226,10702,927,4867,960,5835,891,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,522634,1589,36868,2903,19315,2266,17553,2113,485766,3496,205171,5942,280595,6113,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,52119,2011,3982,1169,2714,956,1268,702,48137,2335,25663,2134,22474,2538,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
