C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,GEO_ID,C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009EA,C05003_009MA,C05003_010EA,C05003_010MA,C05003_011MA,C05003_011EA,C05003_012MA,C05003_012EA,C05003_013EA,C05003_013MA,C05003_014MA,C05003_014EA,C05003_015EA,C05003_015MA,NAME,C05003_001MA,C05003_001EA,C05003_002EA,C05003_002MA,C05003_003MA,C05003_003EA,C05003_004EA,C05003_004MA,C05003_005EA,C05003_005MA,C05003_006MA,C05003_006EA,C05003_007EA,C05003_007MA,C05003_008MA,C05003_008EA,state
2485732,3772,549904,3168,541720,3531,8184,1619,1935828,2119,1862278,3854,73550,3578,0400000US01,4822023,-555555555,2336291,3772,575071,3482,566308,3701,8763,1592,1761220,2547,1688038,3815,73182,3605,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
350355,1702,90315,1470,87046,1684,3269,1500,260040,875,235208,2012,24832,1941,0400000US02,731449,-555555555,381094,1702,96950,1485,93769,1861,3181,964,284144,873,263113,1747,21031,1606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3292568,2638,790644,2127,761706,4217,28938,3316,2501924,1234,2072908,8635,429016,8318,0400000US04,6553255,-555555555,3260687,2638,828941,2093,802346,4153,26595,3356,2431746,1543,2040368,9781,391378,9939,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1499866,3205,344105,2982,339086,3339,5019,1289,1155761,1911,1098645,3360,57116,2850,0400000US05,2949131,-555555555,1449265,3205,367524,2955,361547,3392,5977,1515,1081741,2339,1020688,3575,61053,3321,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
19123657,4374,4514222,3722,4273193,9838,241029,8973,14609435,2693,9532322,27250,5077113,26796,0400000US06,38041430,-555555555,18917773,4374,4725084,3750,4475984,10085,249100,9721,14192689,3079,9459099,25785,4733590,26441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2586212,3232,602734,2669,581766,3386,20968,2600,1983478,2233,1749261,6806,234217,6805,0400000US08,5187582,-555555555,2601370,3232,628573,2610,607717,3858,20856,2515,1972797,2292,1742480,7955,230317,7189,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1840541,1927,387092,1461,371219,2311,15873,1923,1453449,1351,1216849,7221,236600,7130,0400000US09,3590347,-555555555,1749806,1927,405674,1450,388526,2693,17148,2290,1344132,1720,1118332,7900,225800,7976,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
472401,881,100290,815,97970,989,2320,836,372111,523,333568,2653,38543,2613,0400000US10,917092,-555555555,444691,881,104630,810,101211,1366,3419,1006,340061,629,306846,2466,33215,2487,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
333287,318,54468,263,51926,771,2542,748,278819,281,235462,2955,43357,2889,0400000US11,632323,-555555555,299036,318,54984,355,52802,684,2182,643,244052,267,201810,2842,42242,2789,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
9876567,6373,1961367,5446,1860481,7919,100886,6053,7915200,3177,6035566,18381,1879634,18070,0400000US12,19317568,-555555555,9441001,6373,2039606,5260,1934124,7350,105482,5485,7401395,3766,5740261,18346,1661134,18825,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
5068892,6551,1219626,6353,1185012,6425,34614,3827,3849266,3567,3419912,10371,429354,10217,0400000US13,9919945,-555555555,4851053,6551,1276121,6089,1243543,6277,32578,3184,3574932,3460,3131340,10240,443592,10039,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
691117,1123,147551,943,139688,1798,7863,1496,543566,650,405318,5555,138248,5337,0400000US15,1392313,-555555555,701196,1123,155330,941,147101,1493,8229,1438,545866,854,448340,4273,97526,4371,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
797016,2934,207313,2281,204147,2322,3166,1047,589703,1583,544863,2971,44840,3082,0400000US16,1595728,-555555555,798712,2934,217439,2386,213195,2826,4244,1370,581273,1772,536955,3625,44318,3276,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
