GEO_ID,B13002_001E,B13002_001M,B13002_002E,B13002_002M,B13002_003E,B13002_003M,B13002_004E,B13002_004M,B13002_005E,B13002_005M,B13002_006E,B13002_006M,B13002_007E,B13002_007M,B13002_008E,B13002_008M,B13002_009E,B13002_009M,B13002_010E,B13002_010M,B13002_011E,B13002_011M,B13002_012E,B13002_012M,B13002_013E,B13002_013M,B13002_014E,B13002_014M,B13002_015E,B13002_015M,B13002_016E,B13002_016M,B13002_017E,B13002_017M,B13002_018E,B13002_018M,B13002_019E,B13002_019M,NAME,B13002_001MA,B13002_001EA,B13002_002EA,B13002_002MA,B13002_003EA,B13002_003MA,B13002_004MA,B13002_004EA,B13002_005EA,B13002_005MA,B13002_006EA,B13002_006MA,B13002_007EA,B13002_007MA,B13002_008EA,B13002_008MA,B13002_009MA,B13002_009EA,B13002_010EA,B13002_010MA,B13002_011EA,B13002_011MA,B13002_012EA,B13002_012MA,B13002_013EA,B13002_013MA,B13002_014EA,B13002_014MA,B13002_015EA,B13002_015MA,B13002_016EA,B13002_016MA,B13002_017EA,B13002_017MA,B13002_018EA,B13002_018MA,B13002_019EA,B13002_019MA,state
0400000US06,9566715,8215,505431,12881,338236,9325,5200,1006,227494,7628,105542,4580,167195,7463,18997,2130,126561,6183,21637,2465,9061284,14353,3867266,22625,15386,1981,1177551,17070,2674329,14941,5194018,23718,1283487,5677,2533819,17453,1376712,14996,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1264490,3344,69995,3413,53974,3123,887,580,39388,2926,13699,1773,16021,2044,2157,755,11822,1849,2042,719,1194495,4922,557246,8892,2737,763,184404,4885,370105,6652,637249,9297,159118,2540,303957,6071,174174,6399,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865205,3029,38839,3109,26500,2336,208,332,17853,1831,8439,1177,12339,2128,1277,537,8940,1793,2122,913,826366,4395,344783,7238,594,504,83497,3967,260692,5548,481583,6893,123884,1724,217048,3760,140651,5467,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,222132,1392,12961,2218,8390,1651,0,182,5563,1137,2827,1197,4571,1246,700,434,3289,985,582,433,209171,2708,84455,3938,178,175,25049,1985,59228,3242,124716,4023,30395,1207,55411,2087,38910,3136,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192543,956,7632,1053,4407,864,0,197,2942,855,1465,484,3225,806,368,249,2221,698,636,383,184911,1399,41299,2720,100,130,17223,1774,23976,1824,143612,3003,21301,1585,83158,2534,39153,1902,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4467985,8400,224836,8016,130563,5853,787,466,91057,4424,38719,3505,94273,6877,9589,1773,69080,5649,15604,2798,4243149,11882,1753795,18084,7330,1601,511657,11403,1234808,14467,2489354,20077,564450,5606,1158279,12685,766625,14867,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525314,7658,157038,6185,96356,5741,1343,554,66233,4793,28780,2686,60682,4513,7397,1638,43907,3869,9378,2154,2368276,10253,1037340,15139,4326,1134,327315,9044,705699,10405,1330936,15970,331260,6077,593504,8789,406172,9455,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,321458,1934,20898,2101,13664,1642,102,160,10000,1443,3562,831,7234,1332,819,457,5562,1337,853,356,300560,2686,136375,3799,1047,451,46037,2785,89291,2727,164185,4223,37471,1137,77903,3090,48811,2823,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372138,2642,24546,2778,17643,2162,257,195,14303,1952,3083,835,6903,1585,1027,596,5417,1309,459,454,347592,3925,175885,4880,1150,726,67157,3633,107578,3602,171707,5411,54246,2562,71702,4038,45759,3299,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3162903,5749,158016,5614,101301,4201,666,374,72540,3335,28095,2875,56715,3665,7660,1473,42367,3110,6688,1275,3004887,7477,1281083,13506,3590,897,381909,8008,895584,10202,1723804,13544,421064,3479,830062,9739,472678,8595,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
