GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002MA,B15002F_002EA,B15002F_003MA,B15002F_003EA,B15002F_004MA,B15002F_004EA,B15002F_005EA,B15002F_005MA,B15002F_006EA,B15002F_006MA,B15002F_007MA,B15002F_007EA,B15002F_008MA,B15002F_008EA,B15002F_009MA,B15002F_009EA,B15002F_010EA,B15002F_010MA,B15002F_011EA,B15002F_011MA,B15002F_012MA,B15002F_012EA,B15002F_013MA,B15002F_013EA,B15002F_014MA,B15002F_014EA,B15002F_015EA,B15002F_015MA,B15002F_016EA,B15002F_016MA,B15002F_017EA,B15002F_017MA,B15002F_018MA,B15002F_018EA,B15002F_019MA,B15002F_019EA,state
0400000US06,2702812,29823,1380084,17052,371347,9490,247691,9265,329967,10831,37238,3004,236183,7731,56530,3719,72775,4522,28353,3258,1322728,16312,364732,8608,211973,7922,286321,9508,30753,2409,235764,7995,72373,4808,86215,5027,34597,3210,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,125032,7302,64418,4571,15009,2746,10064,1750,16289,2067,3446,868,10271,1631,3120,920,3996,1020,2223,875,60614,3938,11098,1842,10135,1729,12799,1796,4794,1120,10441,1821,3597,927,4887,1118,2863,1050,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,96373,5998,50346,4125,8032,1998,7792,1727,14446,1974,3532,1085,8816,1657,1151,570,4883,1386,1694,905,46027,3240,7101,1358,6154,1182,13886,2193,1677,736,9053,1320,1999,752,4337,1179,1820,753,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,12912,2476,6921,1636,1295,781,1089,654,2150,952,203,277,720,379,381,361,545,506,538,385,5991,1113,1029,529,376,396,1799,723,52,89,1145,478,279,242,1147,812,164,258,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17558,3030,9109,1599,1942,767,891,483,1643,657,447,412,982,469,374,330,1346,631,1484,695,8449,1734,2379,834,1292,672,1975,810,0,197,611,369,39,48,1403,649,750,498,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,268152,13773,138399,7947,26233,3792,16358,2697,34176,4013,5369,1495,23355,2911,11023,2227,15763,2497,6122,1287,129753,7914,21474,2913,15339,2884,29340,4330,4147,1304,20706,2592,11566,2194,17705,3237,9476,1912,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,154723,7743,89070,4981,25111,3279,14732,2971,20882,2945,6033,1935,10331,2093,4115,1439,6337,1560,1529,667,65653,4251,16356,2149,10227,1558,15535,2399,1398,631,10722,2118,3708,1357,5393,1423,2314,915,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9715,1579,5290,1037,223,212,510,432,2034,716,133,135,1173,520,376,292,630,533,211,172,4425,901,127,166,510,592,1381,541,47,80,613,362,426,300,951,548,370,284,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,22451,2981,12411,2068,4194,1095,1696,685,2664,970,597,356,2450,1142,376,251,179,180,255,192,10040,1662,2987,809,1557,583,1954,755,360,382,1548,634,282,256,997,671,355,331,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,405149,12572,213799,7319,57982,4242,38687,3518,57332,5173,8091,1604,27505,2925,7147,1537,12186,1875,4869,1298,191350,6662,52413,3787,27553,2385,45778,3870,6281,1238,28643,3018,10264,1476,14746,2214,5672,1272,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,79578,5001,42977,3188,9277,1914,7693,1617,13093,2539,1700,621,5674,1234,2147,863,2673,1135,720,508,36601,2802,10099,1784,4855,1251,9414,1702,1303,499,4798,1087,2259,1060,3106,1026,767,465,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,19058,2803,10817,1631,3659,1353,1659,723,1957,680,271,243,1499,686,911,723,541,355,320,247,8241,1663,2513,1008,1281,991,1312,627,236,240,1726,610,684,506,335,310,154,118,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31520,3342,18314,2061,5039,1232,3562,967,4978,1225,547,314,2117,706,1285,590,443,316,343,220,13206,1797,3230,839,3151,830,2867,919,492,272,1764,569,547,292,737,572,418,276,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20436,3412,12501,2500,5030,1471,1307,627,3441,1145,307,243,761,487,317,248,895,709,443,389,7935,1547,2775,1037,369,298,1997,838,134,137,1237,680,361,334,847,556,215,182,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,30881,4877,17339,3000,4582,1399,3294,1139,3661,1204,438,305,1857,920,734,545,1672,926,1101,603,13542,2603,2840,920,885,401,3409,1297,534,366,2597,1007,1379,901,1171,526,727,434,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
