B23002H_044E,B23002H_044M,B23002H_045E,B23002H_045M,B23002H_046E,B23002H_046M,B23002H_047E,B23002H_047M,B23002H_048E,B23002H_048M,B23002H_049E,B23002H_049M,B23002H_050E,B23002H_050M,B23002H_051E,B23002H_051M,B23002H_052E,B23002H_052M,B23002H_053E,B23002H_053M,B23002H_054E,B23002H_054M,B23002H_055E,B23002H_055M,B23002H_056E,B23002H_056M,B23002H_057E,B23002H_057M,B23002H_058E,B23002H_058M,B23002H_059E,B23002H_059M,B23002H_060E,B23002H_060M,B23002H_061E,B23002H_061M,B23002H_062E,B23002H_062M,B23002H_063E,B23002H_063M,B23002H_064E,B23002H_064M,B23002H_065E,B23002H_065M,B23002H_066E,B23002H_066M,B23002H_067E,B23002H_067M,B23002H_068E,B23002H_068M,B23002H_069E,B23002H_069M,B23002H_070E,B23002H_070M,B23002H_071E,B23002H_071M,B23002H_072E,B23002H_072M,B23002H_073E,B23002H_073M,B23002H_074E,B23002H_074M,B23002H_075E,B23002H_075M,B23002H_076E,B23002H_076M,B23002H_077E,B23002H_077M,B23002H_078E,B23002H_078M,B23002H_079E,B23002H_079M,GEO_ID,B23002H_001E,B23002H_001M,B23002H_002E,B23002H_002M,B23002H_003E,B23002H_003M,B23002H_004E,B23002H_004M,B23002H_005E,B23002H_005M,B23002H_006E,B23002H_006M,B23002H_007E,B23002H_007M,B23002H_008E,B23002H_008M,B23002H_009E,B23002H_009M,B23002H_010E,B23002H_010M,B23002H_011E,B23002H_011M,B23002H_012E,B23002H_012M,B23002H_013E,B23002H_013M,B23002H_014E,B23002H_014M,B23002H_015E,B23002H_015M,B23002H_016E,B23002H_016M,B23002H_017E,B23002H_017M,B23002H_018E,B23002H_018M,B23002H_019E,B23002H_019M,B23002H_020E,B23002H_020M,B23002H_021E,B23002H_021M,B23002H_022E,B23002H_022M,B23002H_023E,B23002H_023M,B23002H_024E,B23002H_024M,B23002H_025E,B23002H_025M,B23002H_026E,B23002H_026M,B23002H_027E,B23002H_027M,B23002H_028E,B23002H_028M,B23002H_029E,B23002H_029M,B23002H_030E,B23002H_030M,B23002H_031E,B23002H_031M,B23002H_032E,B23002H_032M,B23002H_033E,B23002H_033M,B23002H_034E,B23002H_034M,B23002H_035E,B23002H_035M,B23002H_036E,B23002H_036M,B23002H_037E,B23002H_037M,B23002H_038E,B23002H_038M,B23002H_039E,B23002H_039M,B23002H_040E,B23002H_040M,B23002H_041E,B23002H_041M,B23002H_042E,B23002H_042M,B23002H_043E,B23002H_043M,B23002H_044MA,B23002H_044EA,B23002H_045EA,B23002H_045MA,B23002H_046EA,B23002H_046MA,B23002H_047EA,B23002H_047MA,B23002H_048MA,B23002H_048EA,B23002H_049MA,B23002H_049EA,B23002H_050MA,B23002H_050EA,B23002H_051EA,B23002H_051MA,B23002H_052EA,B23002H_052MA,B23002H_053EA,B23002H_053MA,B23002H_054MA,B23002H_054EA,B23002H_055MA,B23002H_055EA,B23002H_056EA,B23002H_056MA,B23002H_057EA,B23002H_057MA,B23002H_058EA,B23002H_058MA,B23002H_059MA,B23002H_059EA,B23002H_060MA,B23002H_060EA,B23002H_061MA,B23002H_061EA,B23002H_062EA,B23002H_062MA,B23002H_063EA,B23002H_063MA,B23002H_064EA,B23002H_064MA,B23002H_065MA,B23002H_065EA,B23002H_066MA,B23002H_066EA,B23002H_067EA,B23002H_067MA,B23002H_068EA,B23002H_068MA,B23002H_069EA,B23002H_069MA,B23002H_070EA,B23002H_070MA,B23002H_071EA,B23002H_071MA,B23002H_072EA,B23002H_072MA,B23002H_073MA,B23002H_073EA,B23002H_074MA,B23002H_074EA,B23002H_075EA,B23002H_075MA,B23002H_076EA,B23002H_076MA,B23002H_077EA,B23002H_077MA,B23002H_078MA,B23002H_078EA,B23002H_079MA,B23002H_079EA,NAME,B23002H_001MA,B23002H_001EA,B23002H_002MA,B23002H_002EA,B23002H_003EA,B23002H_003MA,B23002H_004MA,B23002H_004EA,B23002H_005MA,B23002H_005EA,B23002H_006MA,B23002H_006EA,B23002H_007MA,B23002H_007EA,B23002H_008MA,B23002H_008EA,B23002H_009EA,B23002H_009MA,B23002H_010MA,B23002H_010EA,B23002H_011MA,B23002H_011EA,B23002H_012MA,B23002H_012EA,B23002H_013MA,B23002H_013EA,B23002H_014EA,B23002H_014MA,B23002H_015MA,B23002H_015EA,B23002H_016MA,B23002H_016EA,B23002H_017MA,B23002H_017EA,B23002H_018MA,B23002H_018EA,B23002H_019MA,B23002H_019EA,B23002H_020EA,B23002H_020MA,B23002H_021EA,B23002H_021MA,B23002H_022EA,B23002H_022MA,B23002H_023MA,B23002H_023EA,B23002H_024MA,B23002H_024EA,B23002H_025EA,B23002H_025MA,B23002H_026EA,B23002H_026MA,B23002H_027EA,B23002H_027MA,B23002H_028MA,B23002H_028EA,B23002H_029MA,B23002H_029EA,B23002H_030EA,B23002H_030MA,B23002H_031EA,B23002H_031MA,B23002H_032EA,B23002H_032MA,B23002H_033MA,B23002H_033EA,B23002H_034MA,B23002H_034EA,B23002H_035EA,B23002H_035MA,B23002H_036EA,B23002H_036MA,B23002H_037EA,B23002H_037MA,B23002H_038MA,B23002H_038EA,B23002H_039MA,B23002H_039EA,B23002H_040EA,B23002H_040MA,B23002H_041EA,B23002H_041MA,B23002H_042EA,B23002H_042MA,B23002H_043MA,B23002H_043EA,state
466,308,103870,4284,78978,4022,24892,2212,199512,5955,449758,2149,332253,5238,3570,872,328683,5167,289716,5276,38967,3354,117505,5351,2956462,2403,2259976,12803,3648,1013,2256328,12799,2065333,13889,190995,6919,696486,12674,1167485,839,705519,6920,30,65,705489,6915,651042,7697,54447,3411,461966,6921,459740,5940,142038,4468,131054,4452,10984,1589,317702,6363,1090594,6101,81367,4306,75199,4307,6168,1107,1009227,6053,0400000US06,12757534,8502,6329647,4428,327371,3563,104248,3832,4535,1154,99713,3857,67841,3583,31872,2606,223123,4912,492876,1842,370252,5562,31767,2612,338485,6545,272017,5775,66468,4321,122624,5679,3114969,2236,2742308,10072,41833,3444,2700475,10747,2459631,13004,240844,6648,372661,9631,1142383,958,813648,8285,293,207,813355,8319,744287,8310,69068,3897,328735,8079,423323,5468,168562,4379,153919,4256,14643,1695,254761,6068,828725,5469,122228,4039,113289,3715,8939,1306,706497,5588,6427887,5492,303848,4566,104336,4251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
178,129,35254,2383,28867,1982,6387,1375,45749,2806,113393,1260,88284,2727,862,356,87422,2752,80393,2823,7029,1357,25109,2544,756383,1069,609951,5654,1239,430,608712,5611,574225,6313,34487,2841,146432,5536,266278,49,168241,3561,0,189,168241,3561,158921,3617,9320,1310,98037,3560,95176,2591,31020,2003,28617,1688,2403,694,64156,2594,188260,2630,16597,1611,15520,1582,1077,388,171663,2698,0400000US08,2974149,3135,1473478,2485,87071,2196,37567,2228,1217,366,36350,2276,26261,2150,10089,1457,49504,2460,120328,1211,96995,2720,6626,1023,90369,2990,80706,3128,9663,1617,23333,2427,776491,1898,710031,3892,12758,2032,697273,4105,659143,4291,38130,2980,66460,3725,257255,184,195035,3316,84,137,194951,3327,181978,3489,12973,1672,62220,3288,89427,2610,37724,2626,35175,2478,2549,760,51703,2696,142906,2590,22646,2025,21649,2019,997,338,120260,2696,1500671,2020,81181,2259,35432,2390,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
118,101,28281,2138,23367,2080,4914,1036,35319,2402,66324,284,52034,2018,177,123,51857,2036,46842,2073,5015,938,14290,1995,501319,832,415360,3881,266,298,415094,3848,387643,4708,27451,2739,85959,3785,195918,172,139238,3015,0,193,139238,3015,131103,2860,8135,1091,56680,2992,74823,2114,26532,1995,24991,1898,1541,459,48291,2241,188802,2152,15920,1482,15444,1431,476,236,172882,2277,0400000US09,2102439,3195,1011535,2134,65934,1527,26141,1858,965,359,25176,1859,20013,1767,5163,1018,39793,2010,71832,217,54825,2035,1744,451,53081,2146,44767,2502,8314,1661,17007,2083,490117,1260,451076,2389,3105,874,447971,2523,414875,4123,33096,3171,39041,2611,186014,146,148738,2535,0,193,148738,2535,139093,2760,9645,1377,37276,2539,66806,1812,30074,1637,27199,1654,2875,766,36732,2041,130832,1826,21451,1850,19676,1811,1775,622,109381,1960,1090904,2064,63718,1603,28399,2131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0,182,4921,923,4226,851,695,330,9185,884,19886,127,13625,1282,0,182,13625,1282,12258,1246,1367,593,6261,1278,114293,432,91753,1756,38,46,91715,1766,86385,2045,5330,1003,22540,1833,46511,154,28430,1573,0,182,28430,1573,27261,1617,1169,413,18081,1578,19967,979,6785,870,6490,895,295,199,13182,1086,43615,1086,3686,784,3552,776,134,144,39929,1295,0400000US10,496402,1691,238024,1100,14466,751,4819,809,11,21,4808,812,3833,770,975,433,9647,950,19451,106,13908,1245,520,274,13388,1254,11190,1247,2198,874,5543,1266,110860,773,99295,1561,1171,668,98124,1705,92254,1682,5870,986,11565,1494,42009,83,28994,1463,43,73,28951,1451,27197,1457,1754,639,13015,1459,17237,1141,6476,951,5829,909,647,316,10761,1122,34001,1169,4693,785,4182,731,511,221,29308,1222,258378,943,14106,654,4921,923,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0,197,2188,1392,1919,1407,269,287,2695,665,13931,1353,11005,1301,140,259,10865,1332,10508,1365,357,249,2926,937,61427,289,56948,1094,209,201,56739,1106,54955,1373,1784,790,4479,1069,10136,197,8132,567,0,197,8132,567,7910,585,222,206,2004,567,4601,584,1897,546,1851,547,46,76,2704,619,7454,588,1390,584,1390,584,0,197,6064,669,0400000US11,202395,727,99963,584,3918,1108,993,547,302,339,691,423,619,387,72,122,2925,953,11182,1066,7930,1283,667,298,7263,1264,6833,1205,430,308,3252,967,64070,543,60408,1302,1319,599,59089,1395,57105,1392,1984,714,3662,1103,10109,123,7798,721,108,128,7690,706,7290,709,400,299,2311,721,3883,564,2643,499,2454,495,189,197,1240,403,6801,564,1746,499,1746,499,0,197,5055,517,102432,421,4883,1369,2188,1392,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
488,271,81126,3652,61176,3338,19950,2273,133428,4565,307673,1888,222505,5576,933,447,221572,5632,192058,5610,29514,3744,85168,5660,1979195,2138,1513960,11363,2649,844,1511311,11434,1385665,12558,125646,6128,465235,11366,871717,668,499088,7813,118,133,498970,7843,463689,8067,35281,3283,372629,7833,414834,6364,102290,4059,94435,4081,7855,1199,312544,6485,1041395,6291,67655,4202,61749,3882,5906,1250,973740,6869,0400000US12,9409962,6839,4580106,4376,233418,3948,82763,4133,1868,611,80895,4010,53996,3606,26899,2779,150655,4510,319637,2119,238780,4802,9482,1460,229298,4839,188393,5600,40905,3292,80857,4745,2003989,2130,1737111,7721,18788,2593,1718323,7539,1561297,9790,157026,8118,266878,7693,798968,735,522642,5177,134,126,522508,5171,478434,6502,44074,3673,276326,5093,374912,5667,114370,4056,102217,3962,12153,1755,260542,6554,849182,5638,89891,3956,81738,3807,8153,1261,759291,6064,4829856,4651,215042,4329,81614,3615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
70,98,49138,3114,36465,2735,12673,1896,84659,3782,170740,2826,114721,3974,1699,915,113022,4023,100231,4352,12791,2005,56019,3869,1116353,2164,825589,8608,1336,577,824253,8478,766317,8689,57936,3536,290764,8218,383791,255,210567,4620,0,208,210567,4620,197612,4631,12955,1677,173224,4583,153975,4137,35754,2430,33889,2363,1865,498,118221,4435,317684,4251,21302,2009,19639,1908,1663,754,296382,3961,0400000US13,4446110,4350,2169700,3508,142906,4104,49928,3338,3138,497,46790,3213,33815,3020,12975,1778,92978,3955,181036,3195,137097,4105,9899,1133,127198,3939,105288,4305,21910,2331,43939,3342,1115016,1854,979001,6472,17162,2070,961839,6544,891709,7882,70130,3964,136015,6019,359508,264,251167,3729,329,290,250838,3748,232855,3971,17983,2195,108341,3749,138841,3769,46253,2751,42956,2783,3297,665,92588,3807,232393,3792,31717,2455,29962,2420,1755,633,200676,3912,2276410,3233,133867,3936,49208,3112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
107,117,1277,626,1119,605,158,128,3016,611,9579,284,6313,710,534,293,5779,711,5200,749,579,415,3266,632,60160,212,43117,1960,997,380,42120,1908,39591,2048,2529,728,17043,1909,25798,38,16683,1111,42,68,16641,1118,15366,1270,1275,536,9115,1115,9300,823,2901,687,2721,663,180,153,6399,893,16881,846,1880,637,1880,637,0,177,15001,832,0400000US15,280626,647,154508,413,5106,680,2451,674,687,382,1764,753,1449,726,315,267,2655,637,16124,661,13358,877,7613,1034,5745,855,5361,828,384,300,2766,946,77801,400,70834,1483,12610,1541,58224,2118,54829,2119,3395,844,6967,1538,28674,2,19043,1370,51,40,18992,1366,17747,1367,1245,497,9631,1370,10694,904,4865,830,4351,751,514,342,5829,859,16109,910,2791,734,2712,727,79,96,13318,1051,126118,582,4400,589,1384,617,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
48,84,16576,1360,12582,1203,3994,1015,18610,1501,44309,908,33492,1689,91,147,33401,1718,29892,1685,3509,1249,10817,1586,252673,477,188404,4262,192,199,188212,4234,177550,4042,10662,1914,64269,4217,89200,111,51458,2179,0,187,51458,2179,49337,2199,2121,684,37742,2175,34855,1855,8447,1266,8039,1225,408,247,26408,1854,71855,1863,4316,1021,4127,994,189,175,67539,2011,0400000US16,1041834,1719,513708,1362,35890,1459,16692,1697,0,187,16692,1697,13423,1726,3269,720,19198,1902,44150,952,34978,2166,553,316,34425,2155,31040,2181,3385,875,9172,1891,253647,940,222548,2618,1013,509,221535,2716,206920,3288,14615,2311,31099,2504,86531,122,57487,2178,45,77,57442,2178,53670,2330,3772,978,29044,2196,33779,1904,10840,1246,10161,1288,679,312,22939,1678,59711,1910,7135,1156,6765,1157,370,270,52576,2046,528126,1491,35234,1574,16624,1368,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
343,409,81664,3416,66144,2984,15520,1685,108612,3956,247455,1807,196221,3494,1017,674,195204,3495,176775,3563,18429,2111,51234,3234,1655909,1216,1344788,7227,1124,472,1343664,7231,1256810,8029,86854,3778,311121,7254,584006,553,379608,5581,0,179,379608,5581,359041,5333,20567,2133,204398,5671,217845,3710,68843,3153,64952,3055,3891,950,149002,4249,546702,3689,40672,2794,38742,2731,1930,592,506030,4201,0400000US17,6684164,5143,3241628,3981,203645,3056,79878,4037,1668,558,78210,3959,57267,3198,20943,2043,123767,3699,253741,1618,199427,3886,2950,778,196477,4089,169679,4244,26798,2441,54314,3410,1650925,2507,1506042,6359,5167,861,1500875,6407,1393903,7046,106972,4830,144883,6048,560273,492,415623,4199,123,144,415500,4209,388690,4346,26810,2404,144650,4247,190720,3632,70894,3677,66792,3529,4102,789,119826,3557,382324,3742,55740,2866,53337,2922,2403,572,326584,4052,3442536,3225,190619,2581,82007,3428,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
