GEO_ID,C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,NAME,C27013_001MA,C27013_001EA,C27013_002MA,C27013_002EA,C27013_003MA,C27013_003EA,C27013_004EA,C27013_004MA,C27013_005EA,C27013_005MA,C27013_006MA,C27013_006EA,C27013_007MA,C27013_007EA,C27013_008MA,C27013_008EA,C27013_009EA,C27013_009MA,C27013_010EA,C27013_010MA,C27013_011MA,C27013_011EA,C27013_012MA,C27013_012EA,C27013_013MA,C27013_013EA,C27013_014EA,C27013_014MA,C27013_015EA,C27013_015MA,C27013_016EA,C27013_016MA,C27013_017MA,C27013_017EA,C27013_018MA,C27013_018EA,C27013_019EA,C27013_019MA,C27013_020EA,C27013_020MA,C27013_021EA,C27013_021MA,C27013_022MA,C27013_022EA,state
0400000US06,28300786,5990,11135482,39916,10760157,40005,8526265,42026,2233892,28161,375325,9046,279781,7663,95544,5435,7400403,37523,6897569,35646,3877586,30536,3019983,28958,502834,10547,307519,8284,195315,6993,9764901,40563,6140655,37821,2640687,27820,3499968,34534,3624246,12372,1845764,16089,1778482,18013,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3865758,2996,1751392,14674,1694692,14487,1412326,14326,282366,8847,56700,3107,43378,3026,13322,1472,1072989,15408,983434,14625,615839,12223,367595,9808,89555,4080,59352,3623,30203,2696,1041377,13314,592037,11981,308834,8446,283203,9189,449340,4312,292856,5432,156484,4931,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2742794,1530,1186018,11334,1139030,11281,996287,10480,142743,7121,46988,2682,39060,2348,7928,1179,744302,11274,670872,11001,457430,9680,213442,7580,73430,3274,53542,3028,19888,2014,812474,10782,423257,9593,208979,6689,214278,7508,389217,3812,251555,4763,137662,4714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,698421,815,300009,5999,290011,5721,252175,5267,37836,3136,9998,1152,8407,1009,1591,608,174916,5166,155680,4719,98570,4187,57110,3653,19236,1571,13715,1357,5521,1045,223496,4891,115526,4904,56374,3083,59152,4190,107970,2070,79784,2805,28186,2075,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512198,740,245250,5310,235086,5152,208937,5241,26149,2746,10164,1368,8816,1166,1348,486,122796,5231,114584,5009,77694,4402,36890,3053,8212,1222,5631,937,2581,848,144152,5914,92720,5131,38096,3566,54624,4358,51432,1764,33464,2067,17968,1783,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15019927,4591,5749328,29253,5524997,28678,4202807,28371,1322190,23719,224331,7062,152411,5902,71920,3682,3395137,26253,3048606,25905,1547359,19327,1501247,25020,346531,8481,194994,6631,151537,6368,5875462,28487,3005010,29042,1220380,20324,1784630,25258,2870452,11319,1549255,15738,1321197,14739,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7227250,5374,3060195,22590,2973284,22108,2428995,23224,544289,14915,86911,4557,66799,3799,20112,2490,1633984,19634,1517067,18591,871964,16127,645103,14313,116917,4353,77385,3855,39532,3154,2533071,22858,1626926,21534,710581,14317,916345,17730,906145,6471,526950,9315,379195,8646,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039143,2521,446687,7474,422975,6852,392417,6797,30558,3229,23712,1979,21363,1848,2349,770,253800,6802,231604,6698,165213,5859,66391,4170,22196,1791,17455,1762,4741,717,338656,6337,179031,5875,96563,4725,82468,4690,159625,2438,111918,3663,47707,3137,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1151756,1357,455325,8119,441534,8119,361677,7550,79857,4701,13791,1533,11120,1304,2671,669,339266,9274,310898,9197,189209,7823,121689,5279,28368,2408,19179,1929,9189,1303,357165,7414,192527,7312,96335,5244,96192,5064,164638,3189,107734,4089,56904,3803,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9639316,2624,4200644,20759,4064798,21192,3441899,19545,622899,12834,135846,4863,109258,4586,26588,2320,2413214,22044,2213539,20960,1405878,18277,807661,14686,199675,6068,144984,4930,54691,3015,3025458,18803,1728168,16971,799684,12872,928484,15043,1297290,7439,824820,8984,472470,9104,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
