GEO_ID,C18108_001E,C18108_001M,C18108_002E,C18108_002M,C18108_003E,C18108_003M,C18108_004E,C18108_004M,C18108_005E,C18108_005M,C18108_006E,C18108_006M,C18108_007E,C18108_007M,C18108_008E,C18108_008M,C18108_009E,C18108_009M,C18108_010E,C18108_010M,C18108_011E,C18108_011M,C18108_012E,C18108_012M,C18108_013E,C18108_013M,NAME,C18108_001MA,C18108_001EA,C18108_002EA,C18108_002MA,C18108_003MA,C18108_003EA,C18108_004EA,C18108_004MA,C18108_005EA,C18108_005MA,C18108_006MA,C18108_006EA,C18108_007MA,C18108_007EA,C18108_008EA,C18108_008MA,C18108_009EA,C18108_009MA,C18108_010EA,C18108_010MA,C18108_011MA,C18108_011EA,C18108_012MA,C18108_012EA,C18108_013EA,C18108_013MA,state
0400000US06,37524274,5678,9223488,2226,197282,6820,84999,4738,8941207,7943,23798381,6859,1008033,18002,883362,17001,21906986,22269,4502405,3414,671427,10459,976435,13718,2854543,13591,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,1229008,1526,32264,2729,10387,1452,1186357,3418,3270163,3317,161804,5941,114967,5788,2993392,9168,595595,1720,94759,3682,98357,3809,402479,4529,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,791825,1036,22609,2566,8636,1651,760580,3291,2233159,2310,104281,5228,79508,4305,2049370,6747,509635,1466,74480,3013,87104,3567,348051,4279,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,204494,412,6083,1336,1728,657,196683,1526,561217,1007,31465,2543,24937,2495,504815,3527,137204,760,21739,1910,22195,1787,93270,2168,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,109182,272,4070,1218,1646,604,103466,1351,442390,824,22852,2026,19093,1893,400445,2752,69808,467,9449,1326,13981,1659,46378,1991,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,3991143,2753,119500,6340,39824,3382,3831819,7429,11578613,5808,593605,13686,560169,14730,10424839,20503,3441314,4139,526263,11757,620977,13975,2294074,15716,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,2492161,3756,73981,5422,24226,3165,2393954,6603,6117277,6356,336683,8722,309049,10174,5471545,14389,1109973,3903,175565,5696,248981,5442,685427,7112,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,302565,595,6094,1173,2537,715,293934,1653,833610,2626,37054,3533,30214,2809,766342,5171,205533,814,29329,2249,41394,2377,134810,2983,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,423926,1170,13471,2074,5816,1850,404639,2940,944959,1811,55943,4290,47546,3885,841470,6187,206797,1353,33924,2328,38594,2700,134279,2949,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,3059055,2414,77427,4726,32052,3045,2949576,5141,8006505,3806,360830,9683,314263,8045,7331412,13392,1632811,3327,254176,5425,317865,6942,1060770,7563,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
