GEO_ID,C19037_001E,C19037_001M,C19037_002E,C19037_002M,C19037_003E,C19037_003M,C19037_004E,C19037_004M,C19037_005E,C19037_005M,C19037_006E,C19037_006M,C19037_007E,C19037_007M,C19037_008E,C19037_008M,C19037_009E,C19037_009M,C19037_010E,C19037_010M,C19037_011E,C19037_011M,C19037_012E,C19037_012M,C19037_013E,C19037_013M,C19037_014E,C19037_014M,C19037_015E,C19037_015M,C19037_016E,C19037_016M,C19037_017E,C19037_017M,C19037_018E,C19037_018M,C19037_019E,C19037_019M,C19037_020E,C19037_020M,C19037_021E,C19037_021M,C19037_022E,C19037_022M,C19037_023E,C19037_023M,C19037_024E,C19037_024M,C19037_025E,C19037_025M,C19037_026E,C19037_026M,C19037_027E,C19037_027M,C19037_028E,C19037_028M,C19037_029E,C19037_029M,C19037_030E,C19037_030M,C19037_031E,C19037_031M,C19037_032E,C19037_032M,C19037_033E,C19037_033M,C19037_034E,C19037_034M,C19037_035E,C19037_035M,C19037_036E,C19037_036M,C19037_037E,C19037_037M,C19037_038E,C19037_038M,C19037_039E,C19037_039M,C19037_040E,C19037_040M,C19037_041E,C19037_041M,C19037_042E,C19037_042M,C19037_043E,C19037_043M,C19037_044E,C19037_044M,C19037_045E,C19037_045M,NAME,C19037_001EA,C19037_001MA,C19037_002MA,C19037_002EA,C19037_003EA,C19037_003MA,C19037_004MA,C19037_004EA,C19037_005EA,C19037_005MA,C19037_006EA,C19037_006MA,C19037_007EA,C19037_007MA,C19037_008MA,C19037_008EA,C19037_009EA,C19037_009MA,C19037_010EA,C19037_010MA,C19037_011EA,C19037_011MA,C19037_012EA,C19037_012MA,C19037_013MA,C19037_013EA,C19037_014EA,C19037_014MA,C19037_015EA,C19037_015MA,C19037_016EA,C19037_016MA,C19037_017MA,C19037_017EA,C19037_018EA,C19037_018MA,C19037_019MA,C19037_019EA,C19037_020EA,C19037_020MA,C19037_021EA,C19037_021MA,C19037_022MA,C19037_022EA,C19037_023EA,C19037_023MA,C19037_024MA,C19037_024EA,C19037_025MA,C19037_025EA,C19037_026EA,C19037_026MA,C19037_027EA,C19037_027MA,C19037_028MA,C19037_028EA,C19037_029EA,C19037_029MA,C19037_030MA,C19037_030EA,C19037_031EA,C19037_031MA,C19037_032EA,C19037_032MA,C19037_033MA,C19037_033EA,C19037_034EA,C19037_034MA,C19037_035MA,C19037_035EA,C19037_036MA,C19037_036EA,C19037_037EA,C19037_037MA,C19037_038EA,C19037_038MA,C19037_039MA,C19037_039EA,C19037_040EA,C19037_040MA,C19037_041MA,C19037_041EA,C19037_042EA,C19037_042MA,C19037_043MA,C19037_043EA,C19037_044EA,C19037_044MA,C19037_045EA,C19037_045MA,state
0400000US06,12552658,18433,430554,8660,86448,4859,38242,2937,73277,4573,59577,3158,63484,4721,59535,3727,25103,2434,15964,1829,5236,1229,3688,1187,4466619,20422,263850,8529,173859,6679,405118,10310,403337,10615,589184,13451,811231,14533,576016,11406,684255,13370,285784,7428,273985,7219,5028934,17803,278088,7668,221383,7054,392609,9586,376355,9682,558512,10965,841155,14107,651557,10676,841483,14617,403212,7474,464580,9510,2626551,11718,166445,5739,238457,7940,397857,8855,311039,8539,373855,8073,417151,8671,247516,5359,259697,7674,100351,4477,114183,4413,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,101935,4264,19155,2563,9562,1745,21024,2421,14787,2035,15943,1968,14154,2021,4474,1016,1818,709,676,549,342,271,720177,7020,34752,3438,21124,2143,60904,4021,68713,4421,105165,5040,148425,5345,104992,4626,107458,3989,38191,3682,30453,2669,792590,6986,49655,3200,30291,2552,54347,3546,59776,3659,93276,3980,141185,4795,112111,4271,137058,4897,58343,3390,56548,2651,381386,4352,24708,1782,28889,2235,58671,3329,49627,2695,58301,3104,67787,3086,39059,2334,31354,2137,10896,1226,12094,1529,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,32022,2942,6708,1674,2872,856,4060,1077,4005,1074,5293,1285,5658,1282,1849,490,1213,634,164,160,200,254,414476,5880,22140,2155,14308,2094,29525,3118,30540,2722,45316,3345,80444,4732,59182,3613,73318,4216,28725,2458,30978,2510,584589,5081,31543,3087,18193,2320,31377,3114,31741,3080,52895,3267,91696,4316,78970,3634,118680,4880,58697,3694,70797,3771,326725,3997,19703,2175,26877,2306,50714,2877,42421,2801,44945,2676,51344,2813,32779,2025,33159,2230,10575,1230,14208,1157,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,11469,1788,2847,944,990,464,1128,558,1517,775,1955,712,1916,695,334,319,460,357,286,352,36,61,104221,2621,5140,1149,2983,979,7792,1403,9576,1592,13297,1550,21556,2383,16607,1890,18446,2107,5135,1239,3689,824,138445,2908,6430,1019,4543,989,10527,1793,10670,1488,16482,1972,27104,2034,20479,2122,24859,2405,8923,1422,8428,1146,86173,1904,4834,841,6363,1098,13372,1438,11036,1171,13654,1423,15296,1617,9696,1466,7421,1058,2261,528,2240,612,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,12482,1423,3054,732,973,486,1124,454,1185,537,2329,718,1392,557,856,382,1116,428,317,167,136,209,115720,3180,8952,1540,2850,781,6255,1217,7096,1693,11546,1801,16929,2092,14843,1745,21642,2047,11054,1646,14553,1510,88743,2040,10485,1510,3750,844,7160,1113,6529,1190,9270,1379,11097,1647,7678,1194,13175,1445,6590,1161,13009,1317,49717,1438,5125,941,4225,871,5910,1152,4625,776,5951,1049,6672,1029,3628,816,5950,952,3016,756,4615,781,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,233096,8339,52344,3869,24882,2964,45773,3925,40664,3703,31564,3587,25425,2537,5525,1349,5022,1298,1051,620,846,600,2095723,15685,152177,8032,95878,5729,230418,8402,254363,9153,349463,11135,412121,12241,251547,7980,225586,8055,64604,4473,59566,3896,2774200,15926,218236,7876,130816,6109,282918,8420,284985,8942,385348,10902,515315,10653,330156,7914,359094,8332,127874,5838,139458,5485,2094924,12545,164359,6427,189773,6191,362556,7834,291056,8126,327772,8061,339058,8040,175596,5945,141019,5799,45453,2929,58282,3211,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,149345,6632,37265,3236,14957,2219,31288,3464,23020,2842,22016,2839,13683,1809,4587,1293,2281,771,241,188,7,13,1284221,11216,114980,5928,56804,4862,131537,6962,144786,6788,189923,7436,254229,9440,153707,6558,150134,6845,48477,3776,39644,3126,1404293,10659,117838,5845,69526,4035,133703,5627,126633,4957,175528,7327,259346,8671,176185,6159,186726,5793,74677,4331,84131,4248,695049,6448,59008,3486,74016,3601,120423,5055,90750,3835,108859,4817,108319,4280,56448,3453,45384,3150,16016,1696,15826,1974,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,15899,1813,1479,565,736,379,2518,985,1558,522,2662,744,3972,880,1517,594,689,375,608,540,160,176,139488,2948,7047,1334,4934,1169,9880,1534,10900,1541,19369,1980,29215,2549,24753,2505,22459,2033,6093,1058,4838,1004,178829,2995,12477,1784,5188,1067,11349,1441,9448,1315,18618,1826,31058,2476,25151,2125,36503,2202,17060,1702,11977,1518,113532,2520,6693,1211,5831,876,11484,1402,10880,1508,14630,1567,18696,1573,15194,1271,16630,1565,6939,1009,6555,1183,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,36746,2660,5598,1276,2797,1153,8242,1663,6924,1258,7146,1472,4153,1135,1541,729,345,238,0,187,0,187,194286,4478,12534,2045,8742,1729,21108,2332,23304,2907,32963,3166,44761,3334,25627,2649,17662,1869,4385,1373,3200,1123,217019,3947,10980,1475,9710,1675,20526,1913,22690,1941,31289,2942,48284,3158,28515,2040,28840,2378,9231,1374,6954,1235,135055,2503,10986,1740,12509,1371,24459,2096,21147,1624,21429,1995,22001,1806,9444,1267,8241,1247,2379,609,2460,685,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,172088,5798,46546,3373,15828,2172,30880,2969,22127,2583,22929,2219,20128,2199,8500,1381,4137,1037,670,468,343,247,1641775,11499,104592,5274,60836,4462,142641,7234,147509,5599,220062,8478,316726,7578,240852,7575,247766,7665,84010,4025,76781,3837,1893530,8808,126663,4944,65656,3718,139034,3651,143445,5981,219247,6946,345369,7818,267902,7176,315145,8027,132238,4984,138831,4900,1062801,6271,77878,3594,92490,3863,183226,5123,148779,5548,166974,5139,170389,4487,93142,3449,77236,3358,26421,1928,26266,2043,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
