GEO_ID,B01002I_001E,B01002I_001M,B01002I_002E,B01002I_002M,B01002I_003E,B01002I_003M,NAME,B01002I_001MA,B01002I_001EA,B01002I_002MA,B01002I_002EA,B01002I_003MA,B01002I_003EA,state
0400000US06,27.6,0.1,27.0,0.2,28.2,0.1,California,null,null,null,null,null,null,06
0400000US08,26.8,0.2,26.4,0.3,27.2,0.2,Colorado,null,null,null,null,null,null,08
0400000US09,27.6,0.3,26.7,0.3,28.9,0.4,Connecticut,null,null,null,null,null,null,09
0400000US10,25.3,0.4,25.3,0.8,25.3,0.5,Delaware,null,null,null,null,null,null,10
0400000US11,30.5,0.2,31.0,0.7,30.2,0.2,District of Columbia,null,null,null,null,null,null,11
0400000US12,34.2,0.1,32.8,0.2,35.6,0.1,Florida,null,null,null,null,null,null,12
0400000US13,25.6,0.3,25.9,0.5,25.2,0.3,Georgia,null,null,null,null,null,null,13
0400000US15,25.4,0.5,24.7,0.5,26.2,0.8,Hawaii,null,null,null,null,null,null,15
0400000US16,23.1,0.7,23.7,1.3,22.5,1.0,Idaho,null,null,null,null,null,null,16
0400000US17,27.1,0.1,27.0,0.2,27.2,0.2,Illinois,null,null,null,null,null,null,17
0400000US18,24.1,0.4,24.3,0.7,23.7,0.6,Indiana,null,null,null,null,null,null,18
0400000US19,22.3,0.6,22.5,1.0,22.2,0.8,Iowa,null,null,null,null,null,null,19
0400000US20,22.8,0.5,22.9,0.7,22.7,0.7,Kansas,null,null,null,null,null,null,20
0400000US21,25.5,1.7,26.6,1.8,24.6,1.2,Kentucky,null,null,null,null,null,null,21
0400000US22,29.9,0.5,29.9,0.6,30.1,0.9,Louisiana,null,null,null,null,null,null,22
0400000US23,24.0,3.5,22.9,7.8,24.2,3.2,Maine,null,null,null,null,null,null,23
0400000US24,28.3,0.2,28.2,0.3,28.5,0.3,Maryland,null,null,null,null,null,null,24
0400000US25,26.9,0.2,25.9,0.3,28.1,0.3,Massachusetts,null,null,null,null,null,null,25
0400000US26,24.6,0.3,24.4,0.5,24.7,0.4,Michigan,null,null,null,null,null,null,26
0400000US27,23.7,0.4,24.9,0.6,22.6,0.9,Minnesota,null,null,null,null,null,null,27
0400000US28,24.5,1.0,26.6,2.5,21.3,1.6,Mississippi,null,null,null,null,null,null,28
0400000US29,25.1,1.2,25.0,1.0,25.2,2.6,Missouri,null,null,null,null,null,null,29
0400000US30,26.2,3.2,28.9,3.5,23.6,4.6,Montana,null,null,null,null,null,null,30
0400000US31,22.9,0.6,23.0,0.7,22.6,1.3,Nebraska,null,null,null,null,null,null,31
0400000US32,26.6,0.3,26.4,0.3,27.0,0.4,Nevada,null,null,null,null,null,null,32
0400000US33,24.7,1.4,24.5,1.5,25.0,3.6,New Hampshire,null,null,null,null,null,null,33
0400000US34,30.6,0.1,29.8,0.2,31.6,0.2,New Jersey,null,null,null,null,null,null,34
0400000US35,30.3,0.1,29.6,0.2,30.8,0.2,New Mexico,null,null,null,null,null,null,35
0400000US36,30.7,0.1,29.6,0.1,32.1,0.2,New York,null,null,null,null,null,null,36
0400000US37,24.7,0.3,25.1,0.3,24.3,0.5,North Carolina,null,null,null,null,null,null,37
0400000US38,22.9,1.4,25.3,2.6,20.7,3.2,North Dakota,null,null,null,null,null,null,38
0400000US39,25.0,0.3,25.1,0.6,24.9,0.5,Ohio,null,null,null,null,null,null,39
0400000US40,23.7,0.3,24.1,0.4,23.1,0.4,Oklahoma,null,null,null,null,null,null,40
0400000US41,23.9,0.4,24.3,0.5,23.5,0.5,Oregon,null,null,null,null,null,null,41
0400000US42,25.6,0.2,25.2,0.2,26.2,0.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,25.5,0.4,24.9,0.5,26.8,1.4,Rhode Island,null,null,null,null,null,null,44
0400000US45,25.7,0.5,25.6,0.6,25.8,1.1,South Carolina,null,null,null,null,null,null,45
0400000US46,22.2,0.9,24.5,3.2,21.2,1.6,South Dakota,null,null,null,null,null,null,46
0400000US47,24.8,0.5,25.6,0.5,23.8,0.5,Tennessee,null,null,null,null,null,null,47
0400000US48,27.3,0.1,26.7,0.2,27.9,0.2,Texas,null,null,null,null,null,null,48
0400000US49,23.4,0.3,23.6,0.5,23.2,0.4,Utah,null,null,null,null,null,null,49
0400000US50,23.3,2.6,24.1,2.3,22.0,5.3,Vermont,null,null,null,null,null,null,50
0400000US51,27.8,0.3,27.6,0.4,28.0,0.4,Virginia,null,null,null,null,null,null,51
0400000US53,24.0,0.2,24.1,0.3,24.0,0.3,Washington,null,null,null,null,null,null,53
0400000US54,25.2,1.2,29.1,7.7,22.5,4.4,West Virginia,null,null,null,null,null,null,54
0400000US55,23.7,0.5,24.2,0.7,23.1,0.6,Wisconsin,null,null,null,null,null,null,55
0400000US56,26.4,1.5,24.7,1.5,28.3,2.2,Wyoming,null,null,null,null,null,null,56
0400000US72,37.8,0.2,35.9,0.2,39.7,0.2,Puerto Rico,null,null,null,null,null,null,72
0400000US01,24.4,0.8,24.8,1.1,24.0,1.3,Alabama,null,null,null,null,null,null,01
0400000US02,25.0,1.3,23.2,2.0,26.8,1.1,Alaska,null,null,null,null,null,null,02
0400000US04,26.0,0.1,25.5,0.2,26.6,0.2,Arizona,null,null,null,null,null,null,04
0400000US05,23.3,0.6,23.4,0.8,23.0,1.2,Arkansas,null,null,null,null,null,null,05
