GEO_ID,C19101H_001E,C19101H_001M,C19101H_002E,C19101H_002M,C19101H_003E,C19101H_003M,C19101H_004E,C19101H_004M,C19101H_005E,C19101H_005M,C19101H_006E,C19101H_006M,C19101H_007E,C19101H_007M,C19101H_008E,C19101H_008M,C19101H_009E,C19101H_009M,C19101H_010E,C19101H_010M,C19101H_011E,C19101H_011M,NAME,C19101H_001MA,C19101H_001EA,C19101H_002MA,C19101H_002EA,C19101H_003EA,C19101H_003MA,C19101H_004EA,C19101H_004MA,C19101H_005MA,C19101H_005EA,C19101H_006MA,C19101H_006EA,C19101H_007MA,C19101H_007EA,C19101H_008EA,C19101H_008MA,C19101H_009EA,C19101H_009MA,C19101H_010MA,C19101H_010EA,C19101H_011MA,C19101H_011EA,state
0400000US06,3844181,18496,113241,5636,76231,4253,207737,7012,239788,6907,382846,8720,639808,12374,543086,11653,769392,12250,391531,7278,480521,6945,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,950986,7936,25228,2221,14133,1916,49145,3679,61388,3732,107727,4817,188919,5868,156933,5360,189246,5132,81033,4487,77234,3541,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,664276,8061,11507,1863,9103,1688,22466,2462,32514,2403,55352,3304,108683,4823,103301,4334,157214,5576,72180,4014,91956,4499,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,154384,3314,3363,731,1906,498,9240,1373,10833,1305,17711,1768,28857,2145,27544,2531,32982,2524,11524,1392,10424,1202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36807,1975,321,229,0,197,522,291,590,273,956,412,1886,542,2901,721,7335,1147,5883,1046,16413,1445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2829660,17760,102526,5669,69806,4304,210601,7552,271383,8862,411969,8870,587487,12700,410121,9199,432320,9660,155203,6695,178244,5822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1446778,11895,57305,3968,37808,3774,103743,5140,122556,6062,189639,7422,288731,7324,209984,7010,241952,6988,94808,4712,100252,4981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87463,3082,2455,843,1859,876,5528,1167,4710,928,10115,1530,15650,1978,13955,1859,17826,1631,7296,1002,8069,1420,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,355002,5712,14896,1948,10213,1720,32157,2506,37921,3102,56718,3477,82039,4067,50838,3203,45497,3208,13977,2044,10746,1740,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2119337,12093,55376,3379,41857,2667,113595,4407,145056,5113,240955,6725,403273,8550,351459,9088,418448,9666,171650,5466,177668,5428,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1397442,11555,56101,3616,35208,3031,103342,4667,133472,5150,217452,5575,311695,6450,224119,6308,211018,6044,57653,3511,47382,2668,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,725682,6341,22843,1921,16975,1795,46738,2922,62094,3028,99160,3830,169907,4695,126979,3717,118722,4258,33981,2439,28283,2127,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,596926,5369,15711,1598,13516,1491,43047,2775,50626,2689,80501,3205,133211,4700,94123,3374,104759,3780,30971,2255,30461,2103,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1009929,9786,58241,3266,42984,2755,101738,3877,104142,4646,149868,4722,208493,5832,142250,5338,133944,4540,37108,2609,31161,2134,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,721134,6502,25254,2552,22652,2349,54812,3055,63639,3746,92916,4169,137326,5319,113368,4886,125408,5244,43350,2632,42409,2710,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,332812,5129,13118,1635,9792,1308,28511,2351,33563,2675,48512,3094,76065,3895,50684,2383,47969,2506,12276,1435,12322,1432,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,838162,7573,14606,1882,11817,1621,30671,2610,38534,3063,69923,4176,129789,5453,125725,4024,196448,5866,104985,3812,115664,3459,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1254679,9836,28342,2899,20009,2269,58986,3356,71611,3510,113605,4553,203013,5980,192810,6215,279125,7940,136772,4680,150406,4848,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1988609,12365,74551,3349,53485,2783,145041,4560,181908,4928,287239,5800,430663,7403,308670,5760,315123,6805,103942,3438,87987,3434,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1189564,7985,25358,1777,21218,1991,57030,3099,80317,3238,137138,4432,247175,5443,211829,4410,239759,6342,85585,3954,84155,3420,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
