GEO_ID,C05010_001E,C05010_001M,C05010_002E,C05010_002M,C05010_003E,C05010_003M,C05010_004E,C05010_004M,C05010_005E,C05010_005M,C05010_006E,C05010_006M,C05010_007E,C05010_007M,NAME,C05010_001MA,C05010_001EA,C05010_002MA,C05010_002EA,C05010_003EA,C05010_003MA,C05010_004EA,C05010_004MA,C05010_005EA,C05010_005MA,C05010_006MA,C05010_006EA,C05010_007MA,C05010_007EA,state
0400000US06,8811331,14490,4133053,37876,1651155,32010,2481898,28345,4678278,38298,2725011,31860,1953267,25893,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1176281,5427,456948,12807,306249,12172,150699,10025,719333,12067,613414,10739,105919,6865,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,764160,3553,224459,7562,165720,7017,58739,5543,539701,7954,424410,8791,115291,6930,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191503,2296,76072,5524,59209,5049,16863,3263,115431,5467,96156,5064,19275,2692,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101051,1655,46507,3585,36050,3311,10457,2060,54544,3352,39636,3551,14908,2500,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3795358,9968,1898679,26392,1188680,25441,709999,20951,1896679,25862,1357706,20211,538973,15390,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2364265,10060,1182999,21191,902600,19997,280399,13140,1181266,21668,996252,19860,185014,9710,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,285907,3074,102157,5421,71662,5081,30495,3869,183750,5423,130999,4572,52751,4117,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,410264,3125,202828,7941,165511,8084,37317,4362,207436,8381,190497,8272,16939,3010,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2943497,6908,1212140,20132,794102,17408,418038,13828,1731357,18892,1372543,16324,358814,12970,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1511563,6061,681006,14842,601353,13449,79653,5852,830557,14605,769646,14391,60911,4790,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,693174,4566,250488,8568,217361,7834,33127,3320,442686,8457,413174,8256,29512,2880,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,689263,3903,292416,8273,225543,9169,66873,5332,396847,8823,361785,9187,35062,3684,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,942987,4771,447723,10831,407261,10856,40462,4500,495264,10155,469405,9952,25859,3351,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1046269,5757,531066,12366,497889,11339,33177,3900,515203,12688,487209,12274,27994,3694,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,251996,2552,111379,5534,101892,5288,9487,2214,140617,5009,133235,4993,7382,2002,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1281406,5323,386272,12045,268190,12164,118082,7761,895134,12856,686116,12412,209018,8387,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1352489,4407,405341,11763,268464,11520,136877,8176,947148,11012,725014,11787,222134,8679,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
