GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001EA,B18101D_001MA,B18101D_002EA,B18101D_002MA,B18101D_003MA,B18101D_003EA,B18101D_004MA,B18101D_004EA,B18101D_005EA,B18101D_005MA,B18101D_006EA,B18101D_006MA,B18101D_007EA,B18101D_007MA,B18101D_008MA,B18101D_008EA,B18101D_009MA,B18101D_009EA,B18101D_010MA,B18101D_010EA,state
0400000US06,5091561,18201,1013928,9567,16371,1904,997557,9755,3446827,11978,147864,6482,3298963,12625,630806,3384,213428,4625,417378,5533,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,145498,4300,34015,2416,358,238,33657,2411,99485,2585,3879,930,95606,2481,11998,841,4372,832,7626,846,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147574,2314,36909,1727,643,476,36266,1590,101470,1930,3393,746,98077,1984,9195,491,2206,578,6989,624,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30542,1588,6895,912,10,20,6885,914,20853,1015,1059,537,19794,982,2794,244,1032,398,1762,452,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21593,1599,2080,615,0,197,2080,615,18206,1214,335,222,17871,1202,1307,254,277,170,1030,257,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,485863,7833,102825,3751,2890,930,99935,3707,332736,5193,14313,2011,318423,5484,50302,2285,13711,1874,36591,2216,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,334757,6132,81467,3340,730,416,80737,3301,231256,3904,7774,1582,223482,4140,22034,1251,5815,1220,16219,1449,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,525892,10408,78575,4410,1504,657,77071,4471,327523,6599,17470,2074,310053,6768,119794,1526,40464,2049,79330,2218,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20329,2763,3798,1091,172,266,3626,980,15638,2130,669,410,14969,2010,893,387,171,167,722,381,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,615074,6330,133399,4046,2978,952,130421,4030,422694,4005,15082,2405,407612,4710,58981,1278,17206,1575,41775,1944,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,107425,3777,22097,2410,707,372,21390,2444,79490,2422,2533,669,76957,2669,5838,1146,1862,715,3976,1054,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,56248,2203,13544,1255,222,195,13322,1219,39711,1580,1503,549,38208,1560,2993,678,594,274,2399,660,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,70475,2639,17104,1618,339,351,16765,1609,48709,1995,2560,998,46149,1983,4662,801,1297,507,3365,843,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,54507,3041,16165,1541,195,164,15970,1537,35749,2168,2013,898,33736,2078,2593,436,936,279,1657,436,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71842,2466,17315,1409,311,286,17004,1408,49191,2077,1869,720,47322,2121,5336,939,1360,489,3976,852,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,14414,1392,3959,815,38,74,3921,836,9463,1079,371,333,9092,1086,992,373,160,149,832,374,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,337752,4343,73682,2442,959,429,72723,2463,230978,2815,8754,1261,222224,3240,33092,911,8340,1300,24752,1215,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,380600,3971,84500,1975,1899,755,82601,2084,268052,2864,10746,1559,257306,2953,28048,1076,8611,1375,19437,1289,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,247697,4125,60122,2598,1487,517,58635,2629,169258,2692,6665,1175,162593,2845,18317,921,5029,945,13288,873,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,226570,3500,65829,2553,1418,616,64411,2566,149184,2348,8708,1480,140476,2643,11557,778,4546,792,7011,879,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,23687,2439,4885,1168,81,135,4804,1170,17182,1825,984,521,16198,1848,1620,789,594,395,1026,650,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,101859,3325,23160,2119,863,470,22297,2068,71812,2589,3408,1070,68404,2435,6887,597,2514,597,4373,498,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6389,1149,1010,423,58,59,952,408,4475,910,392,325,4083,914,904,407,349,318,555,299,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,36549,1791,8982,902,93,108,8889,926,25289,1298,923,453,24366,1330,2278,442,762,352,1516,473,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,206504,5244,40074,2655,744,395,39330,2694,141540,3216,7232,1502,134308,3055,24890,1065,7955,1359,16935,1253,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,29743,1915,6962,1133,439,283,6523,1122,20619,1421,727,386,19892,1471,2162,762,319,248,1843,775,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,773525,5832,180896,3149,4552,1141,176344,3084,525394,4130,14772,1708,510622,4283,67235,1007,16965,1751,50270,1866,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,27019,1739,5282,1092,0,185,5282,1092,19389,1183,969,526,18420,1227,2348,314,1005,440,1343,491,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
