GEO_ID,C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,C16008_021E,C16008_021M,C16008_022E,C16008_022M,C16008_023E,C16008_023M,NAME,C16008_001EA,C16008_001MA,C16008_002EA,C16008_002MA,C16008_003EA,C16008_003MA,C16008_004EA,C16008_004MA,C16008_005MA,C16008_005EA,C16008_006MA,C16008_006EA,C16008_007EA,C16008_007MA,C16008_008EA,C16008_008MA,C16008_009EA,C16008_009MA,C16008_010MA,C16008_010EA,C16008_011MA,C16008_011EA,C16008_012EA,C16008_012MA,C16008_013EA,C16008_013MA,C16008_014EA,C16008_014MA,C16008_015EA,C16008_015MA,C16008_016MA,C16008_016EA,C16008_017MA,C16008_017EA,C16008_018EA,C16008_018MA,C16008_019EA,C16008_019MA,C16008_020EA,C16008_020MA,C16008_021MA,C16008_021EA,C16008_022MA,C16008_022EA,C16008_023EA,C16008_023MA,state
0400000US06,35504620,2553,30131996,40559,6333139,12782,3621518,23702,2711621,21687,2237110,20937,474511,10886,23798857,34812,15794432,41154,8004425,44253,5291433,37605,2712992,27692,5372624,40223,369357,11925,22242,2668,347115,11834,225626,8972,121489,7243,5003267,34811,343315,10707,4659952,36243,1221127,22958,3438825,30402,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4850587,1857,4549383,12036,866457,3926,716198,8406,150259,6974,127224,6877,23035,2409,3682926,10485,3275286,13381,407640,12532,301116,11489,106524,4920,301204,11705,27855,3271,3717,1115,24138,2996,17712,2573,6426,1496,273349,10112,29865,3415,243484,9839,78062,5587,165422,7867,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3397277,984,3138372,10229,578913,3184,466802,6011,112111,5497,96472,5025,15639,2426,2559459,9207,2131075,11832,428384,9971,285422,8540,142962,6381,258905,10111,20783,2942,4067,1019,16716,2815,10339,1849,6377,2014,238122,9129,40036,3903,198086,8342,74922,4984,123164,6410,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,860907,333,822302,3470,146192,1108,126796,2138,19396,1909,14304,1844,5092,1290,676110,3034,617190,4662,58920,4266,42576,4473,16344,2343,38605,3478,2543,958,422,309,2121,816,1414,644,707,435,36062,3070,5104,1278,30958,2926,12111,1972,18847,2594,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,593321,267,540654,4070,68470,885,58020,1403,10450,1323,8600,1248,1850,756,472184,3995,423152,4286,49032,3247,37288,3026,11744,1606,52667,4008,1980,885,301,268,1679,806,1066,577,613,484,50687,3943,13414,2698,37273,4078,17650,2374,19623,3294,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18247223,3003,16447193,27686,2785383,9099,2068714,13380,716669,13655,613133,13235,103536,6705,13661810,25177,10810038,25885,2851772,26324,1868733,22825,983039,17589,1800030,27310,145245,7941,17343,2882,127902,7361,82681,6320,45221,4234,1654785,25045,260654,8909,1394131,24710,420415,14614,973716,20330,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9248840,3638,8668025,17230,1776083,6411,1549770,10109,226313,9519,182902,10146,43411,4251,6891942,14996,6389858,15802,502084,13179,359039,11337,143045,6970,580815,16499,48559,4691,7959,2250,40600,3915,27821,3736,12779,2073,532256,14323,64109,6448,468147,14292,153739,10394,314408,11617,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1303300,333,1193000,7023,203558,1879,172753,3882,30805,3526,22633,2942,8172,1498,989442,6118,789521,9380,199921,7516,109574,5442,90347,5239,110300,6998,10310,1831,1900,701,8410,1568,3096,844,5314,1340,99990,6021,12542,2065,87448,5933,25149,3012,62299,4771,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1481992,1847,1423128,5434,305759,2407,274691,3654,31068,3253,26195,3099,4873,1173,1117369,4362,1044630,6350,72739,5541,54407,3957,18332,2663,58864,4833,5257,1543,527,526,4730,1474,2460,1104,2270,993,53607,4140,7491,1986,46116,3721,13511,1786,32605,3072,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12061228,2147,11119001,22286,2184022,6541,1695623,9867,488399,9770,399334,10408,89065,4986,8934979,19014,7573303,17668,1361676,20634,922414,18999,439262,11324,942227,21736,65002,5946,6156,1654,58846,5738,42976,5085,15870,2805,877225,18320,57377,4996,819848,17661,250646,8701,569202,15618,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
