GEO_ID,B25074_001E,B25074_001M,B25074_002E,B25074_002M,B25074_003E,B25074_003M,B25074_004E,B25074_004M,B25074_005E,B25074_005M,B25074_006E,B25074_006M,B25074_007E,B25074_007M,B25074_008E,B25074_008M,B25074_009E,B25074_009M,B25074_010E,B25074_010M,B25074_011E,B25074_011M,B25074_012E,B25074_012M,B25074_013E,B25074_013M,B25074_014E,B25074_014M,B25074_015E,B25074_015M,B25074_016E,B25074_016M,B25074_017E,B25074_017M,B25074_018E,B25074_018M,B25074_019E,B25074_019M,B25074_020E,B25074_020M,B25074_021E,B25074_021M,B25074_022E,B25074_022M,B25074_023E,B25074_023M,B25074_024E,B25074_024M,B25074_025E,B25074_025M,B25074_026E,B25074_026M,B25074_027E,B25074_027M,B25074_028E,B25074_028M,B25074_029E,B25074_029M,B25074_030E,B25074_030M,B25074_031E,B25074_031M,B25074_032E,B25074_032M,B25074_033E,B25074_033M,B25074_034E,B25074_034M,B25074_035E,B25074_035M,B25074_036E,B25074_036M,B25074_037E,B25074_037M,B25074_038E,B25074_038M,B25074_039E,B25074_039M,B25074_040E,B25074_040M,B25074_041E,B25074_041M,B25074_042E,B25074_042M,B25074_043E,B25074_043M,B25074_044E,B25074_044M,B25074_045E,B25074_045M,B25074_046E,B25074_046M,B25074_047E,B25074_047M,B25074_048E,B25074_048M,B25074_049E,B25074_049M,B25074_050E,B25074_050M,NAME,B25074_001MA,B25074_001EA,B25074_002EA,B25074_002MA,B25074_003EA,B25074_003MA,B25074_004EA,B25074_004MA,B25074_005EA,B25074_005MA,B25074_006EA,B25074_006MA,B25074_007EA,B25074_007MA,B25074_008EA,B25074_008MA,B25074_009EA,B25074_009MA,B25074_010EA,B25074_010MA,B25074_011EA,B25074_011MA,B25074_012MA,B25074_012EA,B25074_013MA,B25074_013EA,B25074_014EA,B25074_014MA,B25074_015EA,B25074_015MA,B25074_016EA,B25074_016MA,B25074_017MA,B25074_017EA,B25074_018MA,B25074_018EA,B25074_019MA,B25074_019EA,B25074_020MA,B25074_020EA,B25074_021EA,B25074_021MA,B25074_022EA,B25074_022MA,B25074_023MA,B25074_023EA,B25074_024MA,B25074_024EA,B25074_025MA,B25074_025EA,B25074_026EA,B25074_026MA,B25074_027EA,B25074_027MA,B25074_028MA,B25074_028EA,B25074_029MA,B25074_029EA,B25074_030MA,B25074_030EA,B25074_031EA,B25074_031MA,B25074_032EA,B25074_032MA,B25074_033MA,B25074_033EA,B25074_034MA,B25074_034EA,B25074_035MA,B25074_035EA,B25074_036MA,B25074_036EA,B25074_037EA,B25074_037MA,B25074_038EA,B25074_038MA,B25074_039MA,B25074_039EA,B25074_040MA,B25074_040EA,B25074_041EA,B25074_041MA,B25074_042EA,B25074_042MA,B25074_043EA,B25074_043MA,B25074_044MA,B25074_044EA,B25074_045MA,B25074_045EA,B25074_046EA,B25074_046MA,B25074_047MA,B25074_047EA,B25074_048EA,B25074_048MA,B25074_049EA,B25074_049MA,B25074_050MA,B25074_050EA,state
0400000US06,5770841,24980,578088,11766,3539,1031,3132,1020,7767,1493,10943,1594,402205,9900,150502,6174,917400,14597,13877,1725,16392,1748,56661,3097,39843,2963,759488,13463,31139,2560,1102800,17420,30792,2734,31372,2359,63022,4381,107860,5674,832324,13607,37430,3275,851955,13033,55351,4035,95622,4959,142129,5824,137820,5961,395912,8795,25121,2870,962571,16504,182447,7383,214357,8115,194351,7723,142848,5193,205711,8296,22857,2082,552038,11341,206192,6527,156222,6688,91882,4580,47556,4189,37769,3182,12417,1603,805989,14084,553669,11862,143212,6643,60791,4131,19596,2515,13339,2090,15382,1994,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717930,9538,88594,4196,1054,564,1025,468,4348,945,2377,632,65578,4044,14212,1749,112877,4607,3132,870,2758,687,4078,942,5392,1133,92282,4288,5235,1069,155435,6235,7318,1353,11906,1604,18510,2353,23984,2795,88679,4496,5038,1060,116376,5788,16828,2253,25087,2472,23751,2533,20324,2125,27248,2812,3138,707,123876,5474,45391,3190,31730,3136,24533,2272,10773,1775,8568,1558,2881,647,57752,3651,34660,3058,13142,1854,5474,1193,1698,683,1080,382,1698,496,63020,4425,53659,3905,4970,1029,1763,596,361,233,462,303,1805,614,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,449360,8680,60225,3642,437,228,1034,541,3974,1070,2391,690,39334,3168,13055,2014,78349,4175,2608,822,2705,786,6947,1244,6194,1318,56435,3417,3460,874,89460,4738,3754,1025,3391,659,8207,1528,11360,1400,59790,4223,2958,756,59747,3304,5415,1315,9528,1576,14014,2151,10130,1840,18303,1904,2357,739,74646,4679,23452,3110,20131,2733,13716,2030,5172,1101,9681,1516,2494,769,37174,3993,21706,2804,8384,1521,2146,763,1490,610,1520,584,1928,711,49759,3905,40218,3495,3861,924,2026,721,194,181,936,554,2524,788,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99258,4117,11837,1892,170,200,81,101,516,383,449,276,7949,1458,2672,805,14287,2382,664,480,560,350,985,521,380,274,10815,2040,883,505,23472,2626,1138,499,1300,772,3124,1208,3097,908,13831,1839,982,440,13810,1744,1481,591,2044,665,3889,1049,2723,855,2989,824,684,343,18205,2293,7095,1460,5173,1235,2952,787,1597,704,1071,440,317,222,8255,1496,5204,1202,1760,786,816,488,222,197,74,62,179,150,9392,1562,8705,1551,240,175,0,182,99,129,0,182,348,251,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,155981,4855,24190,2274,297,249,452,276,2055,655,239,219,15586,1606,5561,1351,17336,1696,1377,507,462,275,1547,589,745,310,12929,1522,276,225,22727,2298,2173,793,778,389,1634,517,2009,576,15664,2033,469,281,20835,2114,2307,879,1693,614,4435,996,3132,775,9082,1724,186,180,21514,2296,4691,1072,3889,1186,5200,1085,3092,894,4294,1077,348,205,14996,1818,5213,1088,4029,1032,3097,786,1167,495,1451,579,39,67,34383,2667,21937,2331,6751,1412,2920,762,1318,442,665,321,792,441,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2473515,22250,343991,9766,1871,631,3742,944,9511,1498,8397,1529,229935,8173,90535,4727,445078,11843,6938,1198,6997,1218,12952,1814,15354,1865,377757,10855,25080,2579,570923,14070,18121,2555,22971,2598,51096,4220,75712,4084,375911,12697,27112,2759,397699,10378,40529,3998,75535,4466,93173,5954,65763,5172,106201,5598,16498,2013,373620,10653,115091,5631,108012,6400,64918,4521,37314,4051,34413,3606,13872,1996,167440,7469,97236,4766,37581,3988,14729,2266,5689,1636,5106,1315,7099,1396,174764,6595,139248,5755,18798,2561,6496,1385,1647,644,1731,699,6844,1164,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1284206,16668,222646,7171,1813,654,2313,732,5805,1153,4971,1196,137858,5818,69886,4162,236107,9001,7208,1351,6674,1089,10468,1499,10348,1646,182483,8702,18926,2267,291473,9123,14328,2239,22991,2458,40691,3283,48165,4394,150056,6551,15242,1933,195987,8218,34943,3431,41990,4034,46927,4164,28358,3509,33689,3558,10080,1638,184154,8120,85571,5576,47941,4097,26520,3221,9114,1636,5398,1235,9610,1916,81941,5805,60709,5142,13417,2176,2968,867,789,440,1480,716,2578,714,71898,4670,64043,4175,4121,1142,813,435,167,174,322,264,2432,865,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,192978,4122,17959,2201,108,115,187,217,1174,483,539,299,10270,1622,5681,1250,22174,2653,691,399,670,288,906,393,880,293,17532,2393,1495,441,30130,2529,1097,398,755,395,1951,729,1897,598,21274,2247,3156,1033,29666,2335,1380,535,2416,779,3498,903,4945,1162,15429,1748,1998,536,37887,2473,6696,1246,8227,1350,5567,1213,4565,1148,10517,1395,2315,597,26099,2645,7268,1403,5546,1353,4624,1157,2874,875,3974,1194,1813,626,29063,2712,17338,2167,5930,1196,2368,611,1552,690,761,353,1114,455,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,184435,6150,25365,2912,66,61,479,382,1010,510,869,377,18533,2388,4408,1222,37654,3389,986,462,1356,527,1917,702,3813,1200,27530,3132,2052,581,46727,3637,3541,882,5718,1399,8591,1536,8089,1365,17913,2604,2875,704,30820,3210,10959,1941,6603,1632,4508,1181,3290,1108,2687,819,2773,1120,24701,2644,15817,2208,3578,1295,1717,755,1363,664,373,251,1853,509,11661,2010,8602,1801,1944,869,384,317,0,187,66,111,665,505,7507,1428,6929,1421,87,148,63,100,0,187,0,187,428,261,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1593090,15616,259185,7863,2611,794,3969,905,12643,2010,8006,1317,168505,7031,63451,3767,275580,8177,10264,1309,8879,1487,15629,1632,15240,1774,212700,7222,12868,2103,332106,8603,19850,1523,26787,2269,44019,3278,48787,3344,178329,7438,14334,2011,234215,7490,41729,2650,51978,3794,54447,4124,30882,2803,45561,3531,9618,1217,237587,6775,107758,5084,59913,3863,30873,2872,16534,2366,14755,1937,7754,1100,122453,5778,83367,4921,18826,2232,9999,1883,3180,1094,2986,798,4095,827,131964,5440,106014,5190,13453,2080,3301,1067,1720,671,1155,600,6321,1167,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
