GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001MA,B16005H_001EA,B16005H_002MA,B16005H_002EA,B16005H_003MA,B16005H_003EA,B16005H_004MA,B16005H_004EA,B16005H_005EA,B16005H_005MA,B16005H_006MA,B16005H_006EA,B16005H_007MA,B16005H_007EA,B16005H_008MA,B16005H_008EA,B16005H_009MA,B16005H_009EA,B16005H_010EA,B16005H_010MA,B16005H_011MA,B16005H_011EA,state
0400000US06,14271423,6923,12895914,25159,12204295,30987,691619,15723,616051,14561,75568,4682,1375509,24650,434094,11662,941415,21818,526183,15241,415232,14912,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3414185,2291,3304587,8132,3212064,10581,92523,5879,80496,5476,12027,1454,109598,7694,49918,3780,59680,5744,41888,4349,17792,3092,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2408608,2458,2230049,8435,2126347,11665,103702,5643,90970,5301,12732,1816,178559,8503,49582,3870,128977,7314,67210,4511,61767,5182,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,562013,1369,548568,2309,532241,3429,16327,2117,12708,1809,3619,1104,13445,2244,5278,1226,8167,1818,5854,1410,2313,741,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,212523,701,192819,3263,181477,3218,11342,1804,10333,1767,1009,493,19704,3070,8010,1440,11694,2640,8689,1953,3005,1188,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10513606,6109,9880388,18372,9518758,22417,361630,11285,312517,10626,49113,3862,633218,17706,257165,10385,376053,15786,230757,10470,145296,9049,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5170725,2265,5038246,8605,4933461,11810,104785,7181,90869,6836,13916,1698,132479,8384,48998,3735,83481,8097,52324,5240,31157,5086,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303731,441,284087,2568,272002,3373,12085,1877,10588,1756,1497,552,19644,2493,11448,1865,8196,1793,6125,1485,2071,811,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1244747,971,1221104,3881,1197168,5415,23936,2855,21516,2678,2420,764,23643,3764,11180,1767,12463,3302,8539,2234,3924,1630,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7682621,3553,7210759,14082,6931212,17929,279547,10103,242454,8708,37093,3359,471862,13762,89235,5080,382627,13415,186203,11224,196424,8395,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4988682,2631,4926312,5673,4796006,8569,130306,6748,102511,6153,27795,3198,62370,5205,27004,2690,35366,4869,21659,3318,13707,2587,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2550762,1519,2523831,3662,2476261,5714,47570,3883,37420,3173,10150,1798,26931,3352,11859,1846,15072,2666,8835,1709,6237,1562,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2102361,529,2079510,2561,2039891,4469,39619,3341,33549,3025,6070,1115,22851,2513,11608,1556,11243,1949,7751,1280,3492,1224,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3543210,1504,3511508,4216,3462705,5857,48803,4664,39627,4243,9176,1392,31702,3953,12056,1660,19646,3755,11176,2180,8470,2974,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2592169,1984,2565269,4106,2438607,6785,126662,5824,109904,5587,16758,1768,26900,3449,10308,1626,16592,2852,11090,1705,5502,1843,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1191871,432,1165887,2828,1112564,5591,53323,4715,45239,4692,8084,1380,25984,2792,14422,1618,11562,2221,7660,1346,3902,1439,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3012513,1620,2877233,7890,2783412,8906,93821,4539,82475,4647,11346,1559,135280,7461,43004,3394,92276,7609,59065,4739,33211,4849,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4776902,3882,4430764,11147,4225954,14619,204810,8078,181136,7718,23674,2354,346138,10487,97248,4314,248890,10332,135724,6363,113166,6766,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7146632,2084,6870554,9416,6651123,12561,219431,8216,186975,7785,32456,2877,276078,9116,83745,4119,192333,7829,95327,5284,97006,4766,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4182277,1468,4113990,5422,4013663,6976,100327,4211,83464,3629,16863,1772,68287,5136,28373,2768,39914,4499,26573,3370,13341,2096,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
