GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001MA,B15002I_001EA,B15002I_002MA,B15002I_002EA,B15002I_003EA,B15002I_003MA,B15002I_004EA,B15002I_004MA,B15002I_005MA,B15002I_005EA,B15002I_006MA,B15002I_006EA,B15002I_007MA,B15002I_007EA,B15002I_008EA,B15002I_008MA,B15002I_009EA,B15002I_009MA,B15002I_010MA,B15002I_010EA,B15002I_011MA,B15002I_011EA,B15002I_012MA,B15002I_012EA,B15002I_013MA,B15002I_013EA,B15002I_014MA,B15002I_014EA,B15002I_015MA,B15002I_015EA,B15002I_016MA,B15002I_016EA,B15002I_017EA,B15002I_017MA,B15002I_018EA,B15002I_018MA,B15002I_019EA,B15002I_019MA,state
0400000US01,91016,2530,49851,2080,15030,2031,7442,1629,13726,2264,982,431,4913,1288,1761,770,3431,926,2566,674,41165,1812,8806,1265,4803,1133,10835,1680,1164,550,6739,1392,1926,720,5289,1070,1603,606,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21808,1034,10364,795,638,344,768,431,2471,647,705,333,3236,746,786,556,710,449,1050,489,11444,616,1365,731,696,518,1568,630,228,210,3235,810,1069,565,2136,767,1147,594,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1020422,1400,506085,1142,97932,4308,83972,5335,108228,5446,27777,2781,101232,5340,29665,3015,39038,3254,18241,2220,514337,752,101004,4767,75253,4250,110705,5024,22690,2285,108179,4644,34838,2937,43845,3073,17823,2156,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,92767,2534,48400,2015,14168,1936,9128,1748,11588,2068,3125,1175,5751,1081,1275,635,1982,724,1383,634,44367,1641,12890,1704,6492,1278,10493,1525,2197,824,5462,1097,2133,794,3241,912,1459,724,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7905528,1580,3946544,1448,968284,12769,669818,13969,890475,14395,109725,5377,722241,13665,189167,6625,281895,9150,114939,5729,3958984,1006,984107,11796,582864,11396,828680,11156,90945,4417,755037,12958,242156,7443,332299,10075,142896,5468,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,575388,2173,291986,1898,55372,3963,43429,3088,67802,3847,19551,2708,53470,3940,18939,2224,22334,2174,11089,1729,283402,1604,41892,2975,42977,3143,58086,3391,16938,1837,63246,4002,20332,2458,27250,2172,12681,1712,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,279596,1235,136401,1144,21001,2726,19374,2371,37568,3222,7372,1486,23100,2828,5083,1411,14287,2075,8616,1428,143195,785,20737,2069,18306,2079,37539,3078,4684,988,28364,2311,8113,1431,15742,1666,9710,1539,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,40068,853,20907,759,5080,1150,2403,794,5551,1238,714,504,2599,681,1065,459,2108,854,1387,589,19161,535,3589,1024,1700,656,4266,1047,894,596,4536,1070,1189,624,2174,726,813,536,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39716,-555555555,20573,-555555555,4030,1113,2117,800,3595,981,578,443,1897,656,809,445,2631,916,4916,1062,19143,-555555555,4625,990,1464,673,3487,990,88,101,2062,729,697,467,2463,766,4257,1079,District of Columbia,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2854264,2882,1380279,2709,193336,9204,153604,7534,370403,11054,46366,3616,225772,9912,107896,7002,192495,7592,90407,4309,1473985,2345,187804,6755,137558,7765,377380,10400,38690,3087,259030,9801,143466,7619,228635,8412,101422,5891,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
