GEO_ID,C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,NAME,C27001A_001EA,C27001A_001MA,C27001A_002MA,C27001A_002EA,C27001A_003MA,C27001A_003EA,C27001A_004MA,C27001A_004EA,C27001A_005EA,C27001A_005MA,C27001A_006EA,C27001A_006MA,C27001A_007EA,C27001A_007MA,C27001A_008MA,C27001A_008EA,C27001A_009MA,C27001A_009EA,C27001A_010MA,C27001A_010EA,state
0400000US06,23319074,57106,5305246,28557,4897643,28396,407603,15398,14706878,34790,11349694,36435,3357184,33617,3306950,8240,3267362,8306,39588,3408,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309161,16465,974636,8517,896261,10140,78375,7767,2786653,9299,2284964,13305,501689,13755,547872,2221,544815,2286,3057,891,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2767976,10845,561815,5306,544494,6159,17321,3460,1747255,7265,1566181,8648,181074,8113,458906,1424,456125,1778,2781,1044,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,630463,3977,124251,1867,120149,2078,4102,1099,392237,2919,346148,4482,46089,3775,113975,828,113793,860,182,263,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,247082,4182,27728,1322,27584,1375,144,192,194906,3240,186424,3350,8482,1570,24448,523,24407,539,41,69,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14548616,22981,2709860,11373,2428339,14653,281521,12587,8776852,15960,6401861,31855,2374991,31695,3061904,4482,3031321,6257,30583,3951,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5894862,16440,1344347,8845,1236225,9531,108122,9020,3708494,10938,2875398,20285,833096,20158,842021,2777,837311,2718,4710,1499,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317832,3553,46684,1464,45174,1590,1510,733,217870,2997,192521,3474,25349,2859,53278,812,53024,835,254,219,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1440665,6931,376463,3402,346007,5463,30456,4509,863367,4171,676587,6804,186780,7276,200835,1125,200186,1103,649,336,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9252473,24570,2038330,12527,1978084,13023,60246,5140,5862572,14067,4950707,18941,911865,16608,1351571,3705,1341058,4168,10513,1858,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5441679,9648,1248320,5486,1146788,8976,101532,6266,3404487,6819,2798746,13553,605741,13603,788872,1936,786196,2150,2676,757,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
