B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,GEO_ID,B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004EA,B20017D_004MA,B20017D_005EA,B20017D_005MA,B20017D_006EA,B20017D_006MA,B20017D_007MA,B20017D_007EA,NAME,B20017D_001EA,B20017D_001MA,B20017D_002MA,B20017D_002EA,B20017D_003MA,B20017D_003EA,state
12311,302,32303,360,49451,1098,11921,226,0400000US06,37988,1005,42918,1695,58776,2594,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,06
11069,1268,27170,3429,42095,3751,11009,1384,0400000US08,32333,2705,37328,4649,56157,6670,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,08
12189,1718,31251,1596,52306,6499,11478,1599,0400000US09,41788,1668,56070,4389,68166,5825,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
20625,17858,31416,9297,42656,15624,12083,5377,0400000US10,42152,13664,53183,6195,56874,14029,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
8226,4525,43468,8560,61639,8749,9036,1750,0400000US11,52857,10143,69219,10106,85104,12645,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
11844,764,24277,1620,35837,1658,11932,873,0400000US12,29530,1980,34491,3329,46457,3990,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,12
11586,1658,24773,2160,36105,2391,11019,968,0400000US13,31313,1491,37840,4147,55596,4231,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,13
11915,984,30319,703,37824,1267,12104,686,0400000US15,31928,509,35781,1040,45450,1503,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,15
11435,3412,17347,8651,31703,2413,5846,2389,0400000US16,23708,4189,29698,9591,44269,23104,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,16
12105,900,31878,756,51175,1358,11472,722,0400000US17,40027,1785,46002,2219,61631,1780,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,17
