GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001EA,B06009_001MA,B06009_002MA,B06009_002EA,B06009_003MA,B06009_003EA,B06009_004MA,B06009_004EA,B06009_005EA,B06009_005MA,B06009_006EA,B06009_006MA,B06009_007MA,B06009_007EA,B06009_008MA,B06009_008EA,B06009_009MA,B06009_009EA,B06009_010MA,B06009_010EA,B06009_011MA,B06009_011EA,B06009_012EA,B06009_012MA,B06009_013MA,B06009_013EA,B06009_014MA,B06009_014EA,B06009_015MA,B06009_015EA,B06009_016EA,B06009_016MA,B06009_017EA,B06009_017MA,B06009_018MA,B06009_018EA,B06009_019MA,B06009_019EA,B06009_020MA,B06009_020EA,B06009_021EA,B06009_021MA,B06009_022MA,B06009_022EA,B06009_023MA,B06009_023EA,B06009_024MA,B06009_024EA,B06009_025MA,B06009_025EA,B06009_026EA,B06009_026MA,B06009_027EA,B06009_027MA,B06009_028MA,B06009_028EA,B06009_029MA,B06009_029EA,B06009_030MA,B06009_030EA,state
0400000US38,457904,1859,37965,2073,128310,3988,163754,4428,89629,3973,38246,2891,301712,4518,27625,1771,88707,3359,107968,3596,56860,2750,20552,2274,138543,4609,7928,1026,36092,2706,50940,2877,29562,2509,14021,1694,3732,992,83,64,1250,502,1586,772,270,153,543,526,13917,2175,2329,738,2261,630,3260,1051,2937,1032,3130,895,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,7770716,4393,871251,13866,2687397,20747,2250756,17496,1240747,14680,720565,13158,5462785,22581,545644,11714,2042035,21041,1654167,15302,819462,13603,401477,8703,1875370,20033,242015,7402,549211,11271,506394,10399,339143,9118,238607,7871,60092,3449,13027,1834,16129,2065,16573,2356,8295,1367,6068,1134,372469,10179,70565,4688,80022,5866,73622,4521,73847,4088,74413,4361,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2487456,3064,331560,7488,786275,10483,778314,9810,393930,7039,197377,5860,1339004,11095,158739,4939,452117,7927,422591,7513,212332,5811,93225,3512,951682,11247,99001,4450,289107,7050,321533,7518,154794,4985,87247,4157,25128,2241,2836,933,7115,1280,7358,1164,5390,1050,2429,776,171642,4925,70984,4129,37936,2909,26832,2034,21414,1626,14476,1590,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2671772,3813,270612,9239,670179,11228,931527,12866,497130,10852,302324,8477,919588,13631,67266,4962,268417,6515,361466,8985,155359,6447,67080,4038,1414100,14894,105103,5331,331031,9460,497363,10873,287699,8567,192904,7787,28935,2531,1375,477,4887,970,10090,1549,7784,1341,4799,1086,309149,7940,96868,5792,65844,4842,62608,3810,46288,3623,37541,3101,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,8756317,4048,969349,14626,3220877,22811,2130557,16486,1484305,15639,951229,15833,6205571,21112,633291,11147,2543268,22180,1525664,14410,965731,12847,537617,10845,1756194,18700,143161,6140,482621,11389,457903,9611,384985,9241,287524,8106,154009,5790,51438,3631,46400,3407,29927,2414,16648,2089,9596,1313,640543,13506,141459,7695,148588,8540,117063,5801,116941,5869,116492,6718,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,712271,1186,98769,5000,198539,8246,191220,6019,132903,5435,90840,4516,376359,6431,41509,3234,122083,6780,112217,5136,65208,4106,35342,2786,206327,6399,13821,1521,43242,3478,52632,3512,53975,3558,42657,2735,13823,2227,5290,1371,3565,1055,3081,1031,941,388,946,423,115762,4919,38149,3407,29649,2992,23290,2862,12779,1836,11895,2188,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3151616,4800,477291,9862,937798,13730,945505,13150,504036,11607,286986,8512,1642981,12732,313619,8477,561323,12106,463544,10094,198839,6568,105656,4903,1289535,13416,107244,5005,323541,9811,434374,10635,268543,8071,155833,6536,35126,3490,2952,1109,7829,1750,13831,2413,7195,1260,3319,1027,183974,6785,53476,4001,45105,4016,33756,3632,29459,3068,22178,2867,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,544292,2034,51516,2591,178006,4618,171819,5214,98719,3692,44232,3377,325874,5557,31927,2078,114117,3672,103514,4465,56614,3077,19702,2021,199254,5881,14186,1657,59234,3546,64321,3376,40131,2322,21382,2255,3175,840,149,133,846,477,947,504,782,410,451,290,15989,2065,5254,1106,3809,1062,3037,809,1192,403,2697,797,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4336473,5288,644220,11909,1433642,16880,1205807,15301,680286,11346,372518,9484,2355035,19153,395253,10090,887166,13221,627939,11586,300080,10033,144597,6277,1710259,17926,177315,6638,482912,10535,522974,11385,335992,8834,191066,6612,36504,3312,2700,1005,8322,1735,14744,2139,6608,1409,4130,874,234675,7289,68952,4022,55242,3725,40150,3581,37606,4004,32725,2910,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,16390379,8806,3042296,30612,4124497,29600,4839506,38119,2903294,24614,1480786,19085,8185901,35113,1133266,19946,2421883,25453,2691173,25965,1368515,20621,571064,13176,4388007,32299,316138,9389,963565,16677,1489389,18858,1033704,17692,585211,12451,226391,10055,28163,3080,40572,4020,82046,5655,50827,4225,24783,2287,3590080,31072,1564729,24844,698477,17161,576898,15163,450248,14172,299728,9263,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
