GEO_ID,B11010_001E,B11010_001M,B11010_002E,B11010_002M,B11010_003E,B11010_003M,B11010_004E,B11010_004M,B11010_005E,B11010_005M,B11010_006E,B11010_006M,B11010_007E,B11010_007M,B11010_008E,B11010_008M,B11010_009E,B11010_009M,B11010_010E,B11010_010M,B11010_011E,B11010_011M,B11010_012E,B11010_012M,B11010_013E,B11010_013M,B11010_014E,B11010_014M,B11010_015E,B11010_015M,NAME,B11010_001EA,B11010_001MA,B11010_002EA,B11010_002MA,B11010_003EA,B11010_003MA,B11010_004MA,B11010_004EA,B11010_005MA,B11010_005EA,B11010_006EA,B11010_006MA,B11010_007EA,B11010_007MA,B11010_008MA,B11010_008EA,B11010_009EA,B11010_009MA,B11010_010EA,B11010_010MA,B11010_011MA,B11010_011EA,B11010_012EA,B11010_012MA,B11010_013EA,B11010_013MA,B11010_014MA,B11010_014EA,B11010_015EA,B11010_015MA,state
0400000US06,3966871,28375,1884783,19133,1378089,15641,1041288,14553,336801,7089,506694,11554,462084,10551,44610,3110,2082088,21245,1684725,18469,936328,14013,748397,10577,397363,9015,347156,8492,50207,3513,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717824,10542,348796,8052,260863,7127,211346,6300,49517,2978,87933,4701,82667,4503,5266,848,369028,7574,301747,7431,188612,6863,113135,3643,67281,3301,60974,3233,6307,1081,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,455443,8946,205742,6117,163112,5478,119204,5117,43908,2385,42630,3216,37849,3019,4781,932,249701,6792,214824,5896,108753,4726,106071,3602,34877,2653,30912,2482,3965,705,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,114715,4318,49348,3076,37126,2485,26919,2307,10207,1249,12222,1867,11050,1656,1172,451,65367,3302,55070,3284,29359,2677,25711,1670,10297,1615,8779,1544,1518,591,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,154169,4139,69953,2844,52979,3147,44640,3074,8339,1067,16974,1645,16220,1577,754,328,84216,3594,69100,3840,50760,3402,18340,1473,15116,1668,13905,1504,1211,582,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2599721,22841,1197828,18040,933337,16242,656091,13527,277246,7523,264491,9920,223073,8610,41418,3001,1401893,14981,1196066,13435,597255,10113,598811,9562,205827,6237,174492,6058,31335,2343,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1126682,15922,523595,10955,416277,9778,337002,8925,79275,3789,107318,5998,99203,5725,8115,1436,603087,11445,529425,10340,324630,9245,204795,4638,73662,4440,67352,4211,6310,1260,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,138583,4966,69495,3700,53270,3450,41414,3162,11856,1388,16225,1806,13745,1708,2480,677,69088,3516,54201,3293,29273,2514,24928,2031,14887,1752,13606,1831,1281,363,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,177198,5450,82580,3746,62709,4092,46221,3521,16488,1880,19871,2240,18231,2172,1640,504,94618,3951,77341,3689,40633,2925,36708,2142,17277,1886,15467,1824,1810,600,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1649174,15000,755539,11282,601061,10355,466953,9529,134108,4179,154478,5801,142526,5714,11952,1567,893635,11430,772154,10637,425179,8405,346975,5644,121481,4587,111652,4486,9829,1348,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
