GEO_ID,B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,NAME,B10051_001MA,B10051_001EA,B10051_002MA,B10051_002EA,B10051_003MA,B10051_003EA,B10051_004MA,B10051_004EA,B10051_005MA,B10051_005EA,B10051_006MA,B10051_006EA,B10051_007MA,B10051_007EA,B10051_008MA,B10051_008EA,B10051_009MA,B10051_009EA,B10051_010EA,B10051_010MA,B10051_011MA,B10051_011EA,state
0400000US06,1110960,19894,294277,9564,66093,4297,29711,3056,36382,2969,228184,8095,151647,6873,76537,4213,816683,16546,356582,11770,460101,11783,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88294,6236,35727,3927,11123,1870,6275,1502,4848,1014,24604,3196,18956,2789,5648,1226,52567,4333,28352,3767,24215,2280,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65291,4400,20552,2717,6932,1740,4274,1362,2658,951,13620,2165,9479,1749,4141,1222,44739,3741,16732,2250,28007,2895,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26483,3422,10171,1792,4482,1109,1874,646,2608,799,5689,1505,4091,1246,1598,879,16312,2979,8370,1978,7942,1742,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10341,1736,2962,1103,969,581,746,515,223,206,1993,876,1087,606,906,564,7379,1428,3648,923,3731,1057,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463705,13594,161964,8437,54441,4947,28494,3751,25947,3317,107523,6211,70940,5372,36583,3528,301741,9921,123563,7019,178178,8784,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,265530,12042,124495,8028,41620,4262,21653,2595,19967,3080,82875,6498,60423,5732,22452,2444,141035,7609,67919,5533,73116,5633,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54743,3527,15175,2061,3088,979,1858,878,1230,424,12087,2000,7015,1774,5072,1003,39568,3095,12094,1803,27474,2380,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23085,2832,9878,1834,3648,1159,1856,782,1792,789,6230,1458,4141,1221,2089,703,13207,1945,6589,1345,6618,1312,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,275078,9959,97705,5750,24383,2790,12128,1923,12255,1759,73322,5261,53189,4946,20133,1861,177373,8222,84676,5601,92697,5142,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125838,7068,56522,4528,21483,2849,12912,2232,8571,1433,35039,3150,25356,2663,9683,1642,69316,5460,37801,4367,31515,3209,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39482,3176,16742,1969,6963,1379,4109,981,2854,762,9779,1533,6464,1243,3315,861,22740,2545,12074,1929,10666,1579,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,47220,3512,22759,2450,8171,1549,3646,861,4525,1168,14588,2113,10360,1865,4228,1045,24461,2727,13177,1878,11284,1919,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,102902,5492,56914,3836,23965,2607,13117,1999,10848,1717,32949,3226,24806,2832,8143,1492,45988,3843,27132,2973,18856,2372,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,119416,5520,67989,4534,25321,3129,16217,2971,9104,1382,42668,3820,30558,3338,12110,1959,51427,3686,27478,2699,23949,2516,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18412,2425,7819,1648,3274,1040,1957,851,1317,488,4545,1263,3727,1102,818,386,10593,1597,5124,1190,5469,1102,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,141000,6772,48624,4389,14773,2385,7259,1872,7514,1434,33851,3448,22378,2903,11473,1683,92376,5624,40122,4040,52254,3964,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,122335,6399,36393,4395,8887,1724,4942,1407,3945,927,27506,4226,17682,3815,9824,1698,85942,4531,34360,3298,51582,3548,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,184352,6894,76133,4382,22932,1915,11505,1443,11427,1277,53201,3992,39269,3592,13932,1809,108219,5316,53684,4358,54535,3565,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,62502,3606,20733,2201,6721,1201,3174,812,3547,893,14012,1576,10833,1483,3179,584,41769,2825,19893,2140,21876,2124,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,93428,5146,52337,4112,20535,3062,11469,2094,9066,1768,31802,2928,24045,2826,7757,1141,41091,3630,22642,2653,18449,2332,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,112192,6245,46155,3602,16778,2088,9007,1542,7771,1287,29377,2899,21213,2698,8164,1072,66037,4413,37019,3393,29018,2811,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,14972,1860,8235,1434,3899,848,1957,581,1942,569,4336,1246,3094,1038,1242,584,6737,1272,3657,1002,3080,825,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,24365,2437,11439,1674,4365,1102,2007,597,2358,882,7074,1433,5553,1283,1521,503,12926,1690,7242,1162,5684,1088,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,66279,4691,23652,2817,6043,1356,2738,891,3305,901,17609,2723,10693,1988,6916,1672,42627,3863,19876,2900,22751,2592,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,20281,2451,6806,1398,2071,686,1096,506,975,492,4735,1221,3380,1031,1355,506,13475,1946,6880,1351,6595,1211,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,184084,7132,48550,3425,13563,1881,7287,1745,6276,1212,34987,2869,20302,2185,14685,2079,135534,6528,46650,4393,88884,4795,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,54653,3740,29108,3236,8305,1685,3953,993,4352,1097,20803,2703,15286,2364,5517,1240,25545,2478,10741,1577,14804,2212,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,426454,11156,128124,6796,34185,2824,16582,1958,17603,1913,93939,6132,57098,4542,36841,3408,298330,9482,109176,6380,189154,7141,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,201666,8347,101038,6107,39238,3510,21298,2498,17940,2304,61800,4961,46362,4525,15438,2012,100628,6084,49965,4753,50663,3584,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,7253,1314,3557,958,1520,431,856,327,664,337,2037,851,1186,413,851,789,3696,913,1967,677,1729,579,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,217143,7828,104893,6385,43751,4156,26465,3226,17286,2069,61142,4618,45073,4348,16069,2122,112250,5310,55605,3859,56645,3620,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,81075,3797,43023,2718,20470,1814,11250,1467,9220,1194,22553,2040,14276,1743,8277,1268,38052,2631,20913,2314,17139,1718,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,70157,5316,26965,3415,9471,1747,4774,1199,4697,1177,17494,3029,11657,2216,5837,1696,43192,3875,20563,2644,22629,2645,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
