GEO_ID,C08124_001E,C08124_001M,C08124_002E,C08124_002M,C08124_003E,C08124_003M,C08124_004E,C08124_004M,C08124_005E,C08124_005M,C08124_006E,C08124_006M,C08124_007E,C08124_007M,C08124_008E,C08124_008M,C08124_009E,C08124_009M,C08124_010E,C08124_010M,C08124_011E,C08124_011M,C08124_012E,C08124_012M,C08124_013E,C08124_013M,C08124_014E,C08124_014M,C08124_015E,C08124_015M,C08124_016E,C08124_016M,C08124_017E,C08124_017M,C08124_018E,C08124_018M,C08124_019E,C08124_019M,C08124_020E,C08124_020M,C08124_021E,C08124_021M,C08124_022E,C08124_022M,C08124_023E,C08124_023M,C08124_024E,C08124_024M,C08124_025E,C08124_025M,C08124_026E,C08124_026M,C08124_027E,C08124_027M,C08124_028E,C08124_028M,C08124_029E,C08124_029M,C08124_030E,C08124_030M,C08124_031E,C08124_031M,C08124_032E,C08124_032M,C08124_033E,C08124_033M,C08124_034E,C08124_034M,C08124_035E,C08124_035M,C08124_036E,C08124_036M,C08124_037E,C08124_037M,C08124_038E,C08124_038M,C08124_039E,C08124_039M,C08124_040E,C08124_040M,C08124_041E,C08124_041M,C08124_042E,C08124_042M,NAME,C08124_001EA,C08124_001MA,C08124_002EA,C08124_002MA,C08124_003EA,C08124_003MA,C08124_004MA,C08124_004EA,C08124_005EA,C08124_005MA,C08124_006EA,C08124_006MA,C08124_007MA,C08124_007EA,C08124_008MA,C08124_008EA,C08124_009MA,C08124_009EA,C08124_010MA,C08124_010EA,C08124_011EA,C08124_011MA,C08124_012EA,C08124_012MA,C08124_013EA,C08124_013MA,C08124_014MA,C08124_014EA,C08124_015MA,C08124_015EA,C08124_016MA,C08124_016EA,C08124_017EA,C08124_017MA,C08124_018EA,C08124_018MA,C08124_019MA,C08124_019EA,C08124_020MA,C08124_020EA,C08124_021MA,C08124_021EA,C08124_022MA,C08124_022EA,C08124_023MA,C08124_023EA,C08124_024EA,C08124_024MA,C08124_025MA,C08124_025EA,C08124_026MA,C08124_026EA,C08124_027EA,C08124_027MA,C08124_028EA,C08124_028MA,C08124_029EA,C08124_029MA,C08124_030MA,C08124_030EA,C08124_031MA,C08124_031EA,C08124_032MA,C08124_032EA,C08124_033MA,C08124_033EA,C08124_034EA,C08124_034MA,C08124_035EA,C08124_035MA,C08124_036MA,C08124_036EA,C08124_037EA,C08124_037MA,C08124_038EA,C08124_038MA,C08124_039EA,C08124_039MA,C08124_040EA,C08124_040MA,C08124_041MA,C08124_041EA,C08124_042MA,C08124_042EA,state
0400000US06,16432358,41929,6011272,34093,3101029,29604,3939960,34230,1489927,20260,1811841,23073,78329,4904,12059924,50107,4511539,31432,2124863,27175,2983578,29482,1052671,17100,1347340,20284,39933,3359,1821450,24221,538352,14421,359997,10886,387160,11088,278154,9598,249861,9978,7926,1699,851099,15586,279116,8150,228786,8785,205823,7641,42350,3477,94058,5362,966,674,834723,18297,266878,8320,212656,9437,176654,6757,74300,6029,89348,4919,14887,2666,865162,15704,415387,10974,174727,7378,186745,6659,42452,3328,31234,3092,14617,2940,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2538793,15597,1005963,14559,440271,11395,609597,11926,239133,8321,221112,8338,22717,2466,1889150,18419,755919,13152,311005,8925,462685,11257,175257,6767,171471,7676,12813,2208,245831,9352,74401,4770,49316,4438,52950,4086,41373,3077,25839,2746,1952,838,81980,5100,26332,2510,23731,2755,21845,2750,3216,903,6723,1552,133,160,153618,6982,57228,4291,35969,3584,31366,2500,9493,1559,11778,1798,7784,1047,168214,6844,92083,4706,20250,2606,40751,2720,9794,1729,5301,1024,35,49,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1728325,12264,715162,11071,309957,9842,411440,8911,121103,5985,165958,6459,4705,1002,1358109,13375,571767,10069,230433,7921,327839,8428,94550,4836,131989,6002,1531,609,142303,6353,44265,3775,35069,3329,28464,2549,16571,2575,17805,2267,129,178,82482,5268,34815,2583,17626,2816,21203,2413,2508,881,6330,1194,0,193,73891,5200,23427,2040,19739,2578,16478,2262,4452,1226,7696,1944,2099,631,71540,4258,40888,3101,7090,1140,17456,1892,3022,950,2138,821,946,552,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,421883,5569,154180,5779,79722,4597,106001,5010,36135,2837,44869,2860,976,440,343732,6538,126426,5358,62853,4181,86379,4540,29994,2714,37267,2689,813,396,34036,2891,11163,1510,7263,1492,8015,1425,3381,826,4051,1133,163,183,10725,1732,3855,912,2945,888,2782,878,295,285,848,437,0,182,14823,1946,2938,808,4175,884,4046,1040,1362,580,2302,911,0,182,18567,2031,9798,1508,2486,706,4779,1009,1103,625,401,261,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326143,6312,194495,5600,49829,3450,57549,4069,10156,1918,11931,1640,2183,663,111088,5103,66173,3996,16376,2046,18006,2077,4413,1044,5729,1045,391,233,18396,2250,10290,1544,2056,734,3001,817,1783,747,1266,678,0,197,125890,5558,71680,4466,21487,2271,25780,3146,2778,1069,3988,1384,177,200,55640,4506,35937,3043,7916,1699,8764,1552,1090,812,729,411,1204,889,15129,1890,10415,1465,1994,744,1998,682,92,151,219,199,411,671,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8161313,33163,2741685,31876,1659258,24197,2278205,31158,729723,16778,726320,18189,26122,2988,6473106,37786,2230879,28494,1257000,20734,1849035,28365,538208,13871,583496,15467,14488,2137,795280,17080,215625,8917,193756,7628,198778,8164,111696,8281,72687,4992,2738,829,177143,9552,29194,2784,66217,5911,47155,3965,17339,3438,16905,2608,333,279,311497,10280,72805,5046,93336,6533,69340,4507,36092,4245,37481,3616,2443,1363,404287,11109,193182,7878,48949,3857,113897,6263,26388,3326,15751,2391,6120,1744,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4213128,24999,1489404,17021,714814,13992,1050430,17523,381043,11284,545733,13525,31704,2602,3353644,22638,1218246,17000,540621,12457,861356,16081,272232,8674,441533,12551,19656,2230,439477,13300,111187,6713,88525,6425,91814,5767,79692,6987,66774,4743,1485,650,82974,5095,21870,2278,26808,3222,20782,2765,4981,1662,7989,1609,544,289,135563,6501,35757,3099,36340,3866,26362,3074,13730,2190,20653,2711,2721,775,201470,6626,102344,5391,22520,2649,50116,4099,10408,1773,8784,1467,7298,1479,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,670355,7481,214567,6343,150017,6455,158545,5446,67926,3389,55925,3821,23375,2001,437154,8837,142203,5159,92507,5242,101721,4571,48968,3065,38178,3389,13577,1713,102542,5152,35518,2934,20964,2036,25167,2630,10335,1434,7932,1502,2626,759,45177,3416,8160,1235,17415,2153,13432,2000,2324,764,3793,932,53,62,56006,4040,16159,2147,14116,1923,11805,1857,4549,1134,3995,981,5382,1224,29476,2735,12527,1659,5015,956,6420,1382,1750,638,2027,796,1737,908,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,697765,7911,228617,8007,127792,5841,170083,6003,84516,4131,86206,4273,551,333,542709,9910,179818,7297,95613,5064,137071,6003,62875,3684,66985,4353,347,229,70227,5655,18790,2228,14251,2361,14661,2440,12529,2054,9808,1641,188,274,5925,1058,1678,435,1000,568,1209,529,799,329,1239,541,0,187,37887,3210,10856,1638,9170,1829,7241,1332,4819,1210,5785,1375,16,31,41017,3189,17475,2190,7758,1484,9901,1830,3494,1013,2389,738,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5927604,21876,2139139,18215,1042594,16011,1479563,16309,429297,9461,827398,15037,9613,1264,4362024,21463,1558116,13676,719312,13047,1105972,15234,339950,8167,636326,13057,2348,668,526666,12110,138546,5541,112402,5555,114296,6175,51922,3434,109286,5968,214,206,506351,11780,224480,7748,98143,5237,136531,5378,10468,1752,36644,3349,85,103,288521,9291,101505,5562,73342,4637,60941,3649,14533,1857,33523,2784,4677,1191,244042,7533,116492,5806,39395,3450,61823,3979,12424,1877,11619,1702,2289,918,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
