GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001EA,C17010A_001MA,C17010A_002EA,C17010A_002MA,C17010A_003EA,C17010A_003MA,C17010A_004MA,C17010A_004EA,C17010A_005MA,C17010A_005EA,C17010A_006EA,C17010A_006MA,C17010A_007EA,C17010A_007MA,C17010A_008EA,C17010A_008MA,C17010A_009MA,C17010A_009EA,C17010A_010MA,C17010A_010EA,C17010A_011EA,C17010A_011MA,C17010A_012EA,C17010A_012MA,C17010A_013EA,C17010A_013MA,C17010A_014MA,C17010A_014EA,C17010A_015MA,C17010A_015EA,C17010A_016EA,C17010A_016MA,C17010A_017EA,C17010A_017MA,state
0400000US06,5580705,28256,599088,12430,271265,7622,191884,6348,327823,9925,70462,3884,52796,3371,257361,8488,218744,7971,4981617,26718,3882023,25129,1674845,19336,1099594,15572,373281,10479,194397,7540,726313,12008,387005,10150,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1111521,9103,86538,5322,35948,3007,24495,2400,50590,4208,10676,1887,8187,1715,39914,3875,33859,3742,1024983,9243,831943,9772,346995,7347,193040,5975,66712,3646,38749,2805,126328,4977,77249,4129,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,732446,8150,40330,3453,13565,1934,7764,1650,26765,2674,4052,1216,3116,968,22713,2452,18421,2324,692116,7850,554681,7334,223605,5094,137435,5205,45317,3660,21531,2569,92118,3841,50442,3401,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,164007,3342,9560,1425,4340,1090,3064,1024,5220,1033,1135,494,856,447,4085,951,3356,846,154447,3318,125263,3483,46315,2203,29184,2405,8777,1342,5167,1150,20407,1910,11486,1689,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41095,2294,771,486,564,450,418,416,207,173,0,197,0,197,207,173,207,173,40324,2225,34426,2199,12376,1431,5898,1192,2212,650,1044,479,3686,1017,2104,781,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3664479,20800,373465,9484,170181,6060,87872,4557,203284,7854,40832,3170,30886,2867,162452,7473,133231,6583,3291014,19757,2642165,19301,859399,14915,648849,12008,199844,8279,96429,5225,449005,8264,233201,6949,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1552921,12687,156527,7260,71488,4521,42018,3634,85039,5693,16999,1966,13391,1760,68040,5094,57454,4518,1396394,12869,1177191,13343,492801,10441,219203,7939,71310,4496,36830,3530,147893,5869,76865,4182,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,95284,3137,7086,1247,4283,992,2601,911,2803,796,564,410,523,406,2239,690,2202,690,88198,3101,75839,2979,28697,2287,12359,1483,4076,945,1239,483,8283,1142,3880,876,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,380018,6377,42027,3289,20090,2314,13214,1959,21937,2316,3176,779,2292,658,18761,2311,17023,2247,337991,6691,285245,6154,116667,4843,52746,3810,17269,2433,11058,2099,35477,3082,19182,2188,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2377800,13631,177099,6247,72932,4007,45335,3070,104167,4752,20965,2420,15147,2024,83202,4330,72010,3960,2200701,13308,1814542,14663,743157,10708,386159,9222,128341,5553,61985,3972,257818,7228,136376,5505,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
