GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002EA,B11004_002MA,B11004_003EA,B11004_003MA,B11004_004EA,B11004_004MA,B11004_005MA,B11004_005EA,B11004_006MA,B11004_006EA,B11004_007EA,B11004_007MA,B11004_008EA,B11004_008MA,B11004_009EA,B11004_009MA,B11004_010MA,B11004_010EA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013EA,B11004_013MA,B11004_014EA,B11004_014MA,B11004_015EA,B11004_015MA,B11004_016MA,B11004_016EA,B11004_017MA,B11004_017EA,B11004_018EA,B11004_018MA,B11004_019EA,B11004_019MA,B11004_020EA,B11004_020MA,state
0400000US06,8585787,27380,6104099,26020,2992535,20026,662875,10065,714461,13061,1615199,18688,3111564,21971,2481688,23700,759288,12924,423244,9452,109677,5398,85493,5357,228074,7703,336044,8636,1722400,19206,1085072,16352,208422,7842,244137,7537,632513,12704,637328,10589,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,975070,11575,432181,8360,108956,5033,99298,4942,223927,6480,542889,9072,303194,7982,92296,4513,55985,3965,15880,2149,6756,1547,33349,3068,36311,3409,210898,6909,144368,6029,28337,2921,29732,3188,86299,4592,66530,4422,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,660876,8668,284984,5892,63020,3466,51105,3255,170859,4692,375892,6793,241493,7347,63217,4050,31944,2748,9920,1429,4066,1024,17958,2325,31273,2918,178276,5958,115219,5091,22283,2762,23413,2348,69523,4506,63057,3189,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,163460,4706,66342,3144,15360,1619,13867,1833,37115,2367,97118,3869,62133,3826,16261,2125,10649,1706,3058,905,1761,674,5830,1194,5612,998,45872,3046,30524,2805,6389,1317,4867,1094,19268,2469,15348,1922,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,62149,3246,24583,2005,9683,1102,5321,1280,9579,1331,37566,2289,50344,2538,9378,1356,4266,1059,1372,509,690,487,2204,701,5112,887,40966,2235,24749,1762,5560,1096,5892,1119,13297,1215,16217,1709,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,3319620,23272,1208004,19051,272087,10374,239573,8569,696344,12478,2111616,17358,1278602,17645,323901,11076,175437,7584,49832,4164,27399,3544,98206,5501,148464,6215,954701,12466,606376,12413,134681,6024,121394,6253,350301,9788,348325,7689,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,1693386,18424,773168,13004,173231,6895,177246,6841,422691,10302,920218,12775,712840,13451,166418,6414,92664,4780,22988,2444,15855,2441,53821,3810,73754,3705,546422,12664,374693,10473,79837,5046,82046,4963,212810,8840,171729,6052,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,229027,6135,102602,4138,26696,2487,23498,1968,52408,3112,126425,4188,80138,3973,23569,1902,11185,1415,3470,918,2235,684,5480,1165,12384,1396,56569,3471,33249,2797,8362,1584,8252,1319,16635,1754,23320,1900,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,322225,6301,140488,4774,31557,2575,37804,2917,71127,3910,181737,4507,83683,4788,24334,2867,15804,2523,4124,1530,1795,680,9885,1711,8530,1700,59349,3918,40299,3112,9441,1744,7795,1640,23063,2341,19050,2295,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,2289429,18317,1013419,12590,228044,7256,212706,7272,572669,8955,1276010,11751,831591,12655,220129,7498,117872,5597,33341,2779,21726,2839,62805,3911,102257,4398,611462,11412,396302,9184,82471,4513,81695,4941,232136,6888,215160,6172,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1648172,14329,1229106,12872,509380,8794,113356,5920,110309,4844,285715,6946,719726,9803,419066,9043,114772,5234,70990,4510,20881,2353,11809,1861,38300,3187,43782,3422,304294,8054,208713,6986,50261,3352,41122,3333,117330,5600,95581,4742,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
