GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001EA,C25093_001MA,C25093_002MA,C25093_002EA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005MA,C25093_005EA,C25093_006EA,C25093_006MA,C25093_007EA,C25093_007MA,C25093_008MA,C25093_008EA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011EA,C25093_011MA,C25093_012MA,C25093_012EA,C25093_013MA,C25093_013EA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016EA,C25093_016MA,C25093_017MA,C25093_017EA,state
0400000US06,6781817,25470,38607,3086,17618,1831,19286,2111,1703,709,499251,9768,284699,7978,210303,7792,4249,1275,4314109,23017,2586452,19658,1686721,14771,40936,3091,1929850,12500,1281686,10119,633993,9621,14171,2042,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,11459,1730,6799,1426,4595,1022,65,57,132805,4519,96931,4068,35575,2587,299,249,827571,8943,600060,8815,220847,6902,6664,1169,306323,4891,223897,4093,80890,4105,1536,558,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,3649,1136,1769,554,1880,846,0,193,64240,3600,42277,2855,21460,2330,503,397,591407,6021,397094,7044,190837,6308,3476,990,249156,3855,150405,4029,97448,3573,1303,357,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,778,398,516,338,262,241,0,182,22758,1860,15812,1693,6760,1123,186,163,145264,3410,104532,3755,39690,2580,1042,427,72250,1960,53068,2105,18786,1428,396,221,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,355,288,30,49,325,288,0,197,12287,1348,8770,950,3472,1011,45,75,66882,2930,48601,2704,17723,2005,558,347,31157,1605,20971,1351,9856,1091,330,216,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,30058,3354,16559,2431,12268,2062,1231,437,313911,9063,207243,8783,103752,5219,2916,867,2645020,18504,1698581,18706,906623,14151,39816,3143,1735439,12316,1190864,12117,527255,11103,17320,2082,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,18565,2361,10303,1543,7838,1691,424,373,212506,7090,153637,6226,55999,4140,2870,1053,1453870,14928,1053043,13514,381254,10119,19573,3122,563761,6249,409141,6184,150788,5052,3832,951,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,1174,463,307,247,867,378,0,177,16852,1940,7898,1237,8853,1491,101,106,148661,3641,88404,3239,58253,2805,2004,749,88083,2387,62149,2500,25578,2077,356,195,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,5577,1361,3413,1141,2164,978,0,187,44180,3271,31671,2670,12314,1994,195,164,237823,4765,175729,5331,60399,3472,1695,554,111091,2661,84249,2982,26145,2673,697,472,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,23046,2173,14479,1824,7727,1374,840,461,315170,6914,215184,6716,98803,5199,1183,435,1993372,13382,1412011,12697,567504,10355,13857,1636,845516,6923,591852,6838,248746,5431,4918,878,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
