B18135_007E,B18135_007M,B18135_008E,B18135_008M,B18135_009E,B18135_009M,B18135_010E,B18135_010M,B18135_011E,B18135_011M,B18135_012E,B18135_012M,B18135_013E,B18135_013M,B18135_014E,B18135_014M,B18135_015E,B18135_015M,B18135_016E,B18135_016M,B18135_017E,B18135_017M,B18135_018E,B18135_018M,B18135_019E,B18135_019M,B18135_020E,B18135_020M,B18135_021E,B18135_021M,B18135_022E,B18135_022M,B18135_023E,B18135_023M,B18135_024E,B18135_024M,B18135_025E,B18135_025M,B18135_026E,B18135_026M,B18135_027E,B18135_027M,B18135_028E,B18135_028M,B18135_029E,B18135_029M,B18135_030E,B18135_030M,B18135_031E,B18135_031M,B18135_032E,B18135_032M,B18135_033E,B18135_033M,B18135_034E,B18135_034M,GEO_ID,B18135_001E,B18135_001M,B18135_002E,B18135_002M,B18135_003E,B18135_003M,B18135_004E,B18135_004M,B18135_005E,B18135_005M,B18135_006E,B18135_006M,B18135_007EA,B18135_007MA,B18135_008EA,B18135_008MA,B18135_009MA,B18135_009EA,B18135_010MA,B18135_010EA,B18135_011MA,B18135_011EA,B18135_012EA,B18135_012MA,B18135_013EA,B18135_013MA,B18135_014MA,B18135_014EA,B18135_015MA,B18135_015EA,B18135_016MA,B18135_016EA,B18135_017MA,B18135_017EA,B18135_018MA,B18135_018EA,B18135_019EA,B18135_019MA,B18135_020EA,B18135_020MA,B18135_021EA,B18135_021MA,B18135_022MA,B18135_022EA,B18135_023MA,B18135_023EA,B18135_024MA,B18135_024EA,B18135_025EA,B18135_025MA,B18135_026EA,B18135_026MA,B18135_027MA,B18135_027EA,B18135_028MA,B18135_028EA,B18135_029MA,B18135_029EA,B18135_030EA,B18135_030MA,B18135_031EA,B18135_031MA,B18135_032EA,B18135_032MA,B18135_033MA,B18135_033EA,B18135_034MA,B18135_034EA,NAME,B18135_001MA,B18135_001EA,B18135_002EA,B18135_002MA,B18135_003EA,B18135_003MA,B18135_004MA,B18135_004EA,B18135_005MA,B18135_005EA,B18135_006MA,B18135_006EA,state
16021,2334,8941207,7943,8227136,21217,4915368,32681,3581687,33787,714071,20861,23798381,6859,1891395,22178,1539679,19061,741552,13787,977694,15830,351716,9938,21906986,22269,16356833,46560,14302986,55168,2428080,30037,5550153,41934,4502405,3414,1647862,13291,1629552,13398,780520,9550,1603391,13285,18310,2326,2854543,13591,2795228,12724,1652544,15104,2661056,12978,59315,4883,0400000US06,37524274,5678,9223488,2226,282281,7946,266260,7813,113980,5441,175068,7925,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,06
2267,714,1186357,3418,1079929,8395,746887,12220,363491,11689,106428,8312,3270163,3317,276771,8952,229201,8605,129073,6428,129539,5723,47570,3630,2993392,9168,2401958,15980,2207926,16752,254651,10022,591434,14745,595595,1720,193116,4668,192061,4655,120133,4004,189092,4663,1055,514,402479,4529,399989,4561,275453,5078,381588,4885,2490,782,0400000US08,5094766,2656,1229008,1526,42651,2927,40384,3050,19805,2400,23059,2395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
862,468,760580,3291,731514,5094,520315,8182,236454,8610,29066,4521,2233159,2310,183789,6689,163853,5923,82392,4189,98090,4892,19936,2342,2049370,6747,1782229,10339,1580304,12737,237456,8597,267141,9535,509635,1466,161584,4084,159897,3918,101090,3609,158035,3801,1687,897,348051,4279,344771,4458,243067,5701,328448,4481,3280,1184,0400000US09,3534619,1149,791825,1036,31245,2930,30383,2809,16049,1951,17438,2098,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
119,122,196683,1526,189637,2026,123211,4931,74576,4698,7046,1504,561217,1007,56402,3430,51046,3285,27075,2232,32991,2772,5356,1263,504815,3527,438591,5399,380044,6204,71524,4761,66224,5076,137204,760,43934,2006,43763,1997,30427,1841,43324,1998,171,185,93270,2168,92292,2259,71479,2329,90522,2224,978,484,0400000US10,902915,849,204494,412,7811,1544,7692,1550,4125,1171,5105,1412,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
63,103,103466,1351,101659,1431,57759,3669,51155,3256,1807,809,442390,824,41945,2760,40489,2738,17027,2158,28985,2541,1456,555,400445,2752,367344,3912,307700,5263,73044,4118,33101,3302,69808,467,23430,2035,23369,2026,13575,1639,22239,1851,61,103,46378,1991,46012,1967,34336,2005,41965,2003,366,261,0400000US11,621380,727,109182,272,5716,1288,5653,1313,1688,601,4701,1159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
11270,2043,3831819,7429,3406923,16529,1952323,23178,1547041,25712,424896,15346,11578613,5808,1153774,20308,910248,18096,424614,10286,606822,15654,243526,9361,10424839,20503,7335579,36114,6545932,37779,1001387,22876,3089260,32706,3441314,4139,1147240,16010,1136732,16199,597174,11391,1126740,16135,10508,2153,2294074,15716,2257694,15532,1299486,17686,2191296,16469,36380,4222,0400000US12,19011070,3625,3991143,2753,159324,7362,148054,7259,52475,3720,102895,6694,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
4920,1285,2393954,6603,2178913,12758,1301365,20533,937729,17176,215041,12464,6117277,6356,645732,13964,498966,12896,261529,8787,310057,10263,146766,6296,5471545,14389,4057045,22874,3750011,24839,418100,10586,1414500,22256,1109973,3903,424546,6711,420337,6518,230687,6551,416609,6711,4209,1495,685427,7112,678544,7115,440447,8268,656880,6866,6883,1822,0400000US13,9719411,3607,2492161,3756,98207,6575,93287,6348,40188,3584,59700,5102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
140,151,293934,1653,283611,2696,202046,5259,92755,5027,10323,2152,833610,2626,67268,4242,61112,3874,33908,3234,33981,3005,6156,1322,766342,5171,692517,6608,620285,7842,91779,5373,73825,4623,205533,814,70723,2940,70232,2876,48020,2274,69293,2849,491,322,134810,2983,133407,3151,102716,3014,124932,3527,1403,668,0400000US15,1341708,2427,302565,595,8631,1426,8491,1432,5372,1152,3968,833,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
719,489,404639,2940,369329,5647,250597,8530,135216,8007,35310,4974,944959,1811,103489,6000,82167,5546,44075,3290,51187,4229,21322,2786,841470,6187,644847,7950,603146,8189,64308,4795,196623,7084,206797,1353,72518,3290,72076,3218,44974,2888,71703,3216,442,280,134279,2949,133952,2955,93059,3667,129977,3153,327,267,0400000US16,1575682,687,423926,1170,19287,2590,18568,2434,8101,1994,13819,2033,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
3046,850,2949576,5141,2851156,8691,1772705,19872,1177632,17875,98420,6769,8006505,3806,675093,13020,553749,11589,293752,7461,326464,8823,121344,5492,7331412,13392,5951262,21680,5353709,23132,733096,10844,1380150,17942,1632811,3327,572041,7318,565692,7246,350137,7307,557871,7212,6349,1623,1060770,7563,1047614,7685,728925,9619,1007152,7746,13156,2012,0400000US17,12698371,1130,3059055,2414,109479,4971,106433,4928,47308,3513,65868,3940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
