GEO_ID,B13010_001E,B13010_001M,B13010_002E,B13010_002M,B13010_003E,B13010_003M,B13010_004E,B13010_004M,B13010_005E,B13010_005M,B13010_006E,B13010_006M,B13010_007E,B13010_007M,B13010_008E,B13010_008M,B13010_009E,B13010_009M,B13010_010E,B13010_010M,B13010_011E,B13010_011M,B13010_012E,B13010_012M,B13010_013E,B13010_013M,B13010_014E,B13010_014M,B13010_015E,B13010_015M,B13010_016E,B13010_016M,B13010_017E,B13010_017M,B13010_018E,B13010_018M,B13010_019E,B13010_019M,NAME,B13010_001MA,B13010_001EA,B13010_002EA,B13010_002MA,B13010_003MA,B13010_003EA,B13010_004MA,B13010_004EA,B13010_005EA,B13010_005MA,B13010_006MA,B13010_006EA,B13010_007EA,B13010_007MA,B13010_008MA,B13010_008EA,B13010_009MA,B13010_009EA,B13010_010EA,B13010_010MA,B13010_011MA,B13010_011EA,B13010_012EA,B13010_012MA,B13010_013EA,B13010_013MA,B13010_014MA,B13010_014EA,B13010_015EA,B13010_015MA,B13010_016EA,B13010_016MA,B13010_017EA,B13010_017MA,B13010_018EA,B13010_018MA,B13010_019MA,B13010_019EA,state
0400000US06,9433573,8667,504727,12875,338128,9351,52520,3701,74837,3920,210771,6778,166599,7460,80689,5552,39973,3589,45937,3887,8928846,14773,3861446,22821,475863,10145,712709,14018,2672874,23138,5067400,23327,1208432,18916,1088591,20517,2770377,26780,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1241101,3809,69950,3412,53974,3123,8718,1501,9800,1648,35456,2582,15976,2040,7894,1591,3905,892,4177,1082,1171151,5257,556175,8896,43640,3662,79254,4312,433281,8174,614976,9258,140890,6053,119411,5686,354675,9219,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,834047,3494,38786,3113,26500,2336,1966,641,3095,1006,21439,1799,12286,2129,4796,1085,2418,870,5072,1485,795261,4626,344048,7249,17202,2530,31989,2832,294857,6140,451213,6966,84866,5918,72936,5089,293411,7379,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,215209,1698,12846,2205,8390,1651,636,390,1965,759,5789,1399,4456,1227,1872,834,1050,503,1534,573,202363,2876,84263,3938,5710,1405,10681,1726,67872,3387,118100,4163,24076,2792,24260,2865,69764,4697,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,177778,1900,7632,1053,4407,864,378,278,499,405,3530,723,3225,806,1303,487,602,339,1320,554,170146,2154,41236,2697,3043,854,3094,917,35099,2431,128910,3448,30792,2893,18657,2387,79461,3515,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4398355,8751,223976,8015,130390,5809,20342,2826,34768,2717,75280,4363,93586,6894,48211,4470,23641,3527,21734,3026,4174379,12308,1750158,18035,210880,8390,334487,9882,1204791,17338,2424221,20592,605037,16062,584093,15749,1235091,20439,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2469860,8900,156077,6122,96299,5736,16715,2395,22220,3402,57364,3782,59778,4484,30304,3163,14598,2372,14876,2254,2313783,11109,1034644,15165,122005,5537,184701,8652,727938,13041,1279139,16313,365958,9562,283347,10289,629834,12597,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,315138,2145,20841,2076,13664,1642,1824,719,2052,595,9788,1411,7177,1316,2722,902,1880,657,2575,738,294297,2643,135826,3879,11434,1851,19189,2154,105203,3664,158471,4147,26938,2600,26962,2768,104571,4599,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,365789,2800,24524,2768,17643,2162,2776,841,5874,1330,8993,1351,6881,1583,4093,1312,1859,706,929,551,341265,4004,175353,4854,18863,2452,38204,3372,118286,4064,165912,5495,45671,3963,39335,3312,80906,4591,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3104528,6095,157838,5633,101234,4201,10388,1387,16987,1914,73859,3568,56604,3658,27885,2313,14842,2206,13877,2029,2946690,7082,1278899,13449,105996,5232,185662,6498,987241,13217,1667791,13845,396988,10244,324952,7049,945851,12572,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
