GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001MA,C17022_001EA,C17022_002MA,C17022_002EA,C17022_003EA,C17022_003MA,C17022_004EA,C17022_004MA,C17022_005EA,C17022_005MA,C17022_006MA,C17022_006EA,C17022_007MA,C17022_007EA,C17022_008MA,C17022_008EA,C17022_009EA,C17022_009MA,C17022_010EA,C17022_010MA,C17022_011EA,C17022_011MA,C17022_012MA,C17022_012EA,C17022_013MA,C17022_013EA,C17022_014EA,C17022_014MA,C17022_015MA,C17022_015EA,C17022_016EA,C17022_016MA,C17022_017EA,C17022_017MA,C17022_018MA,C17022_018EA,C17022_019MA,C17022_019EA,C17022_020EA,C17022_020MA,C17022_021EA,C17022_021MA,state
0400000US06,8585787,27380,1589924,17140,750043,11479,839881,14244,197554,6703,642327,12613,309270,8129,186661,6174,122609,5695,36704,3264,85905,4500,519542,11445,319087,8447,200455,7331,63837,4731,136618,6132,6167051,27614,4848308,26744,1318743,17701,461193,11080,857550,11745,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,168840,6137,73261,4240,95579,5100,20355,2381,75224,4597,37262,3511,23226,2698,14036,1977,4301,1264,9735,1559,67659,3668,42692,3203,24967,2195,6702,1361,18265,2051,1004503,9970,835891,10305,168612,6187,60938,3689,107674,4659,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,98826,5226,31122,3005,67704,3884,10159,1762,57545,3633,19508,2131,9252,1553,10256,1768,2008,839,8248,1597,35981,2795,18985,1912,16996,1980,2518,784,14478,1831,748054,8173,601517,8196,146537,5806,48532,3762,98005,4462,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,26627,2444,9193,1523,17434,2071,3154,718,14280,1981,7965,1360,3763,994,4202,1027,372,259,3830,949,12720,1500,7716,1277,5004,1095,1630,738,3374,898,178281,4155,142788,4286,35493,3111,11105,1775,24388,2554,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,21058,1745,3476,887,17582,1600,2052,678,15530,1553,3388,877,1211,558,2177,747,106,92,2071,753,3490,873,1056,447,2434,706,735,344,1699,613,84557,3608,56406,2920,28151,2015,6485,1048,21666,1773,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,826183,14697,359179,8834,467004,11654,87472,4853,379532,10261,182030,6245,108902,4800,73128,4623,16312,2327,56816,4090,311378,9920,195352,8157,116026,5991,28490,3386,87536,5262,3278631,22966,2656187,21638,622444,11764,191627,7696,430817,8282,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,492669,12425,186656,8305,306013,8829,48874,3541,257139,8489,93286,4752,53200,3916,40086,3050,10080,1567,30006,2764,156447,7148,97617,5700,58830,4017,14355,1837,44475,3475,1663824,15140,1355913,16207,307911,9392,93109,5067,214802,7671,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,38470,2728,18082,1852,20388,2099,3521,908,16867,1912,6476,1168,4306,907,2170,713,355,210,1815,689,14888,1351,9403,1305,5485,1182,889,385,4596,1105,249331,5744,197236,5805,52095,3003,18804,1893,33291,2393,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,69965,3970,36868,2959,33097,3011,6361,1294,26736,2884,17343,2392,12442,1969,4901,1194,2208,1020,2693,788,30270,2726,22923,2229,7347,1293,1693,607,5654,1136,288330,6048,249992,5512,38338,3486,14072,2142,24266,2607,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,471346,9399,175232,6202,296114,7892,52635,3819,243479,7252,91964,4201,51734,2923,40230,2705,9172,1448,31058,2511,171040,5418,104712,4951,66328,3921,17818,2253,48510,2948,2386670,16736,1957751,16713,428919,10156,140504,6119,288415,8783,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
