GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001EA,B24082_001MA,B24082_002EA,B24082_002MA,B24082_003MA,B24082_003EA,B24082_004MA,B24082_004EA,B24082_005EA,B24082_005MA,B24082_006EA,B24082_006MA,B24082_007EA,B24082_007MA,B24082_008EA,B24082_008MA,B24082_009MA,B24082_009EA,B24082_010EA,B24082_010MA,B24082_011EA,B24082_011MA,B24082_012EA,B24082_012MA,B24082_013EA,B24082_013MA,B24082_014MA,B24082_014EA,B24082_015EA,B24082_015MA,B24082_016EA,B24082_016MA,B24082_017EA,B24082_017MA,B24082_018EA,B24082_018MA,state
0400000US06,38036,442,36333,232,35400,258,61701,638,40896,719,60874,607,57078,1506,59203,1808,28981,1370,29098,333,26635,207,26360,211,40358,1557,36977,431,40539,564,41066,632,51600,939,17201,509,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40748,317,40315,397,39282,1010,51972,1321,37465,3207,50672,1332,43297,2575,61031,1751,29010,2859,30087,424,27417,658,27206,536,32422,3462,35273,1139,36707,1143,34911,2101,48396,3471,15435,1310,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50535,440,50376,550,49416,1564,70083,8522,45724,3855,60293,2690,63640,3874,60201,3283,37213,2571,33259,963,31116,487,31025,486,36415,3923,38688,2577,46720,2286,50925,2849,52133,2282,20690,1179,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41389,815,40801,1080,40720,1166,41957,6265,36953,5995,42219,12131,50226,2727,55840,8687,31060,4825,31599,844,29553,2062,29456,2115,34538,11778,36987,1975,35984,8872,38990,1953,52939,4634,17203,3025,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,55357,4790,42410,4609,41805,2501,80077,33360,57954,4560,55395,7326,59545,13130,92158,10209,40117,14338,48457,2598,39411,3875,37672,3896,80186,40767,46858,4013,53803,4222,50781,12552,77905,7138,31104,2959,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,32188,201,31446,219,30706,247,44959,3524,35216,1998,42958,1110,37804,1985,57182,1925,20702,600,26134,204,24607,382,24292,380,30170,1403,31756,528,36726,472,35581,877,47896,2913,14059,679,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36142,376,35801,459,35147,627,50150,2379,38775,3339,38946,1790,38687,2391,54608,2282,23814,2292,26768,241,25223,317,25080,351,30496,2532,31211,887,34745,1485,33131,1327,49187,1639,13300,1808,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,37489,1108,33488,2323,32303,872,52109,9560,43819,4887,50942,4353,46137,2968,59856,3052,27799,5899,30322,544,26739,879,26373,853,37698,9454,35775,2450,35099,5948,40945,1094,48606,5127,20111,2630,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,32397,819,31582,523,30908,531,51243,1282,42616,7235,40440,2705,40414,4228,56009,4208,26997,4274,21298,535,19927,921,19572,1055,30461,3808,24418,2478,27374,2462,30680,2286,41719,6603,14594,2954,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41442,211,40794,219,40291,235,55572,4558,41468,926,56016,1400,50222,1669,59664,1818,29653,2699,28816,444,26667,248,26511,249,35124,3213,32281,555,38781,1503,38795,1372,51150,1302,15454,752,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
