GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001EA,B27015_001MA,B27015_002EA,B27015_002MA,B27015_003MA,B27015_003EA,B27015_004MA,B27015_004EA,B27015_005EA,B27015_005MA,B27015_006EA,B27015_006MA,B27015_007EA,B27015_007MA,B27015_008EA,B27015_008MA,B27015_009MA,B27015_009EA,B27015_010MA,B27015_010EA,B27015_011EA,B27015_011MA,B27015_012EA,B27015_012MA,B27015_013EA,B27015_013MA,B27015_014MA,B27015_014EA,B27015_015MA,B27015_015EA,B27015_016EA,B27015_016MA,B27015_017EA,B27015_017MA,B27015_018EA,B27015_018MA,B27015_019EA,B27015_019MA,B27015_020MA,B27015_020EA,B27015_021MA,B27015_021EA,B27015_022EA,B27015_022MA,B27015_023EA,B27015_023MA,B27015_024EA,B27015_024MA,B27015_025MA,B27015_025EA,B27015_026MA,B27015_026EA,state
0400000US06,37142203,5678,6348374,53405,4761174,45956,1571664,30305,3703801,41225,1587200,32730,7902078,81546,5778094,62464,3312417,39617,3234447,45665,2123984,36723,6519317,75599,5181148,59354,4001258,48712,1782659,32081,1338169,31415,4837124,68733,4145551,64188,3572645,59856,967105,19623,691573,19300,11535310,86418,10623651,81306,9840783,76298,1606958,26350,911659,25410,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5049456,2656,791510,22752,597592,20237,264321,10943,425177,16492,193918,10116,1076890,25518,830318,20510,566567,15697,397824,14109,246572,13332,954860,25722,803079,22851,689600,20719,217405,10104,151781,9197,741111,19834,673740,18543,612129,16929,129239,7578,67371,5909,1485085,26234,1399358,24023,1334823,23444,163188,7120,85727,7667,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3469125,1149,470148,15064,405314,13551,138274,7894,336758,11486,64834,4782,553506,16399,468716,13468,283357,11099,286192,10887,84790,7725,567532,21164,499399,19151,409572,16226,165415,8993,68133,7786,476398,14587,437517,12080,385272,11534,106894,6858,38881,5260,1401541,24937,1339815,22655,1278936,21006,165746,7616,61726,7062,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,889659,849,130642,7979,114521,7285,46504,4606,92221,6637,16121,2859,185439,10520,157912,9048,97801,6287,95796,6976,27527,4392,170378,11088,155473,10169,128242,8707,52960,5506,14905,2965,136948,10077,126897,9317,113360,8310,31688,3910,10051,2194,266252,11233,255874,10998,240631,10400,42789,4517,10378,2430,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,590202,727,114430,7843,106543,7405,35804,3975,84631,6742,7887,1679,104254,7678,94928,6979,56317,4865,53240,5306,9326,2255,70917,6953,66315,6415,51192,5095,25335,3978,4602,1257,61093,5719,57006,5515,48602,5050,16057,3503,4087,1299,239508,9563,230585,8985,215883,8410,36934,3785,8923,1853,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18855244,3625,3969973,51304,2856079,41718,1074667,22722,2225781,39430,1113894,22933,5024595,56981,3711969,45615,2321638,37505,2061478,29173,1312626,32584,3647791,57622,2945600,48293,2358646,39101,1054388,28486,702191,23325,2315205,48931,1992429,38838,1748195,34981,518758,16641,322776,18341,3897680,55275,3574804,51753,3284593,51010,684314,16667,322876,16281,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9619020,3595,2155389,37890,1513702,30473,605869,17683,1098917,26179,641687,19719,2294299,48141,1726998,36137,1163748,27361,817019,23027,567301,19896,1822769,45459,1514397,36777,1281087,33331,416301,14397,308372,17230,1209606,36498,1076267,31329,982470,28652,203634,10150,133339,10496,2136957,34680,2010290,32202,1917658,31649,248442,10423,126667,11324,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1322362,2427,161066,9567,142464,9255,67698,5722,94822,6912,18602,2952,204557,10678,180964,9154,133486,6866,82006,6501,23593,3569,228615,13331,211896,11960,172022,9996,69131,6150,16719,3229,217817,14011,205749,13038,180376,11689,54808,5323,12068,2822,510307,13327,490872,12916,448568,10658,108269,6943,19435,2363,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1563947,687,298524,12472,224455,9259,105905,6441,158531,8254,74069,5864,431735,17389,336899,15330,243639,12065,153757,8357,94836,7812,350012,14807,303677,13580,267516,12160,77760,7127,46335,5044,210254,12247,191466,11455,177520,11397,35860,4184,18788,3872,273422,13449,254375,12837,241574,12980,37937,3677,19047,4006,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12569070,1130,2160002,33271,1688347,28680,642503,16671,1316323,22948,471655,13677,2659792,39483,2152418,32443,1379035,26270,1182272,20589,507374,16851,2273168,37621,1979084,33331,1643021,30152,610277,16829,294084,13713,1810441,36299,1647789,33162,1470245,32246,331090,12909,162652,9424,3665667,45082,3493586,42292,3323949,40912,399605,12249,172081,9039,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
