GEO_ID,C19037A_001E,C19037A_001M,C19037A_002E,C19037A_002M,C19037A_003E,C19037A_003M,C19037A_004E,C19037A_004M,C19037A_005E,C19037A_005M,C19037A_006E,C19037A_006M,C19037A_007E,C19037A_007M,C19037A_008E,C19037A_008M,C19037A_009E,C19037A_009M,C19037A_010E,C19037A_010M,C19037A_011E,C19037A_011M,C19037A_012E,C19037A_012M,C19037A_013E,C19037A_013M,C19037A_014E,C19037A_014M,C19037A_015E,C19037A_015M,C19037A_016E,C19037A_016M,C19037A_017E,C19037A_017M,C19037A_018E,C19037A_018M,C19037A_019E,C19037A_019M,C19037A_020E,C19037A_020M,C19037A_021E,C19037A_021M,C19037A_022E,C19037A_022M,C19037A_023E,C19037A_023M,C19037A_024E,C19037A_024M,C19037A_025E,C19037A_025M,C19037A_026E,C19037A_026M,C19037A_027E,C19037A_027M,C19037A_028E,C19037A_028M,C19037A_029E,C19037A_029M,C19037A_030E,C19037A_030M,C19037A_031E,C19037A_031M,C19037A_032E,C19037A_032M,C19037A_033E,C19037A_033M,C19037A_034E,C19037A_034M,C19037A_035E,C19037A_035M,C19037A_036E,C19037A_036M,C19037A_037E,C19037A_037M,C19037A_038E,C19037A_038M,C19037A_039E,C19037A_039M,C19037A_040E,C19037A_040M,C19037A_041E,C19037A_041M,C19037A_042E,C19037A_042M,C19037A_043E,C19037A_043M,C19037A_044E,C19037A_044M,C19037A_045E,C19037A_045M,NAME,C19037A_001MA,C19037A_001EA,C19037A_002EA,C19037A_002MA,C19037A_003EA,C19037A_003MA,C19037A_004EA,C19037A_004MA,C19037A_005MA,C19037A_005EA,C19037A_006MA,C19037A_006EA,C19037A_007EA,C19037A_007MA,C19037A_008EA,C19037A_008MA,C19037A_009EA,C19037A_009MA,C19037A_010EA,C19037A_010MA,C19037A_011MA,C19037A_011EA,C19037A_012MA,C19037A_012EA,C19037A_013EA,C19037A_013MA,C19037A_014EA,C19037A_014MA,C19037A_015EA,C19037A_015MA,C19037A_016MA,C19037A_016EA,C19037A_017MA,C19037A_017EA,C19037A_018EA,C19037A_018MA,C19037A_019EA,C19037A_019MA,C19037A_020EA,C19037A_020MA,C19037A_021EA,C19037A_021MA,C19037A_022MA,C19037A_022EA,C19037A_023MA,C19037A_023EA,C19037A_024EA,C19037A_024MA,C19037A_025EA,C19037A_025MA,C19037A_026EA,C19037A_026MA,C19037A_027MA,C19037A_027EA,C19037A_028MA,C19037A_028EA,C19037A_029EA,C19037A_029MA,C19037A_030EA,C19037A_030MA,C19037A_031EA,C19037A_031MA,C19037A_032MA,C19037A_032EA,C19037A_033MA,C19037A_033EA,C19037A_034MA,C19037A_034EA,C19037A_035EA,C19037A_035MA,C19037A_036EA,C19037A_036MA,C19037A_037MA,C19037A_037EA,C19037A_038MA,C19037A_038EA,C19037A_039MA,C19037A_039EA,C19037A_040EA,C19037A_040MA,C19037A_041EA,C19037A_041MA,C19037A_042MA,C19037A_042EA,C19037A_043MA,C19037A_043EA,C19037A_044MA,C19037A_044EA,C19037A_045MA,C19037A_045EA,state
0400000US06,8457578,25556,259016,7418,42411,3477,22188,2201,42477,3478,35994,2810,40088,3517,41416,3396,17492,2094,11042,1611,3464,1014,2444,930,2726309,21581,138040,7168,97640,4678,231381,7956,241853,7831,354233,10417,500150,11639,367445,10122,437931,9763,182588,6929,175048,5701,3427254,16408,166130,6407,134474,5174,243497,6647,239516,7497,355786,8774,564470,11352,454804,9773,603464,12389,299954,6762,365159,7510,2044999,10734,107090,5135,165494,7048,298855,8231,249658,7229,300470,7578,336188,7472,198073,4586,210413,7218,81748,3652,97010,3976,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1751085,8859,83472,4159,14552,2136,8075,1610,17428,2317,12007,1858,13395,1801,11770,1922,3890,975,1645,682,398,485,312,266,611974,7290,25234,3040,15184,1941,47796,3543,53632,3742,87778,4900,129515,5817,93872,4251,97042,3819,34468,3403,27453,2471,702513,6697,40502,2935,25014,2285,44934,3234,50991,3294,80058,3820,126911,4688,100613,3885,126105,4658,53810,3321,53575,2562,353126,3986,21020,1718,26204,2161,52864,3099,46413,2566,54864,2847,64041,2908,36602,2264,29037,2120,10270,1155,11811,1523,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1110308,7231,22128,2361,4184,1147,1654,690,2913,897,2514,838,3724,973,4407,1132,1501,451,867,475,164,160,200,254,303617,5155,13429,1892,7133,1587,14843,2149,19923,2156,30080,2681,60551,3751,46712,2999,61043,3639,23766,2039,26137,2168,490463,5139,21281,2500,13429,1767,21545,2465,21863,2455,42195,2754,74265,3816,70000,3434,105657,4594,53551,3594,66677,3491,294100,3779,14441,1754,22419,2121,45248,2761,39068,2743,41471,2491,47542,2661,30406,2032,30375,2106,9815,1206,13315,1167,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,251901,3214,7918,1372,1561,529,618,351,537,296,1329,751,1395,599,1582,688,215,225,359,312,286,352,36,61,70378,2375,2643,816,1542,668,4520,1069,4909,991,7930,1260,15194,1976,13023,1731,13521,1643,4175,1071,2921,693,101074,2457,3650,794,2035,608,7555,1445,7440,1249,11778,1678,18441,1627,15802,1982,19774,2081,7924,1350,6675,1104,72531,1865,3793,835,4536,849,11390,1343,9389,1190,11986,1296,12585,1352,7762,1129,6898,1010,2021,529,2171,609,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119050,2969,8250,1114,1370,504,436,304,550,343,879,461,1720,528,1180,491,709,340,1013,399,269,146,124,208,62352,2164,1665,606,395,349,1010,583,2910,1038,4139,1101,8819,1577,9318,1217,14041,1451,8310,1357,11745,1268,31440,1466,988,423,476,305,1163,452,1066,413,1739,726,2203,737,2443,679,7229,1028,4015,847,10118,1183,17008,973,748,382,250,206,1147,522,958,491,1398,559,2355,683,1101,493,3581,746,1701,593,3769,712,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5806844,22331,159330,6292,31202,2692,15457,2314,30693,2844,28403,2781,24152,3091,19837,2443,4930,1278,3616,1070,685,481,355,314,1541519,13285,89468,5212,60714,4515,146758,6590,178178,7329,249899,9087,318578,10051,204005,7497,186331,7279,55632,4087,51956,3546,2228635,13820,156084,7441,94117,5084,209767,7743,217557,7258,303322,9272,419046,10176,274887,7554,312675,7776,113667,5355,127513,5420,1877360,11499,131210,5388,160073,5656,323495,7619,260406,7245,298810,7745,311415,7620,162290,5746,132186,5526,41980,2911,55495,3127,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2246577,12282,86931,4940,17418,2424,7030,1314,16484,2197,14745,2294,15385,2478,10590,1837,3120,985,2025,756,127,141,7,13,730052,8679,44135,3503,22414,2940,56274,4418,68908,4436,103873,5540,157488,6233,100269,5130,108738,5924,37753,3139,30200,2424,901392,7400,54824,3775,35327,2868,68551,4049,70755,3669,104795,5435,167412,6369,124987,5223,141729,5338,60543,3623,72469,4044,528202,5514,33544,2869,48656,3077,89873,4356,69925,3688,86219,3906,88710,3627,44963,2822,38939,2726,13837,1608,13536,1758,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,151669,3006,6970,980,263,246,142,139,1201,647,696,302,1230,468,2270,662,507,369,338,331,174,220,149,179,50688,2122,2589,744,1121,557,3291,921,4279,1152,7189,1146,10660,1610,8519,1704,8483,1194,2197,664,2360,685,60049,2061,6187,1249,2063,802,4496,1017,2538,660,6717,1162,9252,1208,8530,1386,10815,1320,4841,761,4610,875,33962,1252,1514,486,988,329,4500,1029,2539,660,3955,867,5133,935,4640,933,5305,1067,2594,603,2794,705,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,547085,5471,32955,2554,5183,1242,2471,1083,6941,1526,6682,1252,6616,1453,3380,904,1541,729,141,125,0,187,0,187,178044,4557,11141,1883,8135,1687,18799,2276,21019,2766,30382,2965,41336,3231,23387,2632,16741,1834,3957,1394,3147,1120,204133,3966,10183,1402,8996,1683,19073,1881,20929,1923,29478,2856,44270,2947,27625,2000,27903,2379,8925,1415,6751,1216,131953,2426,10555,1676,12124,1403,23565,2067,20685,1622,21103,2001,21719,1810,9341,1248,8107,1260,2379,609,2375,674,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3654879,12665,121578,4830,26959,2836,9245,1473,22495,2587,17092,2228,18552,1993,16340,2036,6915,1345,3123,927,545,422,312,242,1172003,9790,51129,3817,33573,2728,83678,4849,93353,4117,151211,6524,238180,6007,189933,6842,198544,6845,67636,3643,64766,3490,1470640,7005,71166,3732,40214,2935,96925,3461,99738,4953,162129,5611,274584,7011,219692,6435,266299,7492,117231,4852,122662,4518,890658,5585,51313,3022,72654,3332,153637,4638,127232,5101,143776,4720,147429,4285,80341,3206,67574,3208,23688,1817,23014,1898,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
