B27010_058M,B27010_059E,B27010_059M,B27010_060E,B27010_060M,B27010_061E,B27010_061M,B27010_062E,B27010_062M,B27010_063E,B27010_063M,B27010_064E,B27010_064M,B27010_065E,B27010_065M,B27010_066E,B27010_066M,GEO_ID,B27010_001E,B27010_001M,B27010_002E,B27010_002M,B27010_003E,B27010_003M,B27010_004E,B27010_004M,B27010_005E,B27010_005M,B27010_006E,B27010_006M,B27010_007E,B27010_007M,B27010_008E,B27010_008M,B27010_009E,B27010_009M,B27010_010E,B27010_010M,B27010_011E,B27010_011M,B27010_012E,B27010_012M,B27010_013E,B27010_013M,B27010_014E,B27010_014M,B27010_015E,B27010_015M,B27010_016E,B27010_016M,B27010_017E,B27010_017M,B27010_018E,B27010_018M,B27010_019E,B27010_019M,B27010_020E,B27010_020M,B27010_021E,B27010_021M,B27010_022E,B27010_022M,B27010_023E,B27010_023M,B27010_024E,B27010_024M,B27010_025E,B27010_025M,B27010_026E,B27010_026M,B27010_027E,B27010_027M,B27010_028E,B27010_028M,B27010_029E,B27010_029M,B27010_030E,B27010_030M,B27010_031E,B27010_031M,B27010_032E,B27010_032M,B27010_033E,B27010_033M,B27010_034E,B27010_034M,B27010_035E,B27010_035M,B27010_036E,B27010_036M,B27010_037E,B27010_037M,B27010_038E,B27010_038M,B27010_039E,B27010_039M,B27010_040E,B27010_040M,B27010_041E,B27010_041M,B27010_042E,B27010_042M,B27010_043E,B27010_043M,B27010_044E,B27010_044M,B27010_045E,B27010_045M,B27010_046E,B27010_046M,B27010_047E,B27010_047M,B27010_048E,B27010_048M,B27010_049E,B27010_049M,B27010_050E,B27010_050M,B27010_051E,B27010_051M,B27010_052E,B27010_052M,B27010_053E,B27010_053M,B27010_054E,B27010_054M,B27010_055E,B27010_055M,B27010_056E,B27010_056M,B27010_057E,B27010_057M,B27010_058E,B27010_058MA,B27010_059MA,B27010_059EA,B27010_060MA,B27010_060EA,B27010_061EA,B27010_061MA,B27010_062EA,B27010_062MA,B27010_063EA,B27010_063MA,B27010_064EA,B27010_064MA,B27010_065MA,B27010_065EA,B27010_066MA,B27010_066EA,NAME,B27010_001EA,B27010_001MA,B27010_002EA,B27010_002MA,B27010_003EA,B27010_003MA,B27010_004MA,B27010_004EA,B27010_005MA,B27010_005EA,B27010_006EA,B27010_006MA,B27010_007EA,B27010_007MA,B27010_008EA,B27010_008MA,B27010_009EA,B27010_009MA,B27010_010MA,B27010_010EA,B27010_011MA,B27010_011EA,B27010_012EA,B27010_012MA,B27010_013EA,B27010_013MA,B27010_014EA,B27010_014MA,B27010_015MA,B27010_015EA,B27010_016MA,B27010_016EA,B27010_017EA,B27010_017MA,B27010_018EA,B27010_018MA,B27010_019EA,B27010_019MA,B27010_020EA,B27010_020MA,B27010_021MA,B27010_021EA,B27010_022MA,B27010_022EA,B27010_023EA,B27010_023MA,B27010_024EA,B27010_024MA,B27010_025EA,B27010_025MA,B27010_026MA,B27010_026EA,B27010_027MA,B27010_027EA,B27010_028EA,B27010_028MA,B27010_029EA,B27010_029MA,B27010_030EA,B27010_030MA,B27010_031EA,B27010_031MA,B27010_032MA,B27010_032EA,B27010_033MA,B27010_033EA,B27010_034MA,B27010_034EA,B27010_035EA,B27010_035MA,B27010_036EA,B27010_036MA,B27010_037MA,B27010_037EA,B27010_038MA,B27010_038EA,B27010_039MA,B27010_039EA,B27010_040EA,B27010_040MA,B27010_041EA,B27010_041MA,B27010_042EA,B27010_042MA,B27010_043MA,B27010_043EA,B27010_044MA,B27010_044EA,B27010_045EA,B27010_045MA,B27010_046EA,B27010_046MA,B27010_047EA,B27010_047MA,B27010_048MA,B27010_048EA,B27010_049MA,B27010_049EA,B27010_050EA,B27010_050MA,B27010_051EA,B27010_051MA,B27010_052EA,B27010_052MA,B27010_053EA,B27010_053MA,B27010_054MA,B27010_054EA,B27010_055MA,B27010_055EA,B27010_056EA,B27010_056MA,B27010_057EA,B27010_057MA,B27010_058EA,state
16692,3718,719,907926,10527,636212,12419,672456,12756,542,338,80690,3754,728593,12930,77625,5203,0400000US06,37524274,5678,9223488,2226,8029585,23607,3944242,37180,542839,17602,32651,5323,3398814,33103,109090,6563,1949,847,463811,13389,114869,7806,3017,841,29513,3992,25601,4055,1121,480,289690,11730,730092,21018,9265153,7536,6115463,29593,4202236,30897,703661,14322,22024,2728,1083888,18568,80188,4968,23466,2787,371638,10936,154921,7729,4058,994,34658,3267,27734,2907,2872,814,147395,6667,2778052,26999,14533228,7183,10438696,28476,7813403,33853,1120903,17449,158837,7523,1191165,18281,80175,5325,74213,4981,970715,15427,265982,7639,53284,3401,24114,2712,235817,8649,41535,3959,25034,2325,324949,8457,3123817,25607,4502405,3414,1394643,15504,135672,4545,18767,2022,1235686,15995,1634,899,2884,729,3030137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
6363,296,221,117431,4154,119111,4755,34700,2501,37,62,11773,1403,137674,4259,3545,928,0400000US08,5094766,2656,1229008,1526,1063796,9125,591172,13214,79643,4957,3786,1335,347169,11404,41461,4689,565,552,56517,4925,12311,1808,139,197,1955,1048,9176,2392,146,181,32790,4345,108695,8341,1223425,4064,865827,9475,613429,10357,111367,6087,3415,924,104552,5909,29118,3153,3946,1162,53615,3924,18391,1986,844,454,3591,928,6262,1232,441,317,24086,3237,303983,9020,2046738,4002,1559741,10629,1188184,11687,191812,7374,23839,2397,108493,5836,32905,3314,14508,1769,151976,5495,39496,3691,6397,1085,4636,1098,26853,2681,16005,1706,4522,1047,54067,3291,335021,11261,595595,1720,171028,6111,17434,1848,3432,860,149308,5733,171,182,683,437,421022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4956,1104,560,123620,4840,92702,4294,34267,2293,32,55,9410,1184,109650,3801,4967,1420,0400000US09,3534619,1149,791825,1036,717871,6211,454249,9699,34031,3690,1155,956,223379,8801,5057,1387,0,193,44026,4098,12767,2428,497,393,911,424,1901,717,88,105,27862,3530,29928,4477,754590,2496,590971,6989,430615,8083,44014,3281,2615,1095,108144,5583,3816,977,1767,798,34708,2991,16422,2234,704,586,2533,742,1230,541,371,282,13448,2110,128911,6209,1478569,2389,1210768,8720,973973,10836,87131,5131,20419,1963,117847,6219,5435,1442,5963,1307,109635,5565,43873,3757,6054,1134,3684,866,21865,2558,4027,1060,1862,699,28270,2970,158166,6492,509635,1466,133883,4413,15529,1822,1520,558,116722,4319,0,193,112,183,370785,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2392,54,89,44525,2841,20407,2044,6711,1092,0,182,2058,571,34765,2434,1149,542,0400000US10,902915,849,204494,412,183058,2830,104357,4592,6416,1463,790,920,68552,5298,2730,906,213,252,14271,2232,2521,854,0,182,438,364,1624,677,0,182,9688,1975,7165,1504,202156,1149,157402,3875,110620,3362,10609,1786,529,343,33387,3618,2209,755,48,80,10446,1611,2814,906,20,32,519,292,1883,730,0,182,5210,1208,34308,3353,359061,1230,286631,3912,223753,5123,16898,2089,7000,1590,33053,3048,5040,1205,887,486,35158,3289,8319,1608,2953,733,1068,585,6592,1062,2977,887,503,299,12746,1820,37272,3184,137204,760,27535,2259,1940,520,200,171,25380,2159,15,27,0,182,108520,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1731,225,232,19931,1578,4784,1129,8185,1391,45,74,1296,519,18019,1603,427,277,0400000US11,621380,727,109182,272,95798,2427,41682,3294,4596,1368,556,551,46617,3567,2347,905,0,197,11514,2330,2548,1240,157,261,692,382,283,327,0,197,7834,2063,1870,820,218050,855,180805,3381,122499,3962,21079,2443,89,144,35066,2893,1822,655,250,313,19956,2832,12353,2226,286,396,694,369,696,404,0,197,5927,1374,17289,2527,224340,995,177062,3168,122054,3600,12792,1992,1795,713,37554,2523,1729,703,1138,625,30010,2807,9870,1978,774,447,348,290,5277,1247,910,669,1243,506,11588,1679,17268,2207,69808,467,16896,1661,4606,925,265,186,11989,1438,36,59,0,197,52485,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
17475,4213,1473,540946,12107,564011,14018,318210,9017,543,286,89661,4661,715313,11803,46888,4926,0400000US12,19011070,3625,3991143,2753,3381392,18666,1521190,21970,241240,11011,12672,2898,1521218,26593,82008,6138,3064,2870,173585,9762,42923,4823,896,503,12875,2840,17680,3352,350,333,98861,7372,436166,15549,4068221,7274,2476048,21504,1705194,21921,276314,10004,13638,2574,411253,12848,50024,4731,19625,3098,168642,8176,61643,5191,3453,1200,25164,2772,15358,2437,1431,550,61593,4925,1423531,19468,7510392,7789,4977335,25184,3659978,27855,583746,11068,134861,6078,428214,14815,99721,5800,70815,5091,623802,15122,139571,6754,34006,3001,17499,2183,146130,7015,46069,3647,24150,2865,216377,8165,1909255,25136,3441314,4139,1161529,17109,53666,4325,17183,2807,1087863,17611,785,363,2032,865,2232897,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
8142,952,431,219105,7053,164325,6274,106825,5030,278,312,23044,2309,262312,6836,11092,2392,0400000US13,9719411,3607,2492161,3756,2143974,13424,1041877,18632,107549,7903,6767,1295,918250,18820,69054,5268,477,403,128226,7342,34782,3980,576,448,4801,1247,21509,3524,352,362,66206,5726,219961,12550,2272717,7453,1414353,13151,1055097,13891,125552,6691,6724,1514,176932,7107,45585,4484,4463,1199,117990,8087,43567,4349,1357,608,12587,2373,21098,3028,1029,447,38352,4336,740374,14491,3844560,7599,2668349,16724,2126060,19148,219971,9202,75487,4858,155517,7424,61399,5280,29915,3221,355319,10837,95850,5968,21131,2056,8310,1305,72247,4660,33675,3129,9570,1284,114536,6002,820892,16334,1109973,3903,322040,8069,20590,2355,2558,973,297216,8023,1014,782,662,453,776841,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
3523,517,336,66114,3528,24929,2363,13712,1518,285,364,1791,637,50279,3025,1894,811,0400000US15,1341708,2427,302565,595,267007,3336,130926,5009,15304,2427,547,448,83637,4903,36582,3229,11,19,25095,3280,7406,1593,232,209,489,688,5161,1241,0,177,11807,2320,10463,2161,302961,2383,242426,4568,160904,5908,15779,1751,696,529,40014,3169,24710,2461,323,186,25773,2636,11773,2054,380,368,613,354,4513,1273,73,125,8421,1426,34762,3224,530649,1615,424551,4296,322897,5944,33575,3213,6408,1099,42373,3192,16962,2447,2336,769,60879,3686,28158,2961,2374,665,383,224,5862,1191,8598,1412,738,482,14766,1655,45219,3660,205533,814,46012,3256,7279,1356,1279,647,37193,2928,54,89,207,176,157627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
3704,161,135,30310,2417,56878,3909,11147,1664,0,187,5875,1173,46497,2919,769,353,0400000US16,1575682,687,423926,1170,355865,6623,190111,9039,32406,3835,943,600,128048,7541,4357,1180,0,187,32032,5084,10087,2513,127,141,208,172,1901,970,0,187,19709,3919,36029,4991,360418,2466,235922,5672,167041,6631,35650,3535,1170,601,28214,2871,2476,736,1371,612,28599,3195,13298,2623,137,149,3269,1291,2116,896,104,135,9675,2021,95897,5479,584541,2526,401013,6481,308277,7236,53363,3738,9513,1616,17270,2313,6783,1955,5807,1274,61480,4132,19900,2645,3442,1016,2351,820,10059,2021,2615,712,3016,906,20097,1990,122048,5025,206797,1353,55160,3436,3510,1066,677,407,50668,3501,0,187,305,307,150868,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
9135,1385,499,361572,8530,355434,7382,112514,5170,81,96,27644,2063,313773,6689,19505,2522,0400000US17,12698371,1130,3059055,2414,2792407,10569,1518422,19357,123496,7681,5629,1542,1125337,17976,18577,3012,946,531,165182,8752,45857,4537,834,480,5301,1334,7737,2083,363,225,105090,7121,101466,6930,2983743,4393,2146475,12959,1577277,14791,197984,7519,7340,1365,341122,8153,14735,2077,8017,1631,145445,7143,72139,5619,1909,632,9051,1434,6947,2005,709,351,54690,3990,691823,12481,5022762,5245,3852360,15168,3116616,18279,303520,9230,74835,5033,313406,7461,17501,2294,26482,2525,360731,9863,124086,6126,28804,2467,11405,1658,68069,3653,14646,2231,8519,1302,105202,4658,809671,12642,1632811,3327,440903,8027,41347,2897,5253,1297,393341,7893,217,292,745,497,1172403,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
