GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001EA,C01001A_001MA,C01001A_002EA,C01001A_002MA,C01001A_003EA,C01001A_003MA,C01001A_004MA,C01001A_004EA,C01001A_005MA,C01001A_005EA,C01001A_006EA,C01001A_006MA,C01001A_007EA,C01001A_007MA,C01001A_008EA,C01001A_008MA,C01001A_009MA,C01001A_009EA,state
0400000US06,23628545,58000,11812634,34476,2717382,16781,7599532,21558,1495720,4468,11815911,30485,2596783,16346,7340363,18284,1878765,5002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4376673,16745,2190986,8721,501946,4715,1436793,5616,252247,1217,2185687,10077,474026,5633,1402053,5463,309608,1299,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2804972,10799,1364400,6880,287862,3341,871843,5065,204695,638,1440572,5830,274552,2878,891988,3912,274032,919,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639294,3995,311246,2310,63361,1118,195626,1705,52259,372,328048,2520,61022,1502,202219,1624,64807,534,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250657,4014,123557,2363,13749,918,98423,1820,11385,304,127100,2132,14051,772,99674,1671,13375,409,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14742516,22798,7229755,13852,1390077,7445,4433350,9863,1406328,2585,7512761,13815,1323750,7444,4476561,9299,1712450,2691,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5992846,16084,2966879,10646,688874,6696,1899477,6787,378528,1211,3025967,8835,656646,5630,1885951,5219,483370,1511,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,347252,2786,190751,1661,23840,1092,139423,1374,27488,357,156501,1844,22968,1007,106516,1319,27017,409,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1458371,6843,727771,3940,192748,2650,439228,2358,95795,701,730600,4339,184497,2393,437021,2911,109082,774,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9358637,24157,4611261,12927,1043744,7006,2964214,8014,603303,1701,4747376,13567,996655,7210,2950059,8019,800662,1924,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5513003,9610,2715818,5555,643300,3949,1717093,4206,355425,852,2797185,5854,607352,3483,1723886,3670,465947,1034,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2817947,5797,1388761,3878,321450,2580,868817,2458,198494,625,1429186,3496,307993,2343,860878,2088,260315,874,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2468884,7141,1223001,3837,300371,2505,763066,2546,159564,554,1245883,4580,284748,2804,755182,2400,205953,781,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3844617,5968,1889866,3922,436961,2648,1202201,2533,250704,455,1954751,4180,410638,2529,1219221,2365,324892,718,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2891506,6690,1431105,4961,319946,2792,915918,3691,195241,1003,1460401,3761,302656,2241,907973,2597,249772,1136,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1264328,1246,618054,925,124948,625,393683,693,99423,247,646274,1041,117710,672,405507,712,123057,158,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3417690,12404,1681280,7128,353710,3281,1088277,4980,239293,758,1736410,6640,335232,3415,1092241,4394,308937,921,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5323896,12317,2576633,7424,528110,3544,1679265,5379,369258,787,2747263,6934,503785,3163,1741923,4618,501555,1229,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
