GEO_ID,C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,NAME,C17019_001MA,C17019_001EA,C17019_002EA,C17019_002MA,C17019_003EA,C17019_003MA,C17019_004EA,C17019_004MA,C17019_005EA,C17019_005MA,C17019_006MA,C17019_006EA,C17019_007EA,C17019_007MA,state
0400000US06,8585787,27380,1111400,15617,258537,9132,852863,13743,7474387,28093,4851909,25948,2622478,25847,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,35881,2795,82726,4808,1159657,11072,888245,10192,271412,8932,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,15035,1729,55889,3914,831445,8840,656617,7963,174828,6980,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,6967,1161,11432,1749,207194,4348,168002,3867,39192,2915,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,1362,482,14328,1512,96803,3781,57204,2663,39599,3226,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,220735,7746,360054,10961,4017433,24594,3024284,20108,993149,15900,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120694,5447,241126,8430,2044406,15943,1554149,16683,490257,12947,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,6375,1135,20139,2015,282651,5838,185324,4880,97327,4646,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,18027,2157,29531,3056,358350,6909,281308,6035,77042,4901,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,106929,4126,232666,7082,2781425,15435,2225461,14844,555964,10908,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1648172,14329,186201,5877,61975,3631,124226,5774,1461971,13691,1202788,13396,259183,8266,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796744,7245,70337,3702,27329,2138,43008,2814,726407,7311,616734,7106,109673,3856,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
