VARIABLE,TYPE,LABEL,GROUP
DP04_0034E,int,Number!!Estimate!!ROOMS!!8 rooms,DP04
DP04_0034PE,float,Percent!!Estimate!!ROOMS!!8 rooms,DP04
DP04_0035E,int,Number!!Estimate!!ROOMS!!9 rooms or more,DP04
DP04_0035PE,float,Percent!!Estimate!!ROOMS!!9 rooms or more,DP04
DP04_0036E,float,Number!!Estimate!!ROOMS!!Median (rooms),DP04
DP04_0036PE,int,Percent!!Estimate!!ROOMS!!Median (rooms),DP04
DP04_0037E,int,Number!!Estimate!!BEDROOMS!!Total housing units,DP04
DP04_0037PE,int,Percent!!Estimate!!BEDROOMS!!Total housing units,DP04
DP04_0038E,int,Number!!Estimate!!BEDROOMS!!No bedroom,DP04
DP04_0038PE,float,Percent!!Estimate!!BEDROOMS!!No bedroom,DP04
DP04_0039E,int,Number!!Estimate!!BEDROOMS!!1 bedroom,DP04
DP04_0039PE,float,Percent!!Estimate!!BEDROOMS!!1 bedroom,DP04
DP04_0040E,int,Number!!Estimate!!BEDROOMS!!2 bedrooms,DP04
DP04_0040PE,float,Percent!!Estimate!!BEDROOMS!!2 bedrooms,DP04
DP04_0041E,int,Number!!Estimate!!BEDROOMS!!3 bedrooms,DP04
DP04_0041PE,float,Percent!!Estimate!!BEDROOMS!!3 bedrooms,DP04
DP04_0042E,int,Number!!Estimate!!BEDROOMS!!4 bedrooms,DP04
DP04_0042PE,float,Percent!!Estimate!!BEDROOMS!!4 bedrooms,DP04
DP04_0043E,int,Number!!Estimate!!BEDROOMS!!5 or more bedrooms,DP04
DP04_0043PE,float,Percent!!Estimate!!BEDROOMS!!5 or more bedrooms,DP04
DP04_0044E,int,Number!!Estimate!!HOUSING TENURE!!Occupied housing units,DP04
DP04_0044PE,int,Percent!!Estimate!!HOUSING TENURE!!Occupied housing units,DP04
DP04_0045E,int,Number!!Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,DP04
DP04_0045PE,float,Percent!!Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,DP04
DP04_0046E,int,Number!!Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,DP04
DP04_0046PE,float,Percent!!Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,DP04
DP04_0047E,float,Number!!Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit,DP04
DP04_0047PE,int,Percent!!Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit,DP04
DP04_0048E,float,Number!!Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,DP04
DP04_0048PE,int,Percent!!Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,DP04
DP04_0049E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,DP04
DP04_0049PE,int,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,DP04
DP04_0050E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2005 or later,DP04
DP04_0050PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2005 or later,DP04
DP04_0051E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2004,DP04
DP04_0051PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2004,DP04
DP04_0052E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999,DP04
DP04_0052PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999,DP04
DP04_0053E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989,DP04
DP04_0053PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989,DP04
DP04_0054E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979,DP04
DP04_0054PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1970 to 1979,DP04
DP04_0055E,int,Number!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier,DP04
DP04_0055PE,float,Percent!!Estimate!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1969 or earlier,DP04
DP04_0056E,int,Number!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units,DP04
DP04_0056PE,int,Percent!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units,DP04
DP04_0057E,int,Number!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,DP04
DP04_0057PE,float,Percent!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,DP04
DP04_0058E,int,Number!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,DP04
DP04_0058PE,float,Percent!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,DP04
DP04_0059E,int,Number!!Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,DP04
