GEO_ID,S1602_C01_001E,S1602_C01_001M,S1602_C01_002E,S1602_C01_002M,S1602_C01_003E,S1602_C01_003M,S1602_C01_004E,S1602_C01_004M,S1602_C01_005E,S1602_C01_005M,S1602_C01_006E,S1602_C01_006M,S1602_C01_007E,S1602_C01_007M,S1602_C01_008E,S1602_C01_008M,NAME,S1602_C01_001EA,S1602_C01_001MA,S1602_C01_002MA,S1602_C01_002EA,S1602_C01_003EA,S1602_C01_003MA,S1602_C01_004EA,S1602_C01_004MA,S1602_C01_005MA,S1602_C01_005EA,S1602_C01_006EA,S1602_C01_006MA,S1602_C01_007MA,S1602_C01_007EA,S1602_C01_008EA,S1602_C01_008MA,state
0400000US01,1.2,0.1,27.7,2.7,5.3,2.4,29.5,6.7,2.5,4.1,4.2,-888888888.0,4.0,-888888888.0,5.3,-888888888.0,Alabama,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),01
0400000US02,2.6,0.5,10.2,4.8,5.5,4.1,23.2,6.1,13.1,3.2,2.3,-888888888.0,1.8,-888888888.0,2.8,-888888888.0,Alaska,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),02
0400000US04,5.1,0.2,21.6,1.1,8.9,1.6,19.1,3.4,17.3,1.9,5.2,-888888888.0,4.5,-888888888.0,5.2,-888888888.0,Arizona,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),04
0400000US05,1.6,0.2,27.3,3.8,7.1,4.0,34.2,8.2,8.7,10.5,3.1,-888888888.0,2.6,-888888888.0,3.9,-888888888.0,Arkansas,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),05
0400000US06,10.0,0.1,24.2,0.5,17.6,0.7,27.9,0.5,19.4,2.0,3.3,-888888888.0,3.2,-888888888.0,3.8,-888888888.0,California,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),06
0400000US08,3.5,0.2,20.4,1.3,11.6,1.9,23.0,3.7,31.1,6.7,3.7,-888888888.0,3.4,-888888888.0,4.1,-888888888.0,Colorado,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),08
0400000US09,5.7,0.3,26.7,2.4,19.3,1.5,29.4,4.1,24.8,6.0,2.9,-888888888.0,3.1,-888888888.0,4.0,-888888888.0,Connecticut,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),09
0400000US10,2.1,0.4,20.6,4.3,7.3,3.9,21.9,8.1,3.0,4.6,2.9,-888888888.0,3.1,-888888888.0,3.8,-888888888.0,Delaware,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),10
0400000US11,2.1,0.5,12.1,4.0,6.7,4.5,21.1,8.6,18.6,7.1,4.5,-888888888.0,5.0,-888888888.0,6.5,-888888888.0,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),11
0400000US12,6.9,0.1,28.7,0.7,18.8,1.1,22.7,2.0,17.0,3.0,4.3,-888888888.0,3.4,-888888888.0,4.0,-888888888.0,Florida,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,(X),12
