GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001EA,B16005A_001MA,B16005A_002MA,B16005A_002EA,B16005A_003EA,B16005A_003MA,B16005A_004EA,B16005A_004MA,B16005A_005MA,B16005A_005EA,B16005A_006EA,B16005A_006MA,B16005A_007MA,B16005A_007EA,B16005A_008MA,B16005A_008EA,B16005A_009EA,B16005A_009MA,B16005A_010EA,B16005A_010MA,B16005A_011MA,B16005A_011EA,state
0400000US01,3133172,7776,3060884,7022,2997405,6835,63479,6094,49997,5426,13482,2682,72288,5689,17495,2194,54793,5695,18848,2588,35945,4957,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,452904,2415,434584,3563,411523,4036,23061,2711,20982,2575,2079,633,18320,3209,5719,1236,12601,3086,7311,1846,5290,2078,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4818263,20873,4252663,20636,3680506,21108,572157,21180,491701,20431,80456,7693,565600,16665,101212,7530,464388,16664,184302,11117,280086,12825,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2157999,6681,2095444,4573,2034562,5691,60882,5121,46606,4321,14276,2694,62555,6965,9990,1640,52565,6886,19907,4106,32658,4427,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22243046,59986,17696549,50543,14218587,43230,3477962,44258,2950484,43247,527478,15394,4546497,47661,529561,14247,4016936,48877,1366437,24956,2650499,37812,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4052297,15378,3767777,14091,3495270,15383,272507,12297,232686,11125,39821,3793,284520,12674,55436,3853,229084,12272,95054,6691,134030,9426,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2656344,10204,2426226,10756,2203171,10219,223055,9369,178614,8215,44441,3594,230118,9115,54435,3916,175683,8013,83918,4870,91765,5789,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,603613,4166,571952,3970,535678,4260,36274,4859,28964,3631,7310,2377,31661,3480,8123,1461,23538,3511,11321,2399,12217,2459,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,235209,3449,199812,3683,183633,3408,16179,1975,14790,1906,1389,640,35397,4005,13681,2650,21716,2901,15870,2295,5846,1476,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13823876,29343,11393365,35233,9877514,26890,1515851,33703,1243528,29715,272323,14794,2430511,34702,332419,13876,2098092,33137,829860,20564,1268232,24608,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5604482,16779,5230763,15693,4988536,16494,242227,12096,198562,10800,43665,5077,373719,15105,56689,4853,317030,14712,124538,8479,192492,13118,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,326727,2974,304624,3339,285485,4054,19139,2997,16920,2731,2219,811,22103,2410,11061,1915,11042,1978,7732,1539,3310,1199,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1358934,5084,1296518,5871,1232818,6582,63700,4887,57485,4846,6215,1468,62416,4894,14664,2138,47752,4386,15206,2172,32546,3766,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
