GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001MA,B16009_001EA,B16009_002EA,B16009_002MA,B16009_003EA,B16009_003MA,B16009_004EA,B16009_004MA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007EA,B16009_007MA,B16009_008EA,B16009_008MA,B16009_009EA,B16009_009MA,B16009_010EA,B16009_010MA,B16009_011MA,B16009_011EA,B16009_012MA,B16009_012EA,B16009_013EA,B16009_013MA,B16009_014EA,B16009_014MA,B16009_015EA,B16009_015MA,B16009_016MA,B16009_016EA,B16009_017MA,B16009_017EA,B16009_018MA,B16009_018EA,B16009_019EA,B16009_019MA,B16009_020EA,B16009_020MA,B16009_021EA,B16009_021MA,B16009_022MA,B16009_022EA,B16009_023MA,B16009_023EA,B16009_024EA,B16009_024MA,B16009_025EA,B16009_025MA,B16009_026EA,B16009_026MA,B16009_027MA,B16009_027EA,state
0400000US01,4392374,3441,799364,22096,213854,10184,196957,10094,15042,2451,489,339,541,428,825,491,585510,16360,546929,16100,28620,3742,4290,1467,3751,1260,1920,994,3593010,21462,603285,9858,572164,10018,21074,3840,3239,861,6155,1205,653,373,2989725,16167,2845781,17916,86060,6226,26906,2855,26415,2657,4563,1417,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,653466,1059,66312,5305,19348,3358,15119,3179,215,190,694,886,1613,1284,1707,488,46964,3089,36859,2766,1350,534,1411,813,2307,879,5037,689,587154,5350,112423,3385,95603,4304,4464,1518,3446,1667,4453,1032,4457,800,474731,3143,396848,5072,18627,1600,12132,2117,25575,1611,21549,2037,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5893925,3933,1072440,33049,303889,15400,159237,12255,128704,9623,863,544,4071,1743,11014,2157,768551,22815,450455,16808,248834,14350,11666,2711,15221,3077,42375,3527,4821485,33240,851283,15751,651117,12798,163836,10388,11473,2647,14081,2344,10776,1970,3970202,22803,3045387,25222,666971,19424,95696,7359,80880,4840,81268,5373,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2662250,2645,490793,15797,131455,7067,113026,6988,16349,3601,816,801,1213,947,51,85,359338,10740,323861,9775,25952,4342,3523,969,4541,1607,1461,1269,2171457,16032,373682,7379,340157,7353,26330,3886,2080,728,4542,1293,573,454,1797775,10899,1684402,10929,77690,5889,14289,2665,19549,2763,1845,884,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34448612,7224,5502558,65739,1468277,26998,546572,17897,804750,19496,24722,3331,75800,6749,16433,3794,4034281,49579,1859321,26493,1574666,32345,163015,9588,384522,14806,52757,6518,28946054,65319,5165817,26942,3066609,28904,1545844,25620,173924,10695,342070,9523,37370,5376,23780237,49374,13825195,47496,6034570,42124,1193193,23158,2516828,21266,210451,13123,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4665276,2735,601597,18866,144451,8878,94935,7576,44157,5447,1990,837,2120,806,1249,749,457146,13037,339288,11394,92108,7362,8700,1693,9005,1886,8045,2489,4063679,19197,732376,9529,609313,11424,92150,6858,14426,2420,14070,2185,2417,924,3331303,12689,2840346,15618,317490,11320,84791,5857,65949,4879,22727,4334,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3277204,1547,343556,15379,84509,6798,52283,5550,26827,3671,2511,1142,695,397,2193,1740,259047,10861,158876,7404,70631,5889,20058,3696,5945,1634,3537,1334,2933648,15457,515630,6808,429578,7010,44538,3727,26730,3583,10705,1580,4079,1656,2418018,10988,1935229,11679,216636,6476,195738,7664,54167,3768,16248,3222,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,827974,975,93559,7593,23944,3726,19303,3379,3218,1103,266,211,0,192,1157,1373,69615,5019,57419,4650,7699,2149,1481,747,1082,612,1934,1304,734415,7752,123268,4017,106657,3926,10419,1665,3249,929,2282,669,661,529,611147,5111,531316,7265,38081,3543,25152,3745,12125,1621,4473,1542,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,548378,325,98661,7336,21067,3141,19767,3141,1245,811,0,200,0,200,55,64,77594,5373,68735,5274,4533,1132,1643,619,1084,467,1599,828,449717,7276,47478,3100,38936,3351,5383,1288,1929,846,558,362,672,440,402239,5374,338270,7509,29285,2685,20121,2551,6673,1418,7890,2272,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17589816,6463,2874564,46994,681110,19195,428121,15951,194472,13564,48460,7060,5079,1659,4978,2673,2193454,33123,1405302,26962,592184,22142,149289,10859,28796,4927,17883,3931,14715252,47173,2190640,20879,1636920,20483,429353,14249,86110,7786,27538,3691,10719,2870,12524612,32929,9231522,37359,2379938,22417,646886,18641,199611,10247,66655,9323,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
