GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001EA,B05003I_001MA,B05003I_002MA,B05003I_002EA,B05003I_003EA,B05003I_003MA,B05003I_004EA,B05003I_004MA,B05003I_005EA,B05003I_005MA,B05003I_006EA,B05003I_006MA,B05003I_007EA,B05003I_007MA,B05003I_008EA,B05003I_008MA,B05003I_009EA,B05003I_009MA,B05003I_010EA,B05003I_010MA,B05003I_011EA,B05003I_011MA,B05003I_012EA,B05003I_012MA,B05003I_013MA,B05003I_013EA,B05003I_014EA,B05003I_014MA,B05003I_015EA,B05003I_015MA,B05003I_016EA,B05003I_016MA,B05003I_017EA,B05003I_017MA,B05003I_018EA,B05003I_018MA,B05003I_019EA,B05003I_019MA,B05003I_020EA,B05003I_020MA,B05003I_021EA,B05003I_021MA,B05003I_022EA,B05003I_022MA,B05003I_023EA,B05003I_023MA,state
0400000US26,447420,716,227776,2074,88988,1630,83890,1682,5098,1118,2386,865,2712,732,138788,1369,88576,2641,50212,2640,13206,1555,37006,2616,219644,2123,83715,1801,79592,2117,4123,991,1592,680,2531,758,135929,1245,93911,2699,42018,2474,13268,1534,28750,2117,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,257186,1004,135180,2107,53026,1674,48514,1967,4512,1298,1686,835,2826,897,82154,1378,32230,2311,49924,2211,10310,1681,39614,2664,122006,1945,51094,1740,46041,1979,5053,1287,1889,832,3164,997,70912,1249,30365,2272,40547,2258,9546,1280,31001,2287,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,81113,3654,46775,3615,13708,2159,12793,2088,915,646,40,71,875,637,33067,2405,11925,1633,21142,2529,2748,833,18394,2611,34338,2162,13853,1858,12398,1749,1455,680,176,177,1279,700,20485,1422,10934,1760,9551,1317,2427,919,7124,1298,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,216372,1346,113085,2609,43542,2625,39511,2673,4031,1073,919,477,3112,930,69543,1820,35973,2645,33570,2355,8101,1480,25469,2432,103287,2448,41159,1924,37301,2226,3858,1193,886,501,2972,1005,62128,1841,34853,2367,27275,1728,7417,1167,19858,1763,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,29331,620,14181,1058,6251,869,6227,886,24,54,0,165,24,54,7930,1204,7006,1270,924,460,511,302,413,270,15150,1183,5815,1002,5815,1002,0,165,0,165,0,165,9335,874,8037,1148,1298,648,446,266,852,591,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,173430,489,90066,1990,36469,1671,33442,1811,3027,943,692,509,2335,790,53597,1112,21476,2116,32121,2074,9420,1388,22701,2324,83364,1911,34810,1625,31811,1696,2999,891,708,400,2291,762,48554,1082,22360,2128,26194,2232,6763,1416,19431,2202,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,737221,-555555555,378050,964,136034,908,126173,2039,9861,1804,711,410,9150,1754,242016,469,96270,6233,145746,6181,41135,4599,104611,5854,359171,963,129598,906,120879,2207,8719,1910,265,191,8454,1920,229573,469,91817,5194,137756,5211,45872,4363,91884,5412,Nevada,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,38497,1097,19808,1462,7269,1042,6876,997,393,436,205,361,188,205,12539,1023,8462,1390,4077,1023,1994,856,2083,681,18689,1195,6352,929,5548,808,804,748,88,153,716,750,12337,848,6630,1098,5707,1138,3288,806,2419,783,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1600690,-555555555,806576,1204,240334,1026,216981,2857,23353,2762,5717,1516,17636,2264,566242,402,239495,7863,326747,7857,106134,5652,220613,8250,794114,1206,230400,1025,209599,3239,20801,2929,2821,913,17980,2678,563714,403,247450,5979,316264,5965,136419,6103,179845,5764,New Jersey,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,973051,-555555555,484089,1545,155525,1546,147006,2323,8519,1825,952,488,7567,1785,328564,-555555555,250249,5254,78315,5252,21351,2248,56964,5011,488962,1544,148807,1546,142723,2049,6084,1575,531,348,5553,1526,340155,-555555555,266425,4355,73730,4355,21802,2437,51928,3995,New Mexico,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,35
