GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001MA,B25096_001EA,B25096_002MA,B25096_002EA,B25096_003EA,B25096_003MA,B25096_004EA,B25096_004MA,B25096_005EA,B25096_005MA,B25096_006MA,B25096_006EA,B25096_007MA,B25096_007EA,B25096_008EA,B25096_008MA,B25096_009EA,B25096_009MA,B25096_010EA,B25096_010MA,B25096_011MA,B25096_011EA,B25096_012MA,B25096_012EA,B25096_013MA,B25096_013EA,B25096_014EA,B25096_014MA,B25096_015EA,B25096_015MA,B25096_016EA,B25096_016MA,B25096_017MA,B25096_017EA,state
0400000US01,1289217,12212,769984,10852,66827,4420,172467,5959,170768,6472,142579,5956,124437,4906,66810,3612,26096,2772,519233,10290,139865,5206,137832,4854,79971,3427,63637,3645,52758,3166,28284,2265,16886,1991,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162312,3867,105715,4095,2073,797,3048,824,6592,1253,18578,2361,38391,3104,29326,2448,7707,1410,56597,2674,7299,1099,8249,1238,6338,1112,7602,1408,12964,1525,10915,1340,3230,727,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1501528,15067,1032658,16346,53982,4173,185745,8819,223816,9941,185811,6469,186434,8515,135962,7922,60908,4575,468870,10367,99286,5677,90360,5408,73361,4934,63215,4159,70998,4756,43191,3720,28459,2798,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,750984,9249,441581,7763,48698,3002,130666,4781,97311,4791,70513,4953,55321,3812,29757,2563,9315,1413,309403,7087,87722,3595,87970,4189,49420,2888,38535,2729,28019,2378,11141,1754,6596,1129,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6843369,25886,5102167,26938,82170,4769,193743,6841,356179,9574,461466,12506,912068,15110,1452186,18352,1644355,17746,1741202,18648,181318,5415,135252,5989,113044,5402,127818,4466,252956,6130,408127,7460,522687,12230,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1271804,10881,954994,11508,21669,2360,45084,3868,111666,4962,176015,6131,279179,8657,217627,6267,103754,4489,316810,6526,38416,3080,24111,1985,33785,2422,49202,2890,76465,3954,56282,3090,38549,2762,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,911059,6941,644372,7533,8263,1176,13596,1837,45795,3574,97963,4144,186808,5698,181396,5789,110551,4170,266687,5457,9406,1256,11317,1559,19611,1934,39278,2242,75349,3308,68989,3799,42737,2787,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238560,4816,166538,4740,4303,1021,4925,905,15706,1845,30245,2614,57780,3343,44801,2680,8778,1241,72022,3318,9766,1485,4725,1028,6797,1232,10332,1511,19783,1812,14181,1552,6438,802,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110625,3425,87297,3574,923,450,898,472,2190,691,4107,867,14257,1846,29068,2341,35854,2107,23328,1822,606,316,440,279,1016,442,925,365,4886,841,5878,927,9577,1143,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741169,31771,2975808,26290,156020,7150,595711,13726,616378,15697,524892,14722,549072,11734,353911,11741,179824,6645,1765361,19804,308530,8287,399157,9953,275394,10035,242551,9463,249717,8354,168797,7144,121215,4950,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
