GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,NAME,C02003_001EA,C02003_001MA,C02003_002EA,C02003_002MA,C02003_003MA,C02003_003EA,C02003_004MA,C02003_004EA,C02003_005EA,C02003_005MA,C02003_006EA,C02003_006MA,C02003_007EA,C02003_007MA,C02003_008MA,C02003_008EA,C02003_009MA,C02003_009EA,C02003_010EA,C02003_010MA,C02003_011EA,C02003_011MA,C02003_012EA,C02003_012MA,C02003_013MA,C02003_013EA,C02003_014MA,C02003_014EA,C02003_015MA,C02003_015EA,C02003_016EA,C02003_016MA,C02003_017EA,C02003_017MA,C02003_018EA,C02003_018MA,C02003_019EA,C02003_019MA,state
0400000US01,4802740,-555555555,4738290,5189,3318110,8630,1281095,4637,24408,2242,54259,2260,1919,1208,58499,7039,64450,5189,5766,1769,58684,4826,60067,5122,17381,2897,24060,2631,7704,2096,2817,1253,8105,1807,3933,1718,450,389,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,722718,-555555555,662489,4733,482698,2741,23143,2072,102293,3803,37971,2083,7785,727,8599,1933,60229,4733,3382,1371,56847,4516,57234,4589,6096,1991,31841,3622,7991,1699,3900,1734,7406,2199,2680,855,315,292,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6482505,-555555555,6288212,11560,5141027,23299,265940,7841,289812,5175,177297,6178,11941,1586,402195,21457,194293,11560,48953,6342,145340,10223,180269,11133,40144,6164,36784,5923,39438,5751,4556,1518,59347,6865,12449,3533,1575,1076,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2937979,-555555555,2880750,5642,2296248,7497,463364,4287,16772,2398,34342,2594,7279,1910,62745,7426,57229,5642,5570,1652,51659,5206,54547,5581,14043,2686,25102,2856,6534,1701,2240,1363,6628,1742,2638,1130,44,65,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37691912,-555555555,36097905,33877,23698393,65345,2253905,15479,289597,14245,4970627,17933,146894,5678,4738489,66403,1594007,33877,367859,18403,1226148,25786,1457314,32304,210104,11624,245931,10162,434428,15151,39443,5877,527408,21859,125253,7664,11440,2709,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5116796,-555555555,4944023,9552,4318187,17394,203243,4916,51677,4851,143760,3834,5949,641,221207,15837,172773,9552,36014,4659,136759,7670,157924,9523,29863,3874,45666,4898,32931,4073,4464,1919,45000,5198,14303,2985,546,394,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3580709,-555555555,3492125,5802,2787171,11468,359683,5702,7481,1778,141081,2409,1416,755,195293,10646,88584,5802,21150,3427,67434,4884,81480,5508,28782,3412,11802,1436,12548,2108,3401,1109,24947,3778,6481,1600,623,590,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907135,-555555555,883007,3358,636680,4729,193899,2993,2794,895,29930,1168,22,29,19682,4485,24128,3358,2548,1242,21580,3200,22988,3097,11468,2529,3622,1141,2991,1003,1837,934,3070,1278,1140,731,0,192,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,617996,-555555555,605236,1744,246505,3665,309845,2181,1956,848,22510,968,0,200,24420,3654,12760,1744,1315,601,11445,1673,10638,1613,3404,1090,789,356,4060,938,569,299,1816,707,2090,751,32,53,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19057542,-555555555,18634061,20163,14535897,31466,3046628,20255,63416,6292,463164,8849,12545,3380,512411,27599,423481,20163,87418,9889,336063,17975,396087,19141,128390,11786,60807,4536,77420,8191,11134,2826,118336,11804,26147,5199,1247,475,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
