GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001MA,C27003_001EA,C27003_002MA,C27003_002EA,C27003_003MA,C27003_003EA,C27003_004EA,C27003_004MA,C27003_005EA,C27003_005MA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008MA,C27003_008EA,C27003_009MA,C27003_009EA,C27003_010EA,C27003_010MA,C27003_011MA,C27003_011EA,C27003_012MA,C27003_012EA,C27003_013MA,C27003_013EA,C27003_014MA,C27003_014EA,C27003_015EA,C27003_015MA,C27003_016EA,C27003_016MA,C27003_017EA,C27003_017MA,C27003_018MA,C27003_018EA,C27003_019MA,C27003_019EA,C27003_020MA,C27003_020EA,C27003_021EA,C27003_021MA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,235162,7157,333945,7251,1414698,4262,211911,7066,1202787,8103,279093,1597,272116,2131,6977,1249,2457169,5482,553018,4336,234821,7927,318197,7821,1529326,3226,239243,8604,1290083,8679,374825,1967,369207,2322,5618,1251,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,32808,2945,62877,2953,229987,2044,29330,2562,200657,3246,27740,691,26174,785,1566,525,345860,1555,92023,1337,33090,2780,58933,2630,224593,1324,27808,2577,196785,2890,29244,918,27485,928,1759,549,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,319161,12159,510959,12222,1892465,3160,340547,12464,1551918,12587,418812,1439,403794,2660,15018,2337,3236883,4797,791710,3468,291884,12963,499826,12851,1952969,2665,390123,12276,1562846,12279,492204,1546,475987,2319,16217,2181,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,193443,6512,173270,6241,864243,2843,135428,5522,728815,5495,181477,1394,178441,1619,3036,910,1472779,4226,342175,3336,172942,6668,169233,6324,899485,2675,148001,6639,751484,7306,231119,1618,227660,1649,3459,903,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,1876099,23800,2855554,24368,11716855,6623,1470103,18352,10246752,18667,1888665,2997,1785395,6080,103270,4987,18824616,6478,4520813,4109,1812573,19624,2708240,19096,11890613,4441,1837935,22181,10052678,21712,2413190,2783,2294539,7030,118651,6006,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,180989,7193,449058,7720,1618210,3693,169736,6804,1448474,7495,250614,1187,240404,1942,10210,1735,2526014,4098,596781,3604,177972,7803,418809,7826,1620615,3014,191682,6714,1428933,7039,308618,1578,298088,1819,10530,1294,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,124330,4837,286203,4796,1084991,1817,139215,5301,945776,5502,211891,1346,202426,1948,9465,1473,1815294,2210,391817,1419,118681,5549,273136,5542,1142307,1643,184135,7504,958172,7411,281170,1372,270136,1825,11034,1369,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,39392,3463,64902,3426,267093,1107,41858,2908,225235,3186,57505,652,55808,977,1697,669,463240,1136,100001,916,38267,3432,61734,3541,290684,969,56256,3659,234428,3860,72555,728,70614,986,1941,707,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,26543,2256,26913,2279,204647,794,40814,2803,163833,2979,27068,387,24187,914,2881,849,322994,788,51856,427,26041,2131,25815,2184,230511,708,53097,3161,177414,3251,40627,548,37470,994,3157,828,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,802409,19546,1237677,19271,5576083,6738,722756,19085,4853327,19806,1472816,3748,1418836,5338,53980,4110,9663309,8195,1946860,6048,769109,14569,1177751,15966,5892404,5507,773224,16612,5119180,16977,1824045,4157,1757136,6401,66909,5489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
