GEO_ID,C12002I_001E,C12002I_001M,C12002I_002E,C12002I_002M,C12002I_003E,C12002I_003M,C12002I_004E,C12002I_004M,C12002I_005E,C12002I_005M,C12002I_006E,C12002I_006M,NAME,C12002I_001MA,C12002I_001EA,C12002I_002MA,C12002I_002EA,C12002I_003EA,C12002I_003MA,C12002I_004EA,C12002I_004MA,C12002I_005EA,C12002I_005MA,C12002I_006MA,C12002I_006EA,state
0400000US01,127219,2529,51878,4825,61623,4068,3014,1253,2762,921,7942,1793,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28672,497,10018,1330,14440,1265,536,301,519,292,3159,637,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1353989,508,563282,12162,575334,13678,41446,4811,43997,3388,129930,7950,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,123194,1845,45137,3188,64894,3692,3579,1104,1856,773,7728,2000,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10380956,893,4520178,28020,4477095,37664,335677,10706,327596,8862,720410,18790,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,744139,1587,278957,7188,347438,8508,21501,2742,25557,2638,70686,4508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,357883,229,171722,4781,126915,5827,14605,2093,8315,1306,36326,3466,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51580,258,23452,2177,22236,2320,1358,636,1407,566,3127,1029,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46922,-555555555,26320,1752,14585,1938,1193,642,1162,423,3662,1080,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3423449,2470,1229179,16382,1492502,20411,129629,9433,172317,7796,399822,13484,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,599480,5300,246726,10082,290639,9957,18804,3708,10226,2258,33085,4247,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87018,314,39273,2287,34975,2336,2286,1023,3234,810,7250,1422,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,118598,1066,47941,2709,55160,3174,2046,986,2140,732,11311,1735,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1456935,2052,623432,9662,659061,12047,37774,3349,38523,3039,98145,5601,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,261851,2579,114430,5305,114996,5355,7563,1584,5330,1088,19532,2778,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,99062,1251,46035,2939,39984,3436,3078,776,2631,729,7334,1349,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,199876,1217,78661,3122,92109,3846,6256,1222,5221,1254,17629,2226,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,85884,2051,36678,2972,35585,3060,3206,1055,1885,967,8530,2091,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,149694,2067,60622,4410,62921,4537,5635,1340,6269,1435,14247,2313,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12001,573,5647,815,4761,702,98,108,722,382,773,389,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,353857,1371,159304,4963,149229,6535,11609,1973,7611,1298,26104,3443,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,470657,336,239093,5575,154489,5839,24867,2514,12625,1502,39583,3204,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,300858,1405,129043,3706,125783,4603,7705,1247,7984,1172,30343,2773,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,166712,1901,74668,2993,69530,3675,7547,1564,3365,1031,11602,1626,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,56320,2998,21607,2471,27862,2777,1447,629,1596,699,3808,1095,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,143865,2196,61300,2914,65507,2971,3539,947,2908,801,10611,1798,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,19060,1523,8160,1429,7809,1260,171,177,1001,508,1919,652,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,111392,1401,42598,2567,54583,2987,2629,760,2330,787,9252,1654,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,513515,781,204631,6501,231698,7540,19940,4044,12783,2133,44463,4837,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,26687,832,12117,1307,10757,1370,509,417,726,362,2578,675,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1204524,606,523992,10009,485867,10766,49340,3912,40551,3156,104774,6053,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,716217,1039,265163,7242,311438,9195,16492,2338,35710,2788,87414,4829,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2679284,1630,1261422,15906,946886,18230,131827,5990,100553,5153,238596,8477,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,544785,3601,237357,6904,242876,7501,23744,3581,10456,1962,30352,4100,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,9739,767,3914,871,4860,885,284,239,48,64,633,434,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,244864,1771,105551,3803,99797,4030,6070,1305,6443,1112,27003,2525,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,226884,1411,84243,3779,110459,4049,6884,1414,5279,1169,20019,2072,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,308403,1002,123648,4989,149159,6011,8610,1889,5780,1096,21206,2893,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,524635,1729,260808,5782,180915,6713,22807,2788,16659,2211,43446,3031,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,95788,274,44187,3007,35429,3653,5005,1300,1975,702,9192,1862,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,165100,2801,68393,5350,76049,5182,7967,2067,2958,1008,9733,1931,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,15737,1163,7633,1200,5440,944,775,474,128,104,1761,672,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,197931,2792,78290,4978,92900,4843,7412,1834,5275,1327,14054,2440,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6907199,2708,2551122,24185,3244544,30951,271044,11438,253179,8807,587310,16326,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,245152,1061,94108,4888,121970,5415,7966,1608,4328,1026,16780,2322,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,6846,591,3347,696,2836,692,156,148,70,100,437,237,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,467608,2807,191158,6485,217165,7850,17368,2506,10203,1800,31714,3422,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,524437,1572,226045,6679,231343,6989,17146,2786,9830,1309,40073,4022,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,15144,1291,7770,1203,5377,1069,697,365,504,345,796,481,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,226725,1252,100888,4389,95892,4858,7429,1465,4563,984,17953,2117,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
