GEO_ID,C14003_001E,C14003_001M,C14003_002E,C14003_002M,C14003_003E,C14003_003M,C14003_004E,C14003_004M,C14003_005E,C14003_005M,C14003_006E,C14003_006M,C14003_007E,C14003_007M,C14003_008E,C14003_008M,C14003_009E,C14003_009M,C14003_010E,C14003_010M,C14003_011E,C14003_011M,C14003_012E,C14003_012M,C14003_013E,C14003_013M,C14003_014E,C14003_014M,C14003_015E,C14003_015M,C14003_016E,C14003_016M,C14003_017E,C14003_017M,C14003_018E,C14003_018M,C14003_019E,C14003_019M,C14003_020E,C14003_020M,C14003_021E,C14003_021M,C14003_022E,C14003_022M,C14003_023E,C14003_023M,C14003_024E,C14003_024M,C14003_025E,C14003_025M,C14003_026E,C14003_026M,C14003_027E,C14003_027M,C14003_028E,C14003_028M,NAME,C14003_001MA,C14003_001EA,C14003_002MA,C14003_002EA,C14003_003EA,C14003_003MA,C14003_004EA,C14003_004MA,C14003_005EA,C14003_005MA,C14003_006MA,C14003_006EA,C14003_007MA,C14003_007EA,C14003_008EA,C14003_008MA,C14003_009EA,C14003_009MA,C14003_010EA,C14003_010MA,C14003_011MA,C14003_011EA,C14003_012MA,C14003_012EA,C14003_013MA,C14003_013EA,C14003_014EA,C14003_014MA,C14003_015EA,C14003_015MA,C14003_016EA,C14003_016MA,C14003_017MA,C14003_017EA,C14003_018MA,C14003_018EA,C14003_019EA,C14003_019MA,C14003_020EA,C14003_020MA,C14003_021EA,C14003_021MA,C14003_022MA,C14003_022EA,C14003_023MA,C14003_023EA,C14003_024MA,C14003_024EA,C14003_025EA,C14003_025MA,C14003_026EA,C14003_026MA,C14003_027EA,C14003_027MA,C14003_028MA,C14003_028EA,state
0400000US01,4629405,5297,1059702,12210,26176,2761,250872,7015,290492,6753,167903,3318,90651,3789,121037,5088,64676,5212,47895,3566,182084,8537,28115,3046,38964,3171,31875,3928,22429,1987,11077,1872,22345,2885,13761,2396,13518,2167,3387619,11099,70839,4049,12575,1707,4739,1274,6074,1212,40136,3080,200028,6524,531174,5845,2522054,6761,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,689159,1880,173043,4588,4772,1061,42939,2281,48450,2531,27694,1277,11281,1468,14486,1948,10604,1670,12817,1728,23197,3044,2724,715,4505,975,3748,1238,1880,679,603,333,3230,1100,2488,939,4019,1050,492919,5076,12976,1463,3276,1005,607,294,1093,441,6995,975,41038,2474,93187,2378,333747,3065,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6224083,6185,1566065,15035,43154,4353,390218,8863,419682,10243,244755,3580,118092,5461,157728,7400,108851,6748,83585,7366,185851,8687,22761,3167,35920,3754,24968,3698,13997,2151,6816,1397,20353,3190,30775,3673,30261,3890,4472167,16169,123627,6558,26738,3856,7606,2560,12176,2194,59806,5163,284463,8284,727089,8496,3230662,8878,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2823970,4097,668756,8775,26957,2727,169333,5813,183179,5701,103123,2175,51429,3145,63467,4640,39832,3505,31436,2941,83365,5667,10872,1783,16555,2897,12546,2015,7962,1319,6156,1221,12660,2301,7813,1706,8801,2205,2071849,7755,45828,3283,11005,1795,5319,1294,4498,996,23088,2221,126566,5476,334869,6031,1520676,5060,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36215114,13757,9108101,36087,302827,8846,2174662,24561,2337827,20738,1471419,7307,729360,10718,1076155,16949,570910,12544,444941,11714,1476119,23625,212047,8307,253636,8200,208382,9628,125794,5793,94021,4892,202638,8610,202233,8401,177368,7677,25630894,33473,541983,13599,87536,5599,33824,3468,40701,3765,290168,8502,1588262,16454,4631343,16203,18417077,15746,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4918469,5833,1195648,11800,39601,3627,300028,8387,307405,8742,182034,2508,93485,4015,120948,5593,86503,5592,65644,4731,182155,8317,31389,2703,31882,2955,24288,3122,11178,1563,10368,2103,20739,2858,23707,3045,28604,2953,3540666,11563,71724,4766,16677,2648,8319,2020,5725,1306,36355,3258,219014,6566,634741,6668,2548111,6225,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471993,3905,757153,9333,28596,2940,192238,4951,210054,6130,130880,2002,63183,3103,68702,3882,33381,3044,30119,2550,186059,7536,25047,2177,24522,2819,23484,2626,13835,1903,21669,2699,34879,3305,22614,2509,20009,2378,2528781,7312,33847,2990,5162,1224,3221,1018,4018,1116,21251,2152,123002,4301,372135,4484,1966145,3431,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,877242,1796,188300,5878,6762,1437,46258,2781,44743,3016,27472,1473,18367,1583,22988,2546,12053,1905,9657,1791,49220,4355,5456,977,9213,1647,10412,2199,5287,1273,2733,836,6467,1508,4672,1071,4980,1148,639722,4552,13137,1800,2176,876,1238,663,2578,1024,5428,1453,35407,2596,97472,2375,482286,2316,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,597078,1755,90751,3810,8514,1643,22646,2040,20273,1926,12458,792,5757,1276,6923,1291,7957,1596,6223,1259,69718,3695,2905,784,3270,637,5209,1349,3258,731,13515,2587,22815,3039,14551,2266,4195,1215,436609,4538,3895,946,718,558,580,439,836,413,4874,1073,30371,2402,110757,2840,284578,1673,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18441948,8338,3857638,28565,119872,6304,899742,14920,983888,16561,615424,7153,324994,8684,458316,13667,260535,10946,194867,9171,824937,20257,113257,6569,145748,9073,123677,9133,68101,5218,51781,3945,112928,6733,97819,7564,111626,6681,13759373,27445,225601,9296,40469,3342,19429,2845,24148,3090,134870,7367,712122,14574,1969928,15822,10632806,12945,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
