GEO_ID,C11002F_001E,C11002F_001M,C11002F_002E,C11002F_002M,C11002F_003E,C11002F_003M,NAME,C11002F_001EA,C11002F_001MA,C11002F_002EA,C11002F_002MA,C11002F_003EA,C11002F_003MA,state
0400000US01,56779,7982,50835,7706,5944,2485,Alabama,null,null,null,null,null,null,01
0400000US02,8739,2236,8238,2288,501,384,Alaska,null,null,null,null,null,null,02
0400000US04,381924,21948,348336,22561,33588,5531,Arizona,null,null,null,null,null,null,04
0400000US05,58830,7487,52838,7597,5992,1709,Arkansas,null,null,null,null,null,null,05
0400000US06,4672920,69202,4354626,66478,318294,15631,California,null,null,null,null,null,null,06
0400000US08,219131,17000,198849,16969,20282,3817,Colorado,null,null,null,null,null,null,08
0400000US09,184525,11009,159558,10185,24967,4423,Connecticut,null,null,null,null,null,null,09
0400000US10,18811,4333,15946,4037,2865,1683,Delaware,null,null,null,null,null,null,10
0400000US11,23241,3980,18288,3861,4953,1718,District of Columbia,null,null,null,null,null,null,11
0400000US12,485805,28951,432604,28006,53201,7600,Florida,null,null,null,null,null,null,12
0400000US13,272155,19448,241507,19295,30648,5801,Georgia,null,null,null,null,null,null,13
0400000US15,16701,4094,14966,3973,1735,924,Hawaii,null,null,null,null,null,null,15
0400000US16,27430,5488,24254,5313,3176,1541,Idaho,null,null,null,null,null,null,16
0400000US17,768855,27966,722281,28190,46574,4927,Illinois,null,null,null,null,null,null,17
0400000US18,145226,9941,130154,9826,15072,2784,Indiana,null,null,null,null,null,null,18
0400000US19,42252,5589,36585,5199,5667,1553,Iowa,null,null,null,null,null,null,19
0400000US20,69121,6368,61348,6153,7773,1978,Kansas,null,null,null,null,null,null,20
0400000US21,36676,5478,31268,5484,5408,2439,Kentucky,null,null,null,null,null,null,21
0400000US22,43927,6838,36957,6656,6970,1744,Louisiana,null,null,null,null,null,null,22
0400000US23,2564,1162,1359,936,1205,697,Maine,null,null,null,null,null,null,23
0400000US24,185357,13777,162493,13693,22864,4614,Maryland,null,null,null,null,null,null,24
0400000US25,269825,13121,239906,13289,29919,4262,Massachusetts,null,null,null,null,null,null,25
0400000US26,98356,8055,89594,8055,8762,1980,Michigan,null,null,null,null,null,null,26
0400000US27,70846,7312,63307,7186,7539,2341,Minnesota,null,null,null,null,null,null,27
0400000US28,15921,4046,13254,3654,2667,1491,Mississippi,null,null,null,null,null,null,28
0400000US29,55438,6622,49671,6354,5767,1343,Missouri,null,null,null,null,null,null,29
0400000US30,3096,1439,2138,1375,958,552,Montana,null,null,null,null,null,null,30
0400000US31,39490,5029,36085,5183,3405,1289,Nebraska,null,null,null,null,null,null,31
0400000US32,195279,15326,184014,14857,11265,2768,Nevada,null,null,null,null,null,null,32
0400000US33,7149,2597,6478,2477,671,548,New Hampshire,null,null,null,null,null,null,33
0400000US34,532125,21842,475564,22404,56561,6400,New Jersey,null,null,null,null,null,null,34
0400000US35,258832,13630,229776,13880,29056,3522,New Mexico,null,null,null,null,null,null,35
0400000US36,1636205,32014,1470167,30785,166038,9704,New York,null,null,null,null,null,null,36
0400000US37,245427,18382,221297,19191,24130,4484,North Carolina,null,null,null,null,null,null,37
0400000US38,3100,1280,2967,1295,133,146,North Dakota,null,null,null,null,null,null,38
0400000US39,92308,9214,79129,8598,13179,2773,Ohio,null,null,null,null,null,null,39
0400000US40,87105,6685,78475,6726,8630,1740,Oklahoma,null,null,null,null,null,null,40
0400000US41,156035,11726,147276,12022,8759,2743,Oregon,null,null,null,null,null,null,41
0400000US42,236850,13080,210585,12934,26265,4416,Pennsylvania,null,null,null,null,null,null,42
0400000US44,60812,6588,53970,6107,6842,2376,Rhode Island,null,null,null,null,null,null,44
0400000US45,66027,8683,57332,7963,8695,2588,South Carolina,null,null,null,null,null,null,45
0400000US46,6178,2002,5260,1933,918,380,South Dakota,null,null,null,null,null,null,46
0400000US47,100736,8762,87103,8278,13633,3435,Tennessee,null,null,null,null,null,null,47
0400000US48,1737584,41720,1579140,42146,158444,11375,Texas,null,null,null,null,null,null,48
0400000US49,108742,10296,99479,9983,9263,3124,Utah,null,null,null,null,null,null,49
0400000US50,1056,801,713,548,343,336,Vermont,null,null,null,null,null,null,50
0400000US51,162500,12969,144220,12577,18280,4162,Virginia,null,null,null,null,null,null,51
0400000US53,267691,17854,245259,16758,22432,4709,Washington,null,null,null,null,null,null,53
0400000US54,2549,1356,2197,1353,352,300,West Virginia,null,null,null,null,null,null,54
0400000US55,71840,7645,63603,7428,8237,2028,Wisconsin,null,null,null,null,null,null,55
0400000US56,13918,3087,12628,3004,1290,695,Wyoming,null,null,null,null,null,null,56
0400000US72,371432,16498,333299,16188,38133,2989,Puerto Rico,null,null,null,null,null,null,72
