GEO_ID,C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,NAME,C27001D_001MA,C27001D_001EA,C27001D_002EA,C27001D_002MA,C27001D_003MA,C27001D_003EA,C27001D_004MA,C27001D_004EA,C27001D_005MA,C27001D_005EA,C27001D_006MA,C27001D_006EA,C27001D_007EA,C27001D_007MA,C27001D_008EA,C27001D_008MA,C27001D_009EA,C27001D_009MA,C27001D_010MA,C27001D_010EA,state
0400000US01,53772,2216,12994,1011,12129,969,865,420,37034,1831,28147,2103,8887,1836,3744,897,3197,826,547,475,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37159,2056,8658,1286,7892,1377,766,394,24960,1321,16410,1528,8550,1463,3541,752,3245,797,296,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,175837,6202,37181,3948,33725,3910,3456,1426,122266,3353,99692,4195,22574,3997,16390,1235,15913,1373,477,386,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34342,2594,9061,1506,7871,1573,1190,677,23621,1600,16177,2205,7444,1987,1660,645,1639,645,21,28,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4944665,17970,995177,10196,938184,9806,56993,4784,3359045,11522,2712078,18488,646967,14543,590443,3804,572754,5222,17689,2725,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,142057,3877,36033,2597,29626,3041,6407,1827,94492,2633,74116,3329,20376,2872,11532,794,11215,744,317,304,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,140560,2423,36652,1353,35169,1476,1483,822,95786,1895,82971,2726,12815,2484,8122,495,7130,715,992,570,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29831,1200,7137,672,6877,717,260,235,19635,684,17330,1102,2305,879,3059,663,3026,666,33,55,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22443,964,1629,543,1629,543,0,200,19634,777,18201,989,1433,581,1180,261,1180,261,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,460242,8833,93318,4893,80765,5661,12553,2692,319721,6171,232097,7692,87624,7413,47203,2269,43163,2576,4040,1715,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,321376,7527,77362,3576,65042,4099,12320,2671,222649,5276,152640,6376,70009,6388,21365,1926,18440,1977,2925,1293,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
