GEO_ID,C19001H_001E,C19001H_001M,C19001H_002E,C19001H_002M,C19001H_003E,C19001H_003M,C19001H_004E,C19001H_004M,C19001H_005E,C19001H_005M,C19001H_006E,C19001H_006M,C19001H_007E,C19001H_007M,C19001H_008E,C19001H_008M,C19001H_009E,C19001H_009M,C19001H_010E,C19001H_010M,C19001H_011E,C19001H_011M,NAME,C19001H_001MA,C19001H_001EA,C19001H_002EA,C19001H_002MA,C19001H_003EA,C19001H_003MA,C19001H_004EA,C19001H_004MA,C19001H_005MA,C19001H_005EA,C19001H_006MA,C19001H_006EA,C19001H_007EA,C19001H_007MA,C19001H_008EA,C19001H_008MA,C19001H_009EA,C19001H_009MA,C19001H_010MA,C19001H_010EA,C19001H_011MA,C19001H_011EA,state
0400000US01,1286491,7642,95306,5414,80140,4847,157876,5472,143401,6200,190206,6321,236880,7386,152498,5219,146284,5371,44691,3389,39209,2978,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,187736,3035,6564,1254,6155,1233,11112,1528,12821,1605,21089,2247,39202,2883,29946,2458,35314,2615,15988,2199,9545,1547,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1599922,10824,107621,6463,75881,4393,179497,8118,166027,7538,233454,9277,301805,9029,200794,7867,203125,7394,68597,5438,63121,4488,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,881638,6825,73324,4128,67474,4037,119081,4473,106450,5025,137739,5411,161247,5327,93801,4132,81025,4025,23925,2638,17572,2291,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6342944,23757,333490,9968,300435,9324,562361,12748,512344,12555,723756,13462,1034533,13810,804766,15280,1033147,15312,475597,11798,562515,10472,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1512644,8700,83185,4169,66657,3646,135576,5491,132144,5991,202868,6586,285993,9936,198401,7166,228257,7127,95429,5003,84134,4099,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1024871,6455,44511,2841,36973,3257,79945,3939,72259,4978,109393,4373,172739,5528,144723,6100,177325,5640,86213,3575,100790,4063,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235336,3305,8706,1176,8694,1452,20948,2038,20308,2130,31415,2366,45094,3081,35770,2891,39317,3071,13105,1694,11979,1429,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108891,2764,4982,1099,1345,588,2555,716,3182,919,8156,1605,15401,1872,13814,2057,23049,2275,11925,1510,24482,1795,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4653758,18488,308017,8911,258653,9913,555247,11667,537587,14062,700426,13975,881144,19855,531450,12538,512460,12081,180359,7745,188415,8087,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
