GEO_ID,C17009_001E,C17009_001M,C17009_002E,C17009_002M,C17009_003E,C17009_003M,C17009_004E,C17009_004M,C17009_005E,C17009_005M,C17009_006E,C17009_006M,C17009_007E,C17009_007M,C17009_008E,C17009_008M,C17009_009E,C17009_009M,NAME,C17009_001MA,C17009_001EA,C17009_002MA,C17009_002EA,C17009_003EA,C17009_003MA,C17009_004EA,C17009_004MA,C17009_005EA,C17009_005MA,C17009_006EA,C17009_006MA,C17009_007MA,C17009_007EA,C17009_008MA,C17009_008EA,C17009_009EA,C17009_009MA,state
0400000US01,776460,15814,245313,10175,10948,1742,83186,6043,151179,6606,531147,12981,271332,9606,87985,4774,171830,5811,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,143383,5873,26000,2347,1423,618,12303,1595,12274,1457,117383,5633,62714,4278,35677,3785,18992,1938,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1216398,22770,328230,10601,13813,2117,102538,6526,211879,8156,888168,20328,455405,15144,180502,8256,252261,9456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,491678,10472,161960,6294,10498,1847,52463,4321,98999,5043,329718,9112,164473,7510,56255,4260,108990,4076,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6625047,53675,1845526,30557,71303,5334,619145,16398,1155078,24052,4779521,38386,2516549,29254,1102241,20193,1160731,15660,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1047615,18575,250963,9346,14640,2703,118235,6409,118088,5493,796652,14954,444156,11689,194194,8084,158302,5447,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,641730,13253,138430,6582,6530,1752,46806,4451,85094,4938,503300,11298,259631,9229,101384,5441,142285,4883,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,163245,6107,39021,3563,1035,438,15041,2104,22945,2815,124224,4864,67760,4534,22456,2335,34008,2401,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224065,6230,45798,3464,1737,638,14662,2204,29399,2804,178267,6123,123173,5532,31354,2914,23740,2073,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3797792,39659,1037754,19267,48250,4962,333764,14035,655740,14764,2760038,34621,1405019,29210,510267,16566,844752,15708,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
