GEO_ID,B19101_001E,B19101_001M,B19101_002E,B19101_002M,B19101_003E,B19101_003M,B19101_004E,B19101_004M,B19101_005E,B19101_005M,B19101_006E,B19101_006M,B19101_007E,B19101_007M,B19101_008E,B19101_008M,B19101_009E,B19101_009M,B19101_010E,B19101_010M,B19101_011E,B19101_011M,B19101_012E,B19101_012M,B19101_013E,B19101_013M,B19101_014E,B19101_014M,B19101_015E,B19101_015M,B19101_016E,B19101_016M,B19101_017E,B19101_017M,NAME,B19101_001EA,B19101_001MA,B19101_002EA,B19101_002MA,B19101_003EA,B19101_003MA,B19101_004EA,B19101_004MA,B19101_005EA,B19101_005MA,B19101_006EA,B19101_006MA,B19101_007EA,B19101_007MA,B19101_008EA,B19101_008MA,B19101_009EA,B19101_009MA,B19101_010MA,B19101_010EA,B19101_011EA,B19101_011MA,B19101_012EA,B19101_012MA,B19101_013EA,B19101_013MA,B19101_014MA,B19101_014EA,B19101_015MA,B19101_015EA,B19101_016EA,B19101_016MA,B19101_017EA,B19101_017MA,state
0400000US01,1251795,13646,80266,4861,62131,4290,68007,4345,73052,4272,71245,4514,64343,4447,59814,3800,62925,3765,58668,3742,106776,5317,137540,5839,165965,6069,104207,5473,52255,3772,46190,3468,38411,2856,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,5143,997,3305,856,3453,900,6503,1315,5661,1222,6766,1429,6101,1167,6533,1213,6329,1246,14691,1854,21220,2425,27333,2576,22021,2241,13356,1796,16143,2029,8721,1320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,92699,6770,59688,5383,67071,4949,80941,6394,79678,5406,79238,5465,76019,4069,81374,5341,72068,6151,139571,6699,165671,7172,205399,9041,131664,6781,78937,5507,71130,5116,62775,4663,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,47928,3543,36049,3359,48931,3555,44433,3329,47638,3412,44047,3412,41545,2617,39119,2957,37400,3124,73321,4269,78490,4826,93450,4502,54023,3717,28943,2668,23929,2638,17959,2120,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,402231,9683,294915,9519,388325,10427,394791,11240,366204,10647,381361,12083,363974,10494,362230,9183,340142,10406,631682,15436,834964,13583,1094136,19112,845961,16057,526848,12045,622188,12775,668566,10645,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,52258,3643,29857,2992,41701,3492,49641,3531,42422,3075,56830,3896,54056,3901,57470,3762,52083,4341,105940,5775,140183,5814,180739,7596,137175,5233,82411,4993,92538,4719,81167,3926,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,32885,2963,20278,2320,22998,2719,28616,2756,29728,2916,32538,3134,28858,2752,32646,2497,29000,2645,58495,3626,83714,4473,131744,5196,103938,4721,70240,3504,87181,3918,100242,4242,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,8930,1484,5631,1196,6327,1347,6920,1382,10131,1841,10009,1503,9620,1583,10320,1544,9994,1578,18738,2010,24256,2388,37865,3320,26560,2737,13673,1665,14702,1953,13425,1579,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,10015,1670,4391,995,4333,1156,5224,1278,3288,853,3971,952,3523,1084,3787,920,3222,890,6425,1023,8440,1497,9860,1465,9391,1288,6533,1177,10243,1608,21399,1876,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,244681,10069,180281,7775,216354,8325,250437,8549,264707,9149,257412,10726,237579,8450,237681,9878,209343,9229,405801,12847,505397,15266,584254,15636,363787,10674,204255,8338,198473,7463,199416,8258,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
