GEO_ID,B01001H_001E,B01001H_001M,B01001H_002E,B01001H_002M,B01001H_003E,B01001H_003M,B01001H_004E,B01001H_004M,B01001H_005E,B01001H_005M,B01001H_006E,B01001H_006M,B01001H_007E,B01001H_007M,B01001H_008E,B01001H_008M,B01001H_009E,B01001H_009M,B01001H_010E,B01001H_010M,B01001H_011E,B01001H_011M,B01001H_012E,B01001H_012M,B01001H_013E,B01001H_013M,B01001H_014E,B01001H_014M,B01001H_015E,B01001H_015M,B01001H_016E,B01001H_016M,B01001H_017E,B01001H_017M,B01001H_018E,B01001H_018M,B01001H_019E,B01001H_019M,B01001H_020E,B01001H_020M,B01001H_021E,B01001H_021M,B01001H_022E,B01001H_022M,B01001H_023E,B01001H_023M,B01001H_024E,B01001H_024M,B01001H_025E,B01001H_025M,B01001H_026E,B01001H_026M,B01001H_027E,B01001H_027M,B01001H_028E,B01001H_028M,B01001H_029E,B01001H_029M,B01001H_030E,B01001H_030M,B01001H_031E,B01001H_031M,NAME,B01001H_001MA,B01001H_001EA,B01001H_002EA,B01001H_002MA,B01001H_003EA,B01001H_003MA,B01001H_004EA,B01001H_004MA,B01001H_005MA,B01001H_005EA,B01001H_006MA,B01001H_006EA,B01001H_007EA,B01001H_007MA,B01001H_008EA,B01001H_008MA,B01001H_009EA,B01001H_009MA,B01001H_010EA,B01001H_010MA,B01001H_011MA,B01001H_011EA,B01001H_012MA,B01001H_012EA,B01001H_013EA,B01001H_013MA,B01001H_014EA,B01001H_014MA,B01001H_015EA,B01001H_015MA,B01001H_016MA,B01001H_016EA,B01001H_017MA,B01001H_017EA,B01001H_018EA,B01001H_018MA,B01001H_019EA,B01001H_019MA,B01001H_020EA,B01001H_020MA,B01001H_021EA,B01001H_021MA,B01001H_022MA,B01001H_022EA,B01001H_023MA,B01001H_023EA,B01001H_024EA,B01001H_024MA,B01001H_025EA,B01001H_025MA,B01001H_026EA,B01001H_026MA,B01001H_027MA,B01001H_027EA,B01001H_028MA,B01001H_028EA,B01001H_029EA,B01001H_029MA,B01001H_030MA,B01001H_030EA,B01001H_031EA,B01001H_031MA,state
0400000US01,3202563,2187,1564621,1586,86494,805,95852,3574,96691,3703,61468,793,43215,1951,104609,1908,92494,915,93908,798,202269,746,237514,354,217409,19,140428,373,71370,2031,20900,1995,1637942,1722,83276,794,84499,3002,99537,2905,57694,926,39909,1956,105146,2219,94313,1169,94124,818,204400,989,240753,482,229914,481,161033,220,101560,2582,41784,2546,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459836,438,242498,329,14355,198,13364,1363,14110,1404,8569,164,5741,557,18331,628,18923,401,16759,240,32445,387,40817,404,37183,83,15119,248,5673,410,1109,350,217338,384,13265,213,12081,1231,13675,1245,8532,117,4399,712,14746,716,16969,219,15340,115,28991,179,36510,181,31642,123,12861,83,5727,627,2600,635,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3713340,2476,1835742,1976,90335,1107,95804,4311,96762,4355,60449,951,41555,1988,114147,1998,115092,884,110288,608,226022,1466,266770,486,267949,112,202173,270,115471,2962,32925,2952,1877598,2075,85990,1238,93341,5022,88828,5125,57637,1016,39623,2293,105844,2227,108858,731,105289,1103,215937,1013,273558,452,294225,150,219599,277,127582,4191,61287,4097,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2181458,1323,1071631,1701,62697,1237,66537,3459,67077,3436,41548,1025,26316,1585,71508,1719,67865,1368,64579,1353,136089,1151,156207,429,144406,306,99753,430,51195,1640,15854,1644,1109827,1672,58743,1281,63330,3141,64098,3010,37337,1037,25270,1781,72533,1816,65710,984,66316,1118,133050,1077,158251,503,153742,513,110998,327,71661,2218,28788,2219,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14917153,7949,7431065,4399,327070,1168,347469,7867,362633,7749,246027,1249,172607,1692,489972,2068,497772,1640,466867,1211,953344,1415,1228514,2037,1141773,904,666456,601,375692,4655,154869,4663,7486088,4823,308899,1081,327264,7603,346726,7466,229208,1258,154432,2064,453335,2496,461802,1228,434131,1155,903163,1172,1198054,1732,1168889,758,731751,591,486629,7569,281805,7461,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3560652,2129,1779086,2045,95458,445,97655,3931,106426,3947,64221,1691,45176,1134,121842,1130,129917,712,124033,593,246504,888,277362,677,253678,265,131343,508,64248,1759,21223,1660,1781566,2106,91206,550,101673,3830,90762,3736,56816,760,41971,1229,110871,1192,122735,505,118774,782,234969,1050,282055,897,261561,337,142022,532,80922,2303,45229,2257,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2531612,2420,1230998,1411,54997,276,68746,2925,75220,2954,49533,122,34110,97,72743,94,67965,95,62288,549,153798,510,215854,466,184935,120,103960,198,60637,1542,26212,1520,1300614,1344,52507,243,66081,2944,70667,2974,47091,169,32048,162,68364,195,65789,276,62644,488,159819,337,223274,472,194753,570,117745,234,84201,2825,55631,2822,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,589845,271,286024,110,14127,80,15796,1433,15184,1431,10349,192,7579,192,19345,192,17342,192,16048,192,34146,192,45357,192,42154,20,28322,192,14470,884,5805,884,303821,251,13480,192,13352,1375,16027,1375,9866,192,7754,192,19660,192,16973,67,16420,105,35213,143,47553,25,46233,123,32310,192,20653,1158,8327,1158,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217819,305,107833,169,4898,200,2681,446,1841,438,1024,200,3647,947,11473,969,18105,200,14220,68,17374,200,12058,200,10318,200,6246,51,2644,476,1304,476,109986,188,4621,200,2202,519,2183,522,939,200,5820,1389,13895,1384,20848,80,14114,72,14308,200,9146,77,10387,200,6347,58,2809,512,2367,512,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10927459,5457,5358891,3284,236343,1729,248120,7651,271324,7684,172564,1688,118695,3112,317897,2923,299193,1894,279748,1776,623587,2060,818639,1615,803932,486,631538,567,396831,5848,140480,5807,5568568,4503,222668,1850,240236,8535,252296,8766,162737,1699,109302,2393,305553,2670,289216,1296,269874,1643,610448,1911,829027,1189,873864,1240,696212,715,475168,6906,231967,7095,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
