GEO_ID,C19001I_001E,C19001I_001M,C19001I_002E,C19001I_002M,C19001I_003E,C19001I_003M,C19001I_004E,C19001I_004M,C19001I_005E,C19001I_005M,C19001I_006E,C19001I_006M,C19001I_007E,C19001I_007M,C19001I_008E,C19001I_008M,C19001I_009E,C19001I_009M,C19001I_010E,C19001I_010M,C19001I_011E,C19001I_011M,NAME,C19001I_001MA,C19001I_001EA,C19001I_002EA,C19001I_002MA,C19001I_003EA,C19001I_003MA,C19001I_004EA,C19001I_004MA,C19001I_005MA,C19001I_005EA,C19001I_006MA,C19001I_006EA,C19001I_007EA,C19001I_007MA,C19001I_008EA,C19001I_008MA,C19001I_009EA,C19001I_009MA,C19001I_010MA,C19001I_010EA,C19001I_011MA,C19001I_011EA,state
0400000US01,46291,2590,3202,816,3691,1310,10212,1917,6549,1667,7974,1824,7180,1370,2415,808,2970,1368,1244,572,854,832,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10357,1301,406,320,95,90,712,415,1642,838,1704,695,1752,771,1965,676,1282,494,493,304,306,250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,512662,9086,56541,4674,38717,3910,82570,5232,74441,5251,87021,4699,86754,6165,39601,3479,32793,4222,9892,2415,4332,1671,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47808,2987,5742,1361,4553,1416,10224,1926,6766,1522,9308,2143,5199,1463,2762,1017,1981,815,459,426,814,562,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3452241,20549,219127,7752,216911,8346,473299,11245,441251,11783,568939,11485,655900,14314,374496,10294,343272,10410,102988,5552,56058,3926,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,304144,5304,30983,2814,16493,2147,42694,3778,42966,3829,53470,4058,56387,3413,29910,2970,21135,2543,5645,1591,4461,1056,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,143432,3949,18689,2113,10601,1519,20552,2566,19265,2565,22863,2652,20077,2523,12059,1961,12229,1651,3880,1126,3217,825,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19531,1450,1266,864,815,496,2507,793,2877,1211,3432,1210,2099,719,2418,901,2660,1022,505,302,952,570,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20576,1497,2402,939,501,303,1964,861,1531,684,2076,729,3993,1082,1577,705,3902,1040,999,462,1631,882,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1291193,14791,127519,6724,96374,5640,201410,8198,175559,8930,203745,7924,214577,9986,116493,6630,97930,5176,32151,3707,25435,2859,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,208938,6953,18196,3273,16742,3120,41430,4419,32322,4076,34500,4483,34386,3377,13823,2364,11748,2454,3118,1371,2673,985,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
