GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001MA,B08007_001EA,B08007_002MA,B08007_002EA,B08007_003EA,B08007_003MA,B08007_004EA,B08007_004MA,B08007_005EA,B08007_005MA,B08007_006MA,B08007_006EA,B08007_007MA,B08007_007EA,B08007_008MA,B08007_008EA,B08007_009EA,B08007_009MA,B08007_010EA,B08007_010MA,B08007_011EA,B08007_011MA,B08007_012EA,B08007_012MA,B08007_013MA,B08007_013EA,B08007_014EA,B08007_014MA,B08007_015EA,B08007_015MA,state
0400000US01,1953274,17253,1867621,17650,1421087,17946,446534,11322,85653,4549,1019461,11275,965270,10423,701569,10809,263701,7036,54191,3896,933813,12023,902351,12053,719518,11475,182833,7505,31462,2565,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,348777,5794,347134,5790,326102,5784,21032,2475,1643,688,189514,3283,188268,3345,172924,3872,15344,1828,1246,666,159263,4474,158866,4444,153178,4141,5688,1228,397,249,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2650164,18238,2601784,18201,2493633,18463,108151,7734,48380,5242,1422670,14682,1389597,15435,1319918,15043,69679,6833,33073,4328,1227494,13838,1212187,13895,1173715,13505,38472,4605,15307,2330,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1215837,12175,1171823,12194,912798,13291,259025,7266,44014,3536,641090,8414,613442,8510,464901,9825,148541,5889,27648,2776,574747,7958,558381,7813,447897,7601,110484,4968,16366,1984,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16047067,39617,15970615,39300,13291457,43705,2679158,33509,76452,4738,8742310,27503,8689608,27659,7061885,31277,1627723,24282,52702,4501,7304757,29648,7281007,29813,6229572,29090,1051435,19984,23750,2388,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2477748,12566,2443779,12962,1616595,14635,827184,11824,33969,3424,1331573,9245,1307754,9505,836136,10259,471618,9499,23819,2832,1146175,8818,1136025,8940,780459,10560,355566,8928,10150,1953,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1711088,11556,1606756,12815,1260277,15760,346479,8689,104332,4883,884552,7780,817958,8677,626588,10629,191370,6735,66594,3626,826536,8275,788798,9218,633689,10582,155109,5461,37738,3011,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,415063,5667,349614,6139,321631,6445,27983,2828,65449,4802,212315,3661,172200,4084,155986,4298,16214,1955,40115,3301,202748,4290,177414,4293,165645,4326,11769,1963,25334,2730,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,306801,5723,233325,5868,233325,5868,0,200,73476,4056,150382,3659,111339,4111,111339,4111,0,200,39043,3271,156419,4335,121986,4353,121986,4353,0,200,34433,2854,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7991880,34064,7900294,35498,6484950,34958,1415344,23816,91586,5628,4131243,23571,4066036,25379,3268399,28287,797637,16991,65207,5013,3860637,23822,3834258,23519,3216551,20223,617707,15606,26379,2552,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
