GEO_ID,C08014_001E,C08014_001M,C08014_002E,C08014_002M,C08014_003E,C08014_003M,C08014_004E,C08014_004M,C08014_005E,C08014_005M,C08014_006E,C08014_006M,C08014_007E,C08014_007M,C08014_008E,C08014_008M,C08014_009E,C08014_009M,C08014_010E,C08014_010M,C08014_011E,C08014_011M,C08014_012E,C08014_012M,C08014_013E,C08014_013M,C08014_014E,C08014_014M,C08014_015E,C08014_015M,NAME,C08014_001MA,C08014_001EA,C08014_002MA,C08014_002EA,C08014_003MA,C08014_003EA,C08014_004MA,C08014_004EA,C08014_005EA,C08014_005MA,C08014_006EA,C08014_006MA,C08014_007EA,C08014_007MA,C08014_008MA,C08014_008EA,C08014_009MA,C08014_009EA,C08014_010EA,C08014_010MA,C08014_011EA,C08014_011MA,C08014_012EA,C08014_012MA,C08014_013EA,C08014_013MA,C08014_014MA,C08014_014EA,C08014_015MA,C08014_015EA,state
0400000US01,1940178,17206,40566,4171,386235,10162,813421,16805,699956,18223,1012950,11393,20037,2739,162836,5605,447737,11420,382340,11570,927228,11831,20529,2402,223399,8611,365684,8975,317616,9734,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,333444,5905,18691,1900,78722,4885,139580,6737,96451,6275,177612,3670,9567,1448,38256,2998,75238,4308,54551,3612,155832,4415,9124,1254,40466,3056,64342,3852,41900,3516,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2631992,18320,84279,6595,649990,19807,1168850,26549,728873,20758,1410908,14791,43525,4400,322410,13375,642462,16255,402511,12980,1221084,13848,40754,3637,327580,10112,526388,15781,326362,12265,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1205945,12139,27318,3201,250689,9125,543207,13903,384731,12615,636343,8374,13537,2067,113499,6299,297180,8163,212127,7356,569602,7952,13781,2139,137190,6773,246027,8137,172604,7251,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15905843,39477,580179,16968,3274847,34255,6355105,41388,5695712,48342,8650782,27604,316977,11823,1626605,23234,3545469,30973,3161731,31605,7255061,29829,263202,9005,1648242,22978,2809636,22937,2533981,28997,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2450103,12564,56749,4703,504178,12967,1078486,20015,810690,18174,1315499,9328,31318,3345,237784,8931,596997,13367,449400,11234,1134604,8721,25431,2731,266394,8151,481489,9897,361290,9555,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1684169,11211,60536,5438,345864,11333,716893,14711,560876,15082,870833,7832,31876,3687,153107,6410,387801,8868,298049,8767,813336,8178,28660,2973,192757,7520,329092,8461,262827,8364,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,411909,5683,7121,1295,84304,5367,177295,6596,143189,6975,210828,3681,3146,801,38394,3532,94369,4017,74919,4489,201081,4341,3975,899,45910,3598,82926,4512,68270,3992,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,300956,5451,87061,4720,131791,6297,61449,5173,20655,3337,146801,3626,41882,3363,62706,4458,32154,2812,10059,1933,154155,4259,45179,3079,69085,3765,29295,3338,10596,1838,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7940097,33849,258110,13588,1983060,31962,3664851,39670,2034076,37517,4102161,23591,145782,9724,910013,20457,1949859,24789,1096507,23437,3837936,23492,112328,7038,1073047,21120,1714992,22493,937569,22367,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
