GEO_ID,B25118_001E,B25118_001M,B25118_002E,B25118_002M,B25118_003E,B25118_003M,B25118_004E,B25118_004M,B25118_005E,B25118_005M,B25118_006E,B25118_006M,B25118_007E,B25118_007M,B25118_008E,B25118_008M,B25118_009E,B25118_009M,B25118_010E,B25118_010M,B25118_011E,B25118_011M,B25118_012E,B25118_012M,B25118_013E,B25118_013M,B25118_014E,B25118_014M,B25118_015E,B25118_015M,B25118_016E,B25118_016M,B25118_017E,B25118_017M,B25118_018E,B25118_018M,B25118_019E,B25118_019M,B25118_020E,B25118_020M,B25118_021E,B25118_021M,B25118_022E,B25118_022M,B25118_023E,B25118_023M,B25118_024E,B25118_024M,B25118_025E,B25118_025M,NAME,B25118_001MA,B25118_001EA,B25118_002MA,B25118_002EA,B25118_003EA,B25118_003MA,B25118_004EA,B25118_004MA,B25118_005EA,B25118_005MA,B25118_006MA,B25118_006EA,B25118_007MA,B25118_007EA,B25118_008EA,B25118_008MA,B25118_009EA,B25118_009MA,B25118_010EA,B25118_010MA,B25118_011MA,B25118_011EA,B25118_012MA,B25118_012EA,B25118_013MA,B25118_013EA,B25118_014EA,B25118_014MA,B25118_015EA,B25118_015MA,B25118_016EA,B25118_016MA,B25118_017MA,B25118_017EA,B25118_018MA,B25118_018EA,B25118_019EA,B25118_019MA,B25118_020EA,B25118_020MA,B25118_021EA,B25118_021MA,B25118_022MA,B25118_022EA,B25118_023MA,B25118_023EA,B25118_024MA,B25118_024EA,B25118_025EA,B25118_025MA,state
0400000US01,1844546,11416,1289217,12212,30201,2630,44437,3842,70798,4237,69634,4476,75306,4393,139150,5610,190639,6312,250434,6477,169628,5903,160337,5978,88653,4292,555329,9348,47467,3846,68252,4777,67897,4305,56458,4195,53511,4067,76556,5235,76172,4102,65566,4418,23829,2133,14050,1872,5571,1282,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,2014,781,2158,540,3381,896,3634,816,5070,1038,8809,1289,15629,1946,31780,2584,27526,2337,36022,2735,26289,2418,95018,4471,3313,869,3169,779,6453,1338,5005,1094,4797,972,11985,1681,16675,2148,19532,2020,12082,1813,8481,1340,3526,1198,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,42069,4773,32958,3207,57341,4002,66676,4566,76799,5276,151953,8042,222001,9275,296547,9875,200667,8373,215423,7427,139094,6835,854527,15846,63065,5954,61218,5583,76376,5475,71771,5131,73428,5849,117150,6556,132310,8162,137529,7905,63009,4497,41418,4570,17253,3627,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,18360,2378,22279,2033,43332,2761,44594,2969,44120,3416,83700,4017,121305,4684,151472,5475,94466,4281,83438,4068,43918,3357,376637,8537,31290,3325,45246,3656,50066,4019,39423,3715,37980,3591,55132,4549,50212,4554,40903,3649,14808,2187,8514,1905,3063,1033,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,120036,5296,98111,4866,193994,6839,212756,6826,241173,8446,477128,11606,752165,13855,1175938,17928,964052,16013,1291750,17561,1316266,17199,5625374,23999,274388,9092,290440,7943,485115,11650,429115,11773,419669,11277,694197,13726,835867,15324,936439,15202,524121,12079,476331,11314,259692,8439,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,22162,2374,20237,2085,35589,2597,36979,2989,44986,3280,95648,4275,158065,6621,252835,8431,189051,6391,234253,7426,181999,5921,703584,11056,41077,3579,50636,3647,56636,4399,58538,4364,57852,4229,94224,5663,117716,5787,117530,5841,56051,4928,34068,3875,19256,2340,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,12067,1526,10187,1592,17529,1988,23149,1937,24807,2120,57288,4039,90027,4199,152856,4574,142767,5398,183941,5707,196441,5642,440584,7734,24029,2499,36005,3188,41770,3477,39119,2973,32399,2911,52537,3853,64239,3408,72189,4106,36418,3748,26759,2728,15120,1852,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,3120,786,3956,887,6367,1231,7804,1234,8561,1293,17971,1834,30647,2356,47437,3228,39456,3334,43587,3389,29654,2497,94632,4248,4914,1263,6810,1340,8385,1398,8190,1617,6036,1423,12917,2296,16036,2249,15036,2061,7095,1501,6826,1479,2387,809,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,1670,547,1493,612,1868,495,2037,499,2937,866,4715,986,8987,1422,15861,1795,13532,1730,21693,1861,35832,1925,158045,3930,12826,1819,13652,1685,9594,1609,7291,1424,8775,1854,12852,1980,20276,2244,25711,2753,15949,2081,18730,2282,12389,1835,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,122759,6963,126347,6248,220377,10003,246036,8636,263982,9546,517451,13085,699000,15245,926299,19755,596393,14921,594537,13395,427988,11522,2365114,25972,155450,6248,188890,7052,227607,9879,209106,8283,209561,8569,350867,11926,377024,12306,357550,11246,150290,8562,95402,5947,43367,3987,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
