GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003EA,B20004_003MA,B20004_004MA,B20004_004EA,B20004_005MA,B20004_005EA,B20004_006MA,B20004_006EA,B20004_007EA,B20004_007MA,B20004_008EA,B20004_008MA,B20004_009MA,B20004_009EA,B20004_010MA,B20004_010EA,B20004_011MA,B20004_011EA,B20004_012EA,B20004_012MA,B20004_013EA,B20004_013MA,B20004_014MA,B20004_014EA,B20004_015MA,B20004_015EA,B20004_016MA,B20004_016EA,B20004_017MA,B20004_017EA,B20004_018EA,B20004_018MA,state
0400000US01,30910,270,19049,700,25069,681,30318,418,44800,1196,54200,1431,37309,743,22453,785,30822,564,39420,1642,56149,1552,72482,3618,24846,478,13623,985,19331,689,23947,591,36522,1066,48770,1475,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40812,643,22342,2154,32173,1506,40478,842,50422,2830,69222,4761,50122,2619,27439,5348,40850,1464,48611,3785,66281,5233,81303,4126,32141,1065,17385,4241,26599,2193,29976,2107,41429,2455,60049,4718,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,32165,293,17925,878,24995,834,32066,404,46485,1296,57249,2426,36757,651,20503,805,27803,1468,38480,1524,56932,3108,70899,3816,28734,677,14648,1016,21733,741,28175,949,38258,1538,47917,2984,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28700,630,18392,1193,24009,591,27926,909,42220,957,56579,1501,32944,960,21066,620,27897,1383,34570,1550,50171,1638,70798,3505,24429,527,13984,1053,20191,681,23625,939,36904,1224,48639,2067,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35561,141,18261,228,26941,303,35303,242,52824,824,76253,567,40344,175,21272,218,30837,306,41252,283,62264,398,92391,1140,30938,177,14218,241,23080,338,30388,282,46202,603,63998,1634,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36435,315,21397,745,28344,907,33581,766,46180,851,60987,910,42421,688,24038,840,33559,1407,41187,661,57960,3415,77480,4518,30380,365,16370,913,22184,651,27458,828,37742,1525,50675,975,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42417,425,21965,988,32869,1035,38371,1191,56878,2130,75875,1051,51022,484,26441,1666,40540,621,45278,1570,71062,1502,94700,3907,35971,479,17915,1569,26112,975,32887,917,46834,1335,61812,1133,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,38386,1065,22072,1578,31824,880,37279,1029,50310,2206,66546,2304,45131,1433,27160,2716,39542,2500,43829,3674,59961,4802,75963,8499,32216,906,16145,1974,26047,1759,32418,1667,40849,2316,57937,6553,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,54264,2031,24316,2114,31692,1537,37965,2502,61357,2741,80936,2485,58450,3294,27375,5836,32334,3030,38081,4186,65899,4005,94982,6159,51761,1043,21052,3801,30935,2652,37918,3034,57401,4720,71835,3445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30608,174,17182,307,24452,395,30565,227,41888,352,57025,1598,33975,510,19695,761,27415,441,35145,498,50998,570,71109,1380,26912,251,15173,420,21257,324,26785,292,38087,736,47354,1007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
