GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001EA,B12002F_001MA,B12002F_002MA,B12002F_002EA,B12002F_003MA,B12002F_003EA,B12002F_004EA,B12002F_004MA,B12002F_005EA,B12002F_005MA,B12002F_006EA,B12002F_006MA,B12002F_007MA,B12002F_007EA,B12002F_008MA,B12002F_008EA,B12002F_009EA,B12002F_009MA,B12002F_010MA,B12002F_010EA,B12002F_011MA,B12002F_011EA,B12002F_012EA,B12002F_012MA,B12002F_013MA,B12002F_013EA,state
0400000US01,43422,5550,26726,3494,14617,2714,10606,2042,165,175,0,190,1338,632,16696,2997,5989,1629,7830,1578,779,783,439,377,1659,1271,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6835,1652,3425,1001,1043,584,1626,735,114,164,0,149,642,390,3410,980,955,646,1988,776,68,109,77,75,322,274,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,289728,14331,153934,8639,67769,5956,68288,5484,3029,1017,1498,701,13350,2500,135794,8008,49272,4956,61032,4594,5660,1562,5640,1607,14190,2415,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41282,5222,22304,3248,8649,2150,11702,2007,449,299,0,192,1504,757,18978,2727,5850,1573,9903,1921,951,572,454,387,1820,1045,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3500853,47076,1796181,27922,864906,21725,771939,16352,44578,4584,19565,2799,95193,6428,1704672,23765,702439,17950,724793,15168,74828,5304,78817,4826,123795,7448,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160289,10494,82868,6113,30018,3435,43586,3746,1665,788,1114,648,6485,1307,77421,5683,27649,3150,35770,3816,3105,981,4211,1105,6686,1507,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,145295,7308,75169,4427,40145,3449,26617,2961,1443,767,1137,706,5827,1336,70126,4130,33728,2973,22122,2093,4275,1186,1746,614,8255,1427,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14167,3083,6489,1880,3080,1187,2544,1061,275,363,96,156,494,514,7678,1654,2475,816,3795,1170,589,467,0,192,819,687,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18815,2865,9111,1817,4983,1335,3612,1028,116,197,123,157,277,305,9704,1550,4441,1143,3718,1030,415,392,225,205,905,533,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,390120,20910,202738,11774,101112,9139,80275,5152,5702,1546,968,537,14681,2664,187382,13009,68844,7878,77321,5931,11178,3211,9461,2164,20578,2615,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,193433,13476,108687,7755,47561,5770,50813,5324,5290,2020,244,295,4779,1303,84746,8101,33400,5435,40056,4087,3306,1783,2879,1341,5105,1677,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
