GEO_ID,C23002F_001E,C23002F_001M,C23002F_002E,C23002F_002M,C23002F_003E,C23002F_003M,C23002F_004E,C23002F_004M,C23002F_005E,C23002F_005M,C23002F_006E,C23002F_006M,C23002F_007E,C23002F_007M,C23002F_008E,C23002F_008M,C23002F_009E,C23002F_009M,C23002F_010E,C23002F_010M,C23002F_011E,C23002F_011M,C23002F_012E,C23002F_012M,C23002F_013E,C23002F_013M,C23002F_014E,C23002F_014M,C23002F_015E,C23002F_015M,C23002F_016E,C23002F_016M,C23002F_017E,C23002F_017M,C23002F_018E,C23002F_018M,C23002F_019E,C23002F_019M,C23002F_020E,C23002F_020M,C23002F_021E,C23002F_021M,C23002F_022E,C23002F_022M,C23002F_023E,C23002F_023M,C23002F_024E,C23002F_024M,C23002F_025E,C23002F_025M,C23002F_026E,C23002F_026M,C23002F_027E,C23002F_027M,NAME,C23002F_001EA,C23002F_001MA,C23002F_002MA,C23002F_002EA,C23002F_003MA,C23002F_003EA,C23002F_004MA,C23002F_004EA,C23002F_005MA,C23002F_005EA,C23002F_006EA,C23002F_006MA,C23002F_007EA,C23002F_007MA,C23002F_008MA,C23002F_008EA,C23002F_009MA,C23002F_009EA,C23002F_010MA,C23002F_010EA,C23002F_011EA,C23002F_011MA,C23002F_012EA,C23002F_012MA,C23002F_013MA,C23002F_013EA,C23002F_014MA,C23002F_014EA,C23002F_015MA,C23002F_015EA,C23002F_016EA,C23002F_016MA,C23002F_017EA,C23002F_017MA,C23002F_018EA,C23002F_018MA,C23002F_019MA,C23002F_019EA,C23002F_020MA,C23002F_020EA,C23002F_021MA,C23002F_021EA,C23002F_022EA,C23002F_022MA,C23002F_023EA,C23002F_023MA,C23002F_024MA,C23002F_024EA,C23002F_025MA,C23002F_025EA,C23002F_026MA,C23002F_026EA,C23002F_027EA,C23002F_027MA,state
0400000US01,42726,5652,26434,3557,25751,3460,22360,3044,179,151,22181,3055,19362,2813,2819,1290,3391,1099,683,552,305,422,305,422,0,190,378,333,16292,3015,15720,2869,9648,2681,128,120,9520,2698,7949,1754,1571,1339,6072,1589,572,619,0,190,0,190,0,190,572,619,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6798,1642,3425,1001,3403,996,2937,925,621,614,2316,810,1926,769,390,320,466,261,22,49,22,49,22,49,0,149,0,149,3373,985,3296,997,2898,977,0,149,2898,977,2825,984,73,72,398,353,77,75,0,149,0,149,0,149,77,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,281665,14095,151136,8771,141363,8574,109318,6961,275,251,109043,6975,91789,6705,17254,3250,32045,3932,9773,1692,1749,738,1587,740,162,166,8024,1587,130529,7530,119297,7233,74460,5532,44,88,74416,5527,61181,5282,13235,2357,44837,4331,11232,1890,1150,588,1072,562,78,108,10082,1819,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3420212,45756,1755685,27192,1663313,26072,1334752,22212,6424,1848,1328328,22166,1150683,19609,177645,8023,328561,10865,92372,4564,16988,1650,14554,1828,2434,835,75384,4316,1664527,23196,1544354,22039,976707,16482,683,416,976024,16532,823569,16316,152455,7359,567647,14795,120173,5348,13200,2126,11173,1984,2027,967,106973,5113,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,156064,10050,80620,5811,74421,5349,61722,5026,407,282,61315,5017,53859,4539,7456,1769,12699,2027,6199,1380,1066,459,913,433,153,184,5133,1324,75444,5554,69167,5366,46830,4294,0,201,46830,4294,40221,4075,6609,1696,22337,2833,6277,1211,668,344,613,333,55,91,5609,1127,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,141959,7355,73776,4449,70887,4254,56384,4216,213,238,56171,4216,48574,4085,7597,1390,14503,1936,2889,714,613,431,613,431,0,198,2276,749,68183,4087,64747,3944,44001,3419,0,198,44001,3419,35397,3071,8604,1720,20746,2341,3436,868,596,476,596,476,0,198,2840,692,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18224,2803,8822,1882,8441,1895,6096,1580,0,200,6096,1580,5530,1490,566,467,2345,1389,381,313,0,200,0,200,0,200,381,313,9402,1469,8487,1416,6014,1227,0,200,6014,1227,4627,1055,1387,613,2473,925,915,387,148,177,148,177,0,200,767,368,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,382828,20650,199275,11719,189304,11935,147197,10048,558,379,146639,10044,125769,9423,20870,3334,42107,5159,9971,1940,2418,1046,2130,1002,288,261,7553,1755,183553,12727,168626,11879,113783,10120,224,310,113559,10123,96054,8901,17505,3228,54843,5419,14927,2695,1840,866,1635,765,205,245,13087,2367,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,187934,13113,105933,7657,104502,7540,88282,7514,792,492,87490,7458,80241,6878,7249,2360,16220,3068,1431,693,0,225,0,225,0,225,1431,693,82001,7793,79486,7677,44593,5913,199,240,44394,5904,38690,5526,5704,1725,34893,4523,2515,1083,694,583,635,550,59,102,1821,938,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
