GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001MA,C16001_001EA,C16001_002MA,C16001_002EA,C16001_003EA,C16001_003MA,C16001_004EA,C16001_004MA,C16001_005MA,C16001_005EA,C16001_006MA,C16001_006EA,C16001_007MA,C16001_007EA,C16001_008EA,C16001_008MA,C16001_009EA,C16001_009MA,C16001_010MA,C16001_010EA,C16001_011MA,C16001_011EA,C16001_012MA,C16001_012EA,C16001_013MA,C16001_013EA,state
0400000US01,4504275,2738,4268445,8582,153845,7053,8080,1407,10815,1859,1692,740,15239,2556,7888,1794,7694,2029,7975,2038,3469,1420,10363,2225,8770,2256,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,668687,875,557368,5537,25183,2159,1693,644,4378,1325,7796,2637,4104,1234,5033,1613,1776,968,1051,646,12440,2373,14218,3014,33647,2824,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6034541,2472,4404688,25490,1242875,19611,16187,2523,26789,5178,24420,3779,55025,6136,12967,3975,29758,4770,22236,3953,20452,3948,30933,4896,148211,7914,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2740313,2124,2535647,7450,149088,5963,3710,1214,7674,1817,2631,1536,7295,1992,1367,877,6146,2322,4718,1762,2637,1564,15366,2642,4034,1742,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35158257,2934,19768046,63328,10124555,52522,125441,7591,141552,7312,234251,14617,1073755,28471,377455,15255,1058952,25619,522272,17741,755063,20022,653915,23526,323000,18654,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4775755,1953,3976832,17567,558763,15807,17207,2894,32202,4053,27118,4094,34682,4006,18935,3588,19224,3365,20895,4044,8255,2077,26423,4008,35219,5956,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3384503,1187,2660477,13792,367816,6551,48481,5037,13539,2311,57131,5970,133525,8246,5407,1869,26080,3385,6854,2347,10061,2800,27630,3898,27502,4911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,851887,253,736170,6199,60762,4204,7067,2203,5270,1547,3944,1823,14485,2771,2953,1246,5896,1751,783,508,1072,615,5111,1449,8374,3258,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581764,153,494248,5489,41851,3510,9175,2029,3374,1026,4857,1362,8523,2274,938,488,3776,963,792,578,1288,650,2582,898,10360,2643,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17983218,4530,13024032,36576,3646758,23788,478450,17989,86694,6265,106142,9327,273462,15420,16808,3104,57948,6591,60327,7309,54093,6697,76335,8512,102169,12636,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
