GEO_ID,C17026_001E,C17026_001M,C17026_002E,C17026_002M,C17026_003E,C17026_003M,C17026_004E,C17026_004M,C17026_005E,C17026_005M,C17026_006E,C17026_006M,C17026_007E,C17026_007M,C17026_008E,C17026_008M,NAME,C17026_001MA,C17026_001EA,C17026_002MA,C17026_002EA,C17026_003EA,C17026_003MA,C17026_004EA,C17026_004MA,C17026_005EA,C17026_005MA,C17026_006EA,C17026_006MA,C17026_007MA,C17026_007EA,C17026_008EA,C17026_008MA,state
0400000US01,1251795,13646,71086,3984,114823,5747,61812,4590,56646,4291,89806,4599,34351,2723,823271,11814,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,5544,1114,6480,1146,4718,1045,6789,1513,9149,1211,4912,1255,135687,4202,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,91090,6156,126513,7440,63235,4696,73561,5971,92417,6140,43229,4782,1053878,13802,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,44373,3257,68161,4468,37691,2751,46421,3560,55287,4075,23737,3105,481535,9142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,414124,9300,642028,13427,389650,9930,406988,11267,530145,11625,214305,7379,5921278,31634,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,49083,3564,65463,4058,43295,3527,45650,3459,66333,4386,27532,3068,959115,11808,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,31257,3119,39294,3474,22494,2679,24560,2527,35481,2701,16521,2092,723494,9044,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,7823,1347,10438,1552,6840,1624,7803,1539,13894,1840,5499,1193,174804,3994,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,9126,1563,8482,1494,3638,1059,3750,1201,4333,993,2094,643,82622,3533,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,226857,9980,337538,12401,203757,9429,216693,9906,316660,10805,127517,6939,3130836,24767,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
