GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001MA,C21001I_001EA,C21001I_002EA,C21001I_002MA,C21001I_003EA,C21001I_003MA,C21001I_004EA,C21001I_004MA,C21001I_005EA,C21001I_005MA,C21001I_006EA,C21001I_006MA,C21001I_007MA,C21001I_007EA,C21001I_008MA,C21001I_008EA,C21001I_009MA,C21001I_009EA,C21001I_010EA,C21001I_010MA,C21001I_011MA,C21001I_011EA,C21001I_012EA,C21001I_012MA,C21001I_013MA,C21001I_013EA,C21001I_014EA,C21001I_014MA,C21001I_015EA,C21001I_015MA,state
0400000US01,117541,2291,66481,3032,63859,3056,3976,983,59883,3143,2622,856,682,425,1940,670,51060,2776,46931,2644,713,486,46218,2600,4129,1212,24,43,4105,1203,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24906,820,11744,966,11190,1021,1190,521,10000,1119,554,324,375,260,179,162,13162,469,12417,470,724,549,11693,715,745,94,0,149,745,94,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1241100,698,620333,716,574273,1043,37343,5117,536930,4942,46060,809,15685,1732,30375,1783,620767,504,562046,634,5296,1576,556750,1797,58721,598,428,236,58293,638,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,113287,1599,61870,1637,59646,1642,1551,858,58095,1670,2224,710,1107,648,1117,480,51417,1312,49825,1369,354,256,49471,1393,1592,494,64,109,1528,490,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9547002,2820,4795073,3056,4456877,3056,173632,6782,4283245,7737,338196,931,76931,3748,261265,3668,4751929,1556,4294608,1732,19823,2610,4274785,3258,457321,1000,1521,460,455800,1071,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,685882,1573,348707,1737,322814,1692,23892,2364,298922,2848,25893,866,10370,1330,15523,1388,337175,893,305494,1138,3376,1464,302118,1980,31681,740,498,365,31183,808,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,331279,404,163323,627,153653,631,6618,1498,147035,1564,9670,283,1653,560,8017,597,167956,518,153775,617,460,301,153315,705,14181,384,38,67,14143,386,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48116,70,25153,278,24031,307,489,324,23542,447,1122,406,178,247,944,321,22963,289,21141,294,215,318,20926,442,1822,413,137,223,1685,521,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45155,162,23279,162,22114,162,381,270,21733,307,1165,-555555555,186,154,979,154,21876,3,20002,4,90,114,19912,114,1874,-555555555,63,101,1811,101,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,11
0400000US12,3228576,1811,1576948,3445,1387702,3779,70669,4387,1317033,6181,189246,1975,23449,2666,165797,2909,1651628,2831,1384428,3208,7526,1434,1376902,3531,267200,1892,553,458,266647,1982,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
