GEO_ID,B22003_001E,B22003_001M,B22003_002E,B22003_002M,B22003_003E,B22003_003M,B22003_004E,B22003_004M,B22003_005E,B22003_005M,B22003_006E,B22003_006M,B22003_007E,B22003_007M,NAME,B22003_001MA,B22003_001EA,B22003_002MA,B22003_002EA,B22003_003MA,B22003_003EA,B22003_004EA,B22003_004MA,B22003_005EA,B22003_005MA,B22003_006EA,B22003_006MA,B22003_007MA,B22003_007EA,state
0400000US01,1844546,11416,313871,8277,177679,6769,136192,5460,1530675,10586,160135,6928,1370540,11693,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,26807,2450,9264,1212,17543,2059,230523,3279,12637,1386,217886,3149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,325811,10308,166225,8010,159586,7442,2030244,13791,214045,8674,1816199,14733,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,172475,7533,101653,5007,70822,5188,955146,8493,111300,4651,843846,8169,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,1040799,14953,541116,12448,499683,11039,11427944,25858,1275679,18229,10152265,28328,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,164571,6275,85898,4639,78673,4613,1810817,10896,157868,6207,1652949,11577,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,152131,5261,75016,4356,77115,3732,1199512,8434,68295,4088,1131217,9272,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,39761,2908,16525,1805,23236,2652,293431,3938,18113,1985,275318,4109,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,38777,2972,21446,2551,17331,2051,229893,4238,21914,2383,207979,3939,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,1009671,16292,490038,10695,519633,12018,6096612,34131,591541,13477,5505071,31575,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3494542,15336,528925,11735,295068,8372,233857,9400,2965617,15052,311755,9811,2653862,18385,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,448563,5562,48347,3770,22477,2918,25870,2542,400216,6354,28724,2376,371492,6298,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,580193,6204,78411,4431,40252,3087,38159,3646,501782,6576,47494,3611,454288,7136,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4737208,12865,574248,10994,298981,7599,275267,9155,4162960,15855,343635,8716,3819325,16821,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2467111,11107,309162,8196,174352,6116,134810,5681,2157949,12996,181099,6340,1976850,13685,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1216765,7072,131640,5418,68634,4249,63006,3295,1085125,8270,77400,3903,1007725,8070,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1101701,5567,107137,4443,58524,3263,48613,2923,994564,7378,82572,3892,911992,7990,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1672134,9367,290470,7415,179928,6400,110542,4581,1381664,10026,132012,6037,1249652,10246,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1702030,9725,279937,8094,166729,6358,113208,5269,1422093,10446,169302,7441,1252791,11781,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,552051,5238,96409,4677,47479,3573,48930,3162,455642,6085,32931,2507,422711,6518,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2134517,9936,212016,7143,89225,4836,122791,6804,1922501,10879,111169,5684,1811332,10450,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2532067,9349,307473,7794,148018,5726,159455,6038,2224594,11646,157868,6077,2066726,11788,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3772433,14208,683932,9276,356053,6622,327879,7254,3088501,13401,237598,7512,2850903,14765,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2096477,7824,179303,5379,97678,3940,81625,3777,1917174,8979,137924,4726,1779250,9046,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1080991,8431,186626,6405,114951,4877,71675,4393,894365,8171,113784,5671,780581,8278,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2341074,10807,328652,8229,179626,6963,149026,5760,2012422,12300,171537,6246,1840885,12069,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,404250,4567,43998,3042,23642,2507,20356,1976,360252,4789,30228,2517,330024,4956,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,723800,4514,66679,3508,39323,2887,27356,2542,657121,4941,53207,3277,603914,5232,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,982352,9598,105596,5587,49930,3455,55666,4488,876756,10582,87182,5825,789574,10700,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,516454,4150,42705,3173,20254,2615,22451,2231,473749,4944,26030,2487,447719,4925,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3167629,9918,252112,6424,124231,5528,127881,4917,2915517,12691,195737,6973,2719780,13029,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,767285,6715,117904,4825,67620,4179,50284,3563,649381,7690,80597,5346,568784,7645,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,7187938,18167,1090747,15280,570377,11862,520370,10197,6097191,20793,507844,11426,5589347,19607,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3683364,19202,543033,12447,294198,9971,248835,7086,3140331,19018,302341,10238,2837990,16968,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,283440,2528,24881,2117,12779,1715,12102,1489,258559,3239,22723,2115,235836,3468,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,4538555,15280,687866,11504,397613,10659,290253,7519,3850689,16293,301572,8401,3549117,17715,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1442731,7338,205876,5351,115423,4173,90453,4842,1236855,7562,117793,4601,1119062,7482,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1516979,8379,286711,8110,135138,6376,151573,5902,1230268,10754,102010,5351,1128258,10414,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
